Month,Not Murder,Murder,Total Shootings,Brooklyn,Bronx,Manhattan,Queens,Staten Island
2006-01-31,100,29,129,40,49,16,18,6
2006-02-28,70,27,97,22,34,16,23,2
2006-03-31,88,14,102,27,48,14,9,4
2006-04-30,119,37,156,46,54,20,29,7
2006-05-31,133,40,173,46,80,27,18,2
2006-06-30,144,36,180,40,83,32,24,1
2006-07-31,186,47,233,64,98,24,42,5
2006-08-31,199,46,245,61,116,30,32,6
2006-09-30,152,44,196,70,77,29,19,1
2006-10-31,161,38,199,60,62,30,34,13
2006-11-30,127,40,167,36,70,33,23,5
2006-12-31,131,47,178,56,79,17,25,1
2007-01-31,95,14,109,29,53,11,14,2
2007-02-28,65,13,78,19,43,9,5,2
2007-03-31,85,18,103,36,41,17,9,0
2007-04-30,88,29,117,27,47,17,23,3
2007-05-31,155,44,199,58,91,24,20,6
2007-06-30,160,41,201,55,80,34,30,2
2007-07-31,192,47,239,55,126,29,24,5
2007-08-31,184,28,212,77,75,26,24,10
2007-09-30,144,29,173,53,80,13,21,6
2007-10-31,155,42,197,58,83,17,34,5
2007-11-30,105,30,135,30,67,17,18,3
2007-12-31,86,38,124,36,47,19,16,6
2008-01-31,91,23,114,27,44,14,21,8
2008-02-29,61,19,80,25,33,9,12,1
2008-03-31,91,37,128,37,52,6,32,1
2008-04-30,127,26,153,47,53,21,26,6
2008-05-31,164,30,194,43,73,22,44,12
2008-06-30,162,35,197,62,66,33,34,2
2008-07-31,200,34,234,50,117,35,26,6
2008-08-31,182,33,215,77,83,24,24,7
2008-09-30,155,42,197,44,77,35,31,10
2008-10-31,123,30,153,26,63,23,35,6
2008-11-30,107,23,130,41,49,20,15,5
2008-12-31,134,30,164,41,75,17,26,5
2009-01-31,87,18,105,29,44,14,16,2
2009-02-28,86,27,113,43,35,13,15,7
2009-03-31,85,19,104,23,61,6,10,4
2009-04-30,111,25,136,45,52,17,21,1
2009-05-31,153,19,172,40,86,13,28,5
2009-06-30,151,31,182,62,69,19,28,4
2009-07-31,176,35,211,54,101,19,23,14
2009-08-31,175,35,210,61,95,29,20,5
2009-09-30,130,37,167,48,74,11,34,0
2009-10-31,110,33,143,33,53,17,39,1
2009-11-30,125,36,161,54,60,16,22,9
2009-12-31,91,33,124,37,40,22,22,3
2010-01-31,79,18,97,33,38,13,10,3
2010-02-28,98,25,123,35,33,16,38,1
2010-03-31,110,22,132,36,45,17,29,5
2010-04-30,138,29,167,30,86,30,16,5
2010-05-31,126,40,166,52,59,24,29,2
2010-06-30,169,50,219,59,109,22,26,3
2010-07-31,150,61,211,58,103,25,22,3
2010-08-31,170,33,203,62,87,30,23,1
2010-09-30,146,36,182,52,84,20,21,5
2010-10-31,111,33,144,38,60,21,25,0
2010-11-30,107,33,140,37,54,18,30,1
2010-12-31,103,25,128,33,47,24,19,5
2011-01-31,86,16,102,25,42,19,12,4
2011-02-28,81,17,98,27,44,12,14,1
2011-03-31,68,21,89,21,43,3,20,2
2011-04-30,106,30,136,46,75,7,6,2
2011-05-31,141,35,176,52,83,12,22,7
2011-06-30,141,37,178,60,62,23,31,2
2011-07-31,184,37,221,63,96,21,39,2
2011-08-31,181,36,217,63,94,30,22,8
2011-09-30,201,49,250,78,105,25,38,4
2011-10-31,156,32,188,52,87,19,24,6
2011-11-30,111,22,133,39,55,22,10,7
2011-12-31,110,41,151,45,53,22,26,5
2012-01-31,100,14,114,41,36,17,19,1
2012-02-29,85,16,101,26,38,9,26,2
2012-03-31,106,24,130,37,51,20,20,2
2012-04-30,97,30,127,40,49,9,27,2
2012-05-31,147,26,173,46,70,21,25,11
2012-06-30,154,29,183,56,76,20,29,2
2012-07-31,205,42,247,90,87,28,30,12
2012-08-31,153,38,191,56,77,28,29,1
2012-09-30,118,22,140,37,56,14,28,5
2012-10-31,98,15,113,44,41,10,14,4
2012-11-30,87,11,98,29,38,6,20,5
2012-12-31,79,21,100,29,32,14,23,2
2013-01-31,100,19,119,30,46,21,18,4
2013-02-28,50,16,66,18,36,4,8,0
2013-03-31,68,17,85,17,43,7,17,1
2013-04-30,75,19,94,23,49,10,8,4
2013-05-31,77,22,99,33,34,8,19,5
2013-06-30,122,17,139,37,65,7,22,8
2013-07-31,122,19,141,39,58,17,18,9
2013-08-31,139,23,162,42,73,16,29,2
2013-09-30,107,13,120,35,58,11,15,1
2013-10-31,98,27,125,38,62,10,11,4
2013-11-30,79,19,98,41,30,15,6,6
2013-12-31,79,12,91,18,39,12,14,8
2014-01-31,79,28,107,42,41,6,15,3
2014-02-28,48,4,52,18,20,6,7,1
2014-03-31,84,25,109,28,48,6,22,5
2014-04-30,83,15,98,34,39,10,10,5
2014-05-31,115,14,129,34,62,8,23,2
2014-06-30,127,26,153,53,64,21,12,3
2014-07-31,139,22,161,45,61,19,31,5
2014-08-31,143,26,169,50,69,19,26,5
2014-09-30,89,20,109,25,56,9,15,4
2014-10-31,109,21,130,33,53,15,23,6
2014-11-30,89,18,107,30,47,16,13,1
2014-12-31,110,30,140,54,54,8,21,3
2015-01-31,90,27,117,31,43,10,28,5
2015-02-28,55,13,68,14,24,16,9,5
2015-03-31,71,22,93,27,27,14,20,5
2015-04-30,89,17,106,34,50,8,12,2
2015-05-31,144,37,181,51,79,20,24,7
2015-06-30,118,17,135,43,44,27,16,5
2015-07-31,111,21,132,46,62,14,7,3
2015-08-31,131,31,162,36,84,7,33,2
2015-09-30,90,25,115,39,44,21,7,4
2015-10-31,74,29,103,22,40,21,15,5
2015-11-30,83,21,104,31,42,16,13,2
2015-12-31,95,23,118,35,44,13,21,5
2016-01-31,60,19,79,20,31,11,14,3
2016-02-29,66,8,74,14,33,12,11,4
2016-03-31,67,12,79,22,22,11,16,8
2016-04-30,57,15,72,25,21,12,13,1
2016-05-31,88,20,108,29,40,13,22,4
2016-06-30,90,26,116,36,56,11,11,2
2016-07-31,94,18,112,21,56,9,22,4
2016-08-31,151,33,184,54,77,25,22,6
2016-09-30,100,28,128,21,63,17,23,4
2016-10-31,92,13,105,33,32,23,16,1
2016-11-30,62,15,77,17,32,14,12,2
2016-12-31,58,16,74,16,35,9,9,5
2017-01-31,61,7,68,24,21,11,8,4
2017-02-28,38,10,48,16,20,3,6,3
2017-03-31,47,9,56,15,22,9,8,2
2017-04-30,68,13,81,26,28,12,8,7
2017-05-31,68,20,88,33,29,7,15,4
2017-06-30,94,19,113,34,48,13,15,3
2017-07-31,82,22,104,43,33,11,14,3
2017-08-31,88,8,96,35,35,8,13,5
2017-09-30,79,11,90,31,36,9,12,2
2017-10-31,73,16,89,22,37,7,19,4
2017-11-30,43,18,61,13,19,11,16,2
2017-12-31,55,21,76,14,29,16,10,7
2018-01-31,64,24,88,45,15,7,20,1
2018-02-28,32,9,41,13,14,5,8,1
2018-03-31,43,13,56,14,28,2,11,1
2018-04-30,51,17,68,21,31,9,5,2
2018-05-31,73,25,98,31,39,12,14,2
2018-06-30,69,21,90,25,37,10,16,2
2018-07-31,94,20,114,23,54,14,21,2
2018-08-31,78,14,92,30,30,16,12,4
2018-09-30,63,19,82,22,39,7,13,1
2018-10-31,70,13,83,42,25,7,6,3
2018-11-30,58,13,71,25,29,9,8,0
2018-12-31,59,16,75,22,24,7,16,6
2019-01-31,49,14,63,19,21,10,11,2
2019-02-28,42,17,59,11,23,9,16,0
2019-03-31,55,10,65,14,29,9,12,1
2019-04-30,57,10,67,16,20,11,18,2
2019-05-31,69,12,81,22,32,21,5,1
2019-06-30,92,15,107,35,47,12,10,3
2019-07-31,99,21,120,35,41,21,22,1
2019-08-31,82,23,105,28,40,13,21,3
2019-09-30,66,20,86,19,35,13,16,3
2019-10-31,59,21,80,21,34,12,12,1
2019-11-30,58,13,71,33,22,9,5,2
2019-12-31,55,8,63,14,28,6,8,7
2020-01-31,72,22,94,25,25,24,19,1
2020-02-29,37,14,51,11,14,7,17,2
2020-03-31,64,7,71,13,28,18,9,3
2020-04-30,51,18,69,20,28,10,9,2
2020-05-31,105,32,137,35,47,18,29,8
2020-06-30,229,36,265,79,109,36,37,4
2020-07-31,264,61,325,70,173,44,28,10
2020-08-31,258,53,311,91,135,29,51,5
2020-09-30,137,52,189,45,84,22,32,6
2020-10-31,135,30,165,46,62,25,31,1
2020-11-30,118,21,139,37,62,15,19,6
2020-12-31,112,20,132,32,52,24,22,2
2021-01-31,71,24,95,34,27,16,16,2
2021-02-28,73,16,89,33,25,16,13,2
2021-03-31,98,32,130,35,58,23,12,2
2021-04-30,142,39,181,67,62,27,19,6
2021-05-31,182,45,227,87,72,40,25,3
2021-06-30,162,37,199,74,47,34,38,6
2021-07-31,173,31,204,65,61,38,38,2
2021-08-31,175,53,228,68,83,31,44,2
2021-09-30,143,49,192,80,59,33,17,3
2021-10-31,124,35,159,56,51,29,19,4
2021-11-30,131,20,151,60,34,30,21,6
2021-12-31,109,47,156,42,52,26,34,2
2022-01-31,92,24,116,42,38,25,8,3
2022-02-28,73,29,102,36,24,26,16,0
2022-03-31,131,25,156,50,48,26,26,6
2022-04-30,129,26,155,55,51,19,29,1
2022-05-31,125,45,170,54,57,33,23,3
2022-06-30,144,28,172,57,46,43,19,7
2022-07-31,192,37,229,63,84,29,47,6
2022-08-31,125,29,154,40,59,26,28,1
2022-09-30,130,26,156,47,56,25,22,6
2022-10-31,78,25,103,14,50,18,19,2
2022-11-30,77,24,101,35,27,16,18,5
2022-12-31,82,20,102,42,28,21,11,0
2023-01-31,69,24,93,28,27,20,18,0
2023-02-28,73,31,104,44,31,13,14,2
2023-03-31,85,24,109,37,41,14,15,2
2023-04-30,62,23,85,30,30,14,9,2
2023-05-31,83,28,111,33,35,18,22,3
2023-06-30,106,24,130,59,31,19,13,8
2023-07-31,126,26,152,59,41,28,18,6
2023-08-31,92,16,108,42,37,18,8,3
2023-09-30,79,26,105,38,38,11,18,0
2023-10-31,86,13,99,32,36,12,16,3
2023-11-30,57,14,71,19,34,7,9,2
2023-12-31,72,11,83,18,32,16,17,0
