AREA NAME,Status Desc
Wilshire,Adult Arrest
Central,Invest Cont
Southwest,Invest Cont
Van Nuys,Invest Cont
Hollywood,Invest Cont
Southeast,Invest Cont
Central,Invest Cont
Southwest,Invest Cont
Newton,Invest Cont
Mission,Invest Cont
Southeast,Invest Cont
Mission,Invest Cont
Rampart,Invest Cont
West Valley,Invest Cont
Rampart,Juv Arrest
Southwest,Invest Cont
Southeast,Invest Cont
Newton,Invest Cont
Wilshire,Adult Arrest
West Valley,Invest Cont
Wilshire,Invest Cont
West LA,Invest Cont
Mission,Adult Other
Olympic,Invest Cont
Hollenbeck,Invest Cont
Topanga,Invest Cont
Northeast,Adult Other
Topanga,Invest Cont
77th Street,Invest Cont
West LA,Invest Cont
77th Street,Invest Cont
77th Street,Invest Cont
Northeast,Invest Cont
Pacific,Invest Cont
Rampart,Invest Cont
77th Street,Adult Other
Southeast,Invest Cont
N Hollywood,Invest Cont
Hollenbeck,Invest Cont
Mission,Invest Cont
West Valley,Invest Cont
77th Street,Invest Cont
Rampart,Invest Cont
N Hollywood,Adult Arrest
Newton,Invest Cont
Van Nuys,Invest Cont
Mission,Invest Cont
Hollywood,Invest Cont
Southwest,Invest Cont
77th Street,Invest Cont
N Hollywood,Invest Cont
Harbor,Invest Cont
Rampart,Invest Cont
Foothill,Invest Cont
N Hollywood,Invest Cont
Hollywood,Invest Cont
Northeast,Invest Cont
Devonshire,Invest Cont
Wilshire,Invest Cont
Hollenbeck,Invest Cont
Central,Invest Cont
Hollywood,Invest Cont
Central,Invest Cont
West LA,Invest Cont
Devonshire,Invest Cont
Northeast,Invest Cont
Devonshire,Invest Cont
Mission,Invest Cont
Southeast,Invest Cont
Devonshire,Invest Cont
West Valley,Invest Cont
Mission,Invest Cont
Pacific,Invest Cont
77th Street,Invest Cont
N Hollywood,Invest Cont
Pacific,Invest Cont
N Hollywood,Invest Cont
Southeast,Invest Cont
77th Street,Invest Cont
Southwest,Invest Cont
Southeast,Invest Cont
Pacific,Invest Cont
N Hollywood,Invest Cont
Rampart,Adult Other
