Country,Year,All staff compensation as % of total expenditure in public institutions (%)
Afghanistan,2010.0,72.4
Afghanistan,2015.0,71.4
Albania,2010.0,79.5
Albania,2015.0,79.5
Angola,2015.0,69.94999999999999
Argentina,2010.0,85.9
Argentina,2015.0,82.0
Armenia,2010.0,88.5
Armenia,2015.0,88.5
Australia,2010.0,65.2
Australia,2015.0,65.2
Austria,2010.0,70.2
Austria,2015.0,68.3
Azerbaijan,2010.0,64.8
Azerbaijan,2015.0,52.0
Bahamas,2015.0,63.55
Bahrain,2015.0,79.3
Bangladesh,2015.0,73.75
Barbados,2010.0,83.4
Barbados,2015.0,83.4
Belarus,2010.0,62.6
Belarus,2015.0,68.9
Belgium,2010.0,84.3
Belgium,2015.0,81.0
Belize,2010.0,35.9
Belize,2015.0,56.849999999999994
Bhutan,2010.0,35.9
Bhutan,2015.0,35.9
Bolivia (Plurin. State of),2010.0,66.8
Bolivia (Plurin. State of),2015.0,69.1
Brazil,2010.0,68.5
Brazil,2015.0,74.7
Bulgaria,2010.0,66.6
Bulgaria,2015.0,66.6
Burundi,2010.0,68.5
Burundi,2015.0,68.5
Cabo Verde,2010.0,77.1
Cabo Verde,2015.0,82.0
Cambodia,2010.0,65.7
Cameroon,2010.0,80.2
Cameroon,2015.0,80.2
Canada,2010.0,65.8
Canada,2015.0,69.4
Chile,2010.0,43.5
Chile,2015.0,73.25
China,2010.0,71.6
China,2015.0,71.6
Colombia,2010.0,71.0
Colombia,2015.0,69.0
Costa Rica,2010.0,61.4
Costa Rica,2015.0,60.6
Croatia,2010.0,70.6
Croatia,2015.0,69.3
Cuba,2010.0,58.6
Cyprus,2010.0,77.5
Cyprus,2015.0,82.9
Czechia,2010.0,51.5
Czechia,2015.0,35.5
Denmark,2010.0,74.9
Denmark,2015.0,74.9
Dominican Republic,2015.0,69.94999999999999
Ecuador,2010.0,74.35
Ecuador,2015.0,69.45
El Salvador,2010.0,67.1
El Salvador,2015.0,67.1
Estonia,2010.0,64.8
Estonia,2015.0,64.8
Eswatini,2010.0,64.80000000000001
Eswatini,2015.0,64.80000000000001
Finland,2010.0,60.3
Finland,2015.0,56.5
France,2010.0,66.35
France,2015.0,66.35
Georgia,2010.0,66.1
Germany,2010.0,73.1
Germany,2015.0,73.1
Ghana,2015.0,61.4
Greece,2010.0,79.2
Greece,2015.0,79.2
Guatemala,2010.0,75.3
Guatemala,2015.0,75.3
Guyana,2010.0,68.4
Honduras,2015.0,67.1
Hungary,2010.0,62.5
Hungary,2015.0,67.4
Iceland,2010.0,72.6
Iceland,2015.0,64.8
India,2010.0,75.4
India,2015.0,75.4
Indonesia,2010.0,54.5
Indonesia,2015.0,64.1
Ireland,2010.0,71.6
Ireland,2015.0,78.1
Israel,2010.0,72.9
Israel,2015.0,75.3
Italy,2010.0,74.7
Italy,2015.0,76.1
Jamaica,2010.0,78.9
Jamaica,2015.0,78.9
Japan,2015.0,71.6
Kazakhstan,2010.0,57.8
Kazakhstan,2015.0,59.9
Kenya,2015.0,60.9
Kyrgyzstan,2010.0,64.5
Kyrgyzstan,2015.0,68.1
Latvia,2010.0,65.7
Latvia,2015.0,60.5
Lebanon,2010.0,88.0
Lithuania,2010.0,72.9
Lithuania,2015.0,67.5
Luxembourg,2010.0,76.1
Luxembourg,2015.0,76.1
Madagascar,2015.0,46.2
Malawi,2010.0,78.3
Malaysia,2010.0,65.7
Malaysia,2015.0,65.7
Maldives,2010.0,77.8
Maldives,2015.0,54.4
Malta,2010.0,72.4
Malta,2015.0,72.7
Mauritius,2010.0,40.400000000000006
Mauritius,2015.0,78.9
Mexico,2010.0,85.7
Mexico,2015.0,85.1
Mongolia,2010.0,1.9
Mongolia,2015.0,1.9
Morocco,2015.0,60.8
Mozambique,2010.0,67.15
Namibia,2010.0,77.0
Nepal,2010.0,69.2
Nepal,2015.0,64.1
Netherlands (Kingdom of the),2010.0,69.6
Netherlands (Kingdom of the),2015.0,67.8
New Zealand,2010.0,76.05000000000001
New Zealand,2015.0,76.05000000000001
Nicaragua,2010.0,46.2
Nicaragua,2015.0,46.2
Norway,2010.0,67.4
Norway,2015.0,69.7
Oman,2015.0,74.1
Pakistan,2010.0,51.95
Pakistan,2015.0,59.45
Panama,2015.0,69.2
Paraguay,2010.0,65.5
Paraguay,2015.0,65.5
Peru,2010.0,64.6
Peru,2015.0,49.5
Philippines,2015.0,70.6
Poland,2010.0,61.4
Poland,2015.0,69.0
Portugal,2010.0,84.1
Portugal,2015.0,83.2
Qatar,2010.0,79.2
Qatar,2015.0,74.1
Republic of Korea,2010.0,85.4
Republic of Korea,2015.0,85.4
Republic of Moldova,2010.0,62.6
Republic of Moldova,2015.0,52.2
Romania,2010.0,62.2
Romania,2015.0,62.5
Russian Federation,2015.0,70.9
Rwanda,2010.0,58.7
Rwanda,2015.0,47.9
Saint Lucia,2010.0,81.4
Saint Lucia,2015.0,81.4
Saint Vincent & Grenadines,2010.0,94.4
San Marino,2010.0,95.8
Sao Tome and Principe,2010.0,66.1
Saudi Arabia,2015.0,70.15
Senegal,2010.0,72.6
Senegal,2015.0,61.7
Serbia,2010.0,84.1
Serbia,2015.0,79.3
Sierra Leone,2015.0,56.849999999999994
Singapore,2010.0,74.1
Singapore,2015.0,70.5
Slovakia,2010.0,57.0
Slovakia,2015.0,53.0
Slovenia,2010.0,70.0
Slovenia,2015.0,69.6
South Africa,2010.0,74.1
South Africa,2015.0,58.3
Spain,2010.0,71.6
Spain,2015.0,76.5
Sri Lanka,2010.0,75.5
Sri Lanka,2015.0,62.4
Suriname,2015.0,41.05
Sweden,2010.0,63.1
Sweden,2015.0,65.3
Switzerland,2010.0,75.2
Switzerland,2015.0,74.3
Tajikistan,2010.0,67.15
Thailand,2010.0,50.9
Thailand,2015.0,50.9
Timor-Leste,2010.0,37.8
Timor-Leste,2015.0,37.8
Tunisia,2010.0,71.19999999999999
Türkiye,2010.0,68.0
Türkiye,2015.0,68.0
Uganda,2010.0,35.5
Uganda,2015.0,35.5
Ukraine,2010.0,58.849999999999994
United Arab Emirates,2015.0,67.30000000000001
United Kingdom,2010.0,58.8
United Kingdom,2015.0,73.9
United Rep. of Tanzania,2010.0,64.5
United Rep. of Tanzania,2015.0,70.35
United States of America,2015.0,69.7
Uruguay,2015.0,82.7
Uzbekistan,2015.0,65.75
Venezuela (Boliv. Rep. of),2010.0,66.65
Viet Nam,2010.0,42.4
Yemen,2010.0,45.15
Zambia,2010.0,71.6
Zambia,2015.0,71.6
