Country,Year,"Assault rate per 100,000 population"
Afghanistan,2010.0,85.4
Afghanistan,2015.0,72.25
Albania,2010.0,6.1
Albania,2015.0,5.9
Angola,2015.0,20.75
Argentina,2010.0,419.2
Argentina,2015.0,419.2
Armenia,2010.0,5.3
Armenia,2015.0,5.7
Australia,2010.0,311.8
Australia,2015.0,285.5
Austria,2010.0,43.1
Austria,2015.0,40.0
Azerbaijan,2010.0,1.9
Azerbaijan,2015.0,1.9
Bahamas,2015.0,1161.7
Bahrain,2015.0,106.35
Bangladesh,2015.0,25.0
Barbados,2010.0,550.0
Barbados,2015.0,530.1
Belarus,2010.0,11.9
Belarus,2015.0,8.7
Belgium,2010.0,714.8
Belgium,2015.0,554.6
Belize,2010.0,59.1
Belize,2015.0,72.25
Bhutan,2010.0,59.1
Bhutan,2015.0,59.1
Bolivia (Plurin. State of),2010.0,82.7
Bolivia (Plurin. State of),2015.0,78.0
Brazil,2010.0,364.5
Brazil,2015.0,302.7
Bulgaria,2010.0,40.0
Bulgaria,2015.0,34.5
Burundi,2010.0,3.3
Burundi,2015.0,3.3
Cabo Verde,2010.0,784.7
Cabo Verde,2015.0,761.5
Cambodia,2010.0,46.550000000000004
Cameroon,2010.0,24.7
Cameroon,2015.0,20.9
Canada,2010.0,163.2
Canada,2015.0,141.9
Chile,2010.0,130.9
Chile,2015.0,68.9
China,2010.0,192.15
China,2015.0,192.15
Colombia,2010.0,118.6
Colombia,2015.0,371.6
Costa Rica,2010.0,172.1
Costa Rica,2015.0,174.0
Croatia,2010.0,22.6
Croatia,2015.0,18.9
Cuba,2010.0,33.0
Cyprus,2010.0,15.3
Cyprus,2015.0,12.0
Czechia,2010.0,172.7
Czechia,2015.0,49.7
Denmark,2010.0,31.6
Denmark,2015.0,25.7
Dominican Republic,2015.0,37.4
Ecuador,2010.0,30.1
Ecuador,2015.0,49.5
El Salvador,2010.0,63.6
El Salvador,2015.0,94.5
Estonia,2010.0,7.7
Estonia,2015.0,7.5
Eswatini,2010.0,183.6
Eswatini,2015.0,161.05
Finland,2010.0,37.2
Finland,2015.0,28.5
France,2010.0,371.4
France,2015.0,379.5
Georgia,2010.0,3.3
Germany,2010.0,175.7
Germany,2015.0,155.2
Ghana,2015.0,173.05
Greece,2010.0,10.0
Greece,2015.0,15.0
Guatemala,2010.0,51.2
Guatemala,2015.0,14.8
Guyana,2010.0,1495.1
Honduras,2015.0,14.3
Hungary,2010.0,145.9
Hungary,2015.0,145.9
Iceland,2010.0,17.9
Iceland,2015.0,25.7
India,2010.0,23.3
India,2015.0,23.3
Indonesia,2010.0,13.1
Indonesia,2015.0,5.6
Ireland,2010.0,332.4
Ireland,2015.0,75.4
Israel,2010.0,627.8
Israel,2015.0,627.8
Italy,2010.0,108.4
Italy,2015.0,108.0
Jamaica,2010.0,51.5
Jamaica,2015.0,105.0
Japan,2015.0,19.8
Kazakhstan,2010.0,9.6
Kazakhstan,2015.0,5.0
Kenya,2015.0,31.8
Kyrgyzstan,2010.0,9.8
Kyrgyzstan,2015.0,6.1
Latvia,2010.0,58.3
Latvia,2015.0,26.8
Lebanon,2010.0,190.1
Lithuania,2010.0,7.8
Lithuania,2015.0,7.2
Luxembourg,2010.0,488.1
Luxembourg,2015.0,106.8
Madagascar,2015.0,8.8
Malawi,2010.0,5.9
Malaysia,2010.0,8.350000000000001
Malaysia,2015.0,7.3
Maldives,2010.0,85.4
Maldives,2015.0,85.4
Malta,2010.0,43.0
Malta,2015.0,40.1
Mauritius,2010.0,18.5
Mauritius,2015.0,18.5
Mexico,2010.0,205.0
Mexico,2015.0,38.5
Mongolia,2010.0,215.4
Mongolia,2015.0,15.0
Morocco,2015.0,162.3
Mozambique,2010.0,37.2
Namibia,2010.0,9.5
Nepal,2010.0,1.9
Nepal,2015.0,19.15
Netherlands (Kingdom of the),2010.0,362.8
Netherlands (Kingdom of the),2015.0,29.9
New Zealand,2010.0,259.1
New Zealand,2015.0,461.5
Nicaragua,2010.0,313.3
Nicaragua,2015.0,313.3
Norway,2010.0,59.8
Norway,2015.0,43.1
Oman,2015.0,1.0
Pakistan,2010.0,18.3
Pakistan,2015.0,13.7
Panama,2015.0,71.8
Paraguay,2010.0,33.8
Paraguay,2015.0,11.1
Peru,2010.0,65.2
Peru,2015.0,80.7
Philippines,2015.0,185.45000000000002
Poland,2010.0,28.5
Poland,2015.0,18.0
Portugal,2010.0,8.2
Portugal,2015.0,4.5
Qatar,2010.0,12.5
Qatar,2015.0,314.4
Republic of Korea,2010.0,598.9
Republic of Korea,2015.0,94.1
Republic of Moldova,2010.0,11.3
Republic of Moldova,2015.0,7.7
Romania,2010.0,60.5
Romania,2015.0,1.5
Russian Federation,2015.0,18.8
Rwanda,2010.0,19.4
Rwanda,2015.0,19.4
Saint Lucia,2010.0,1346.3
Saint Lucia,2015.0,1346.3
Saint Vincent & Grenadines,2010.0,1197.5
San Marino,2010.0,21.799999999999997
Sao Tome and Principe,2010.0,0.0
Saudi Arabia,2015.0,1.3
Senegal,2010.0,2.4
Senegal,2015.0,2.4
Serbia,2010.0,18.2
Serbia,2015.0,18.9
Sierra Leone,2015.0,72.25
Singapore,2010.0,8.3
Singapore,2015.0,8.4
Slovakia,2010.0,45.0
Slovakia,2015.0,34.3
Slovenia,2010.0,106.1
Slovenia,2015.0,74.0
South Africa,2010.0,327.4
South Africa,2015.0,327.4
Spain,2010.0,53.8
Spain,2015.0,62.6
Sri Lanka,2010.0,312.6
Sri Lanka,2015.0,17.8
Suriname,2015.0,53.9
Sweden,2010.0,59.6
Sweden,2015.0,47.2
Switzerland,2010.0,6.2
Switzerland,2015.0,7.4
Tajikistan,2010.0,72.0
Thailand,2010.0,13.3
Thailand,2015.0,19.5
Timor-Leste,2010.0,773.1
Timor-Leste,2015.0,1139.9
Tunisia,2010.0,72.85
Türkiye,2010.0,301.8
Türkiye,2015.0,301.8
Uganda,2010.0,71.1
Uganda,2015.0,26.9
Ukraine,2010.0,8.8
United Arab Emirates,2015.0,3.6
United Kingdom,2010.0,375.45
United Kingdom,2015.0,375.45
United Rep. of Tanzania,2010.0,4.5
United Rep. of Tanzania,2015.0,4.5
United States of America,2015.0,235.4
Uruguay,2015.0,13.8
Uzbekistan,2015.0,4.8
Venezuela (Boliv. Rep. of),2010.0,51.35
Viet Nam,2010.0,113.75
Yemen,2010.0,72.25
Zambia,2010.0,8.85
Zambia,2015.0,58.6
