Country,Year,"Asylum seekers, including pending cases (number)"
Afghanistan,2010.0,30.0
Afghanistan,2015.0,101.0
Albania,2010.0,23.0
Albania,2015.0,501.0
Angola,2015.0,30143.0
Argentina,2010.0,947.0
Argentina,2015.0,897.0
Armenia,2010.0,23.0
Armenia,2015.0,114.0
Australia,2010.0,3760.0
Australia,2015.0,22837.0
Austria,2010.0,25625.0
Austria,2015.0,30900.0
Azerbaijan,2010.0,17.0
Azerbaijan,2015.0,262.0
Bahamas,2015.0,19.0
Bahrain,2015.0,78.0
Bangladesh,2015.0,11.0
Barbados,2010.0,808.0
Barbados,2015.0,808.0
Belarus,2010.0,66.0
Belarus,2015.0,257.0
Belgium,2010.0,18288.0
Belgium,2015.0,9396.0
Belize,2010.0,30.0
Belize,2015.0,146.0
Bhutan,2010.0,88.0
Bhutan,2015.0,88.0
Bolivia (Plurin. State of),2010.0,41.0
Bolivia (Plurin. State of),2015.0,8.0
Brazil,2010.0,872.0
Brazil,2015.0,17902.0
Bulgaria,2010.0,1412.0
Bulgaria,2015.0,7840.0
Burundi,2010.0,12062.0
Burundi,2015.0,2733.0
Cabo Verde,2010.0,4.0
Cabo Verde,2015.0,4.0
Cambodia,2010.0,51.0
Cameroon,2010.0,2383.0
Cameroon,2015.0,7835.0
Canada,2010.0,51025.0
Canada,2015.0,19951.0
Chile,2010.0,274.0
Chile,2015.0,719.0
China,2010.0,122.0
China,2015.0,564.0
Colombia,2010.0,167.0
Colombia,2015.0,56.0
Costa Rica,2010.0,375.0
Costa Rica,2015.0,1819.0
Croatia,2010.0,81.0
Croatia,2015.0,90.0
Cuba,2010.0,11.0
Cyprus,2010.0,5396.0
Cyprus,2015.0,2339.0
Czechia,2010.0,1065.0
Czechia,2015.0,409.0
Denmark,2010.0,3363.0
Denmark,2015.0,4566.0
Dominican Republic,2015.0,752.0
Ecuador,2010.0,49887.0
Ecuador,2015.0,11583.0
El Salvador,2010.0,18.0
El Salvador,2015.0,18.0
Estonia,2010.0,10.0
Estonia,2015.0,117.0
