Country,Year,Capital expenditure as % of total expenditure in public institutions (%)
Afghanistan,2010.0,18.3
Afghanistan,2015.0,19.6
Albania,2010.0,8.1
Albania,2015.0,8.1
Angola,2015.0,5.4
Argentina,2010.0,4.2
Argentina,2015.0,10.8
Armenia,2010.0,8.4
Armenia,2015.0,9.899999999999999
Australia,2010.0,7.7
Australia,2015.0,7.7
Austria,2010.0,4.9
Austria,2015.0,5.5
Azerbaijan,2010.0,2.5
Azerbaijan,2015.0,2.2
Bahamas,2015.0,7.25
Bahrain,2015.0,9.15
Bangladesh,2015.0,9.9
Barbados,2010.0,6.2
Barbados,2015.0,6.2
Belarus,2010.0,10.9
Belarus,2015.0,4.8
Belgium,2010.0,3.8
Belgium,2015.0,5.0
Belize,2010.0,14.0
Belize,2015.0,7.65
Bhutan,2010.0,14.0
Bhutan,2015.0,14.0
Bolivia (Plurin. State of),2010.0,10.0
Bolivia (Plurin. State of),2015.0,13.4
Brazil,2010.0,7.2
Brazil,2015.0,3.9
Bulgaria,2010.0,5.1
Bulgaria,2015.0,5.1
Burundi,2010.0,7.9
Burundi,2015.0,7.9
Cabo Verde,2010.0,7.3
Cabo Verde,2015.0,3.6
Cambodia,2010.0,0.8500000000000001
Cameroon,2010.0,13.4
Cameroon,2015.0,13.4
Canada,2010.0,9.7
Canada,2015.0,7.8
Chile,2010.0,9.0
Chile,2015.0,7.8999999999999995
China,2010.0,5.55
China,2015.0,5.55
Colombia,2010.0,22.3
Colombia,2015.0,25.2
Costa Rica,2010.0,13.55
Costa Rica,2015.0,13.25
Croatia,2010.0,6.4
Croatia,2015.0,4.4
Cuba,2010.0,0.9
Cyprus,2010.0,11.0
Cyprus,2015.0,4.1
Czechia,2010.0,10.1
Czechia,2015.0,7.9
Denmark,2010.0,7.1
Denmark,2015.0,7.1
Dominican Republic,2015.0,5.4
Ecuador,2010.0,10.65
Ecuador,2015.0,14.75
El Salvador,2010.0,6.2
El Salvador,2015.0,6.2
Estonia,2010.0,8.4
Estonia,2015.0,8.4
Eswatini,2010.0,12.45
Eswatini,2015.0,12.45
Finland,2010.0,6.1
Finland,2015.0,8.8
France,2010.0,7.0
France,2015.0,7.0
Georgia,2010.0,1.1
Germany,2010.0,6.8
Germany,2015.0,6.8
Ghana,2015.0,13.55
Greece,2010.0,14.3
Greece,2015.0,14.3
Guatemala,2010.0,0.1
Guatemala,2015.0,3.8
Guyana,2010.0,8.7
Honduras,2015.0,6.2
Hungary,2010.0,10.4
Hungary,2015.0,6.3
Iceland,2010.0,6.6
Iceland,2015.0,5.5
India,2010.0,4.9
India,2015.0,4.9
Indonesia,2010.0,11.9
Indonesia,2015.0,11.9
Ireland,2010.0,8.7
Ireland,2015.0,6.9
Israel,2010.0,8.4
Israel,2015.0,9.2
Italy,2010.0,4.8
Italy,2015.0,5.0
Jamaica,2010.0,2.3
Jamaica,2015.0,2.3
Japan,2015.0,5.55
Kazakhstan,2010.0,9.4
Kazakhstan,2015.0,3.5
Kenya,2015.0,7.5
Kyrgyzstan,2010.0,6.5
Kyrgyzstan,2015.0,15.7
Latvia,2010.0,12.7
Latvia,2015.0,15.6
Lebanon,2010.0,11.9
Lithuania,2010.0,7.6
Lithuania,2015.0,12.4
Luxembourg,2010.0,9.8
Luxembourg,2015.0,9.8
Madagascar,2015.0,11.4
Malawi,2010.0,4.9
Malaysia,2010.0,5.6
Malaysia,2015.0,5.6
Maldives,2010.0,1.3
Maldives,2015.0,0.9
Malta,2010.0,10.1
Malta,2015.0,13.6
Mauritius,2010.0,13.5
Mauritius,2015.0,13.5
Mexico,2010.0,3.9
Mexico,2015.0,3.1
Mongolia,2010.0,5.45
Mongolia,2015.0,2.3
Morocco,2015.0,16.549999999999997
Mozambique,2010.0,11.899999999999999
Namibia,2010.0,0.8
Nepal,2010.0,12.8
Nepal,2015.0,11.0
Netherlands (Kingdom of the),2010.0,11.9
Netherlands (Kingdom of the),2015.0,11.4
New Zealand,2010.0,4.8
New Zealand,2015.0,4.8
Nicaragua,2010.0,11.4
Nicaragua,2015.0,11.4
Norway,2010.0,11.3
Norway,2015.0,12.3
Oman,2015.0,8.8
Pakistan,2010.0,14.9
Pakistan,2015.0,9.55
Panama,2015.0,7.05
Paraguay,2010.0,6.5
Paraguay,2015.0,6.5
Peru,2010.0,20.9
Peru,2015.0,22.2
Philippines,2015.0,13.649999999999999
Poland,2010.0,9.3
Poland,2015.0,7.4
Portugal,2010.0,3.8
Portugal,2015.0,4.8
Qatar,2010.0,14.3
Qatar,2015.0,8.8
Republic of Korea,2010.0,3.5
Republic of Korea,2015.0,3.5
Republic of Moldova,2010.0,8.2
Republic of Moldova,2015.0,7.5
Romania,2010.0,10.8
Romania,2015.0,5.7
Russian Federation,2015.0,7.2
Rwanda,2010.0,16.1
Rwanda,2015.0,10.8
Saint Lucia,2010.0,11.7
Saint Lucia,2015.0,11.7
Saint Vincent & Grenadines,2010.0,10.2
San Marino,2010.0,6.05
Sao Tome and Principe,2010.0,9.2
Saudi Arabia,2015.0,7.5
Senegal,2010.0,9.1
Senegal,2015.0,14.7
Serbia,2010.0,12.65
Serbia,2015.0,9.15
Sierra Leone,2015.0,7.65
Singapore,2010.0,9.2
Singapore,2015.0,9.2
Slovakia,2010.0,12.2
Slovakia,2015.0,15.0
Slovenia,2010.0,8.7
Slovenia,2015.0,8.2
South Africa,2010.0,9.2
South Africa,2015.0,4.449999999999999
Spain,2010.0,10.8
Spain,2015.0,5.3
Sri Lanka,2010.0,14.6
Sri Lanka,2015.0,19.3
Suriname,2015.0,12.7
Sweden,2010.0,5.6
Sweden,2015.0,5.1
Switzerland,2010.0,8.6
Switzerland,2015.0,10.2
Tajikistan,2010.0,11.899999999999999
Thailand,2010.0,3.3
Thailand,2015.0,3.3
