Country,Year,Current expenditure other than staff compensation as % of total expenditure in public institutions (%)
Afghanistan,2010.0,9.3
Afghanistan,2015.0,9.0
Albania,2010.0,12.5
Albania,2015.0,12.5
Angola,2015.0,24.65
Argentina,2010.0,9.9
Argentina,2015.0,7.2
Armenia,2010.0,11.6
Armenia,2015.0,11.6
Australia,2010.0,27.1
Australia,2015.0,27.1
Austria,2010.0,24.9
Austria,2015.0,26.2
Azerbaijan,2010.0,32.6
Azerbaijan,2015.0,45.9
Bahamas,2015.0,29.15
Bahrain,2015.0,11.55
Bangladesh,2015.0,16.35
Barbados,2010.0,10.4
Barbados,2015.0,10.4
Belarus,2010.0,26.5
Belarus,2015.0,26.4
Belgium,2010.0,11.9
Belgium,2015.0,13.9
Belize,2010.0,50.1
Belize,2015.0,35.5
Bhutan,2010.0,50.1
Bhutan,2015.0,50.1
Bolivia (Plurin. State of),2010.0,23.1
Bolivia (Plurin. State of),2015.0,17.5
Brazil,2010.0,24.3
Brazil,2015.0,21.3
Bulgaria,2010.0,28.4
Bulgaria,2015.0,28.4
Burundi,2010.0,23.7
Burundi,2015.0,23.7
Cabo Verde,2010.0,15.6
Cabo Verde,2015.0,14.3
Cambodia,2010.0,33.35
Cameroon,2010.0,6.5
Cameroon,2015.0,6.5
Canada,2010.0,24.5
Canada,2015.0,22.8
Chile,2010.0,47.5
Chile,2015.0,18.85
China,2010.0,22.8
China,2015.0,22.8
Colombia,2010.0,6.8
Colombia,2015.0,5.8
Costa Rica,2010.0,25.0
Costa Rica,2015.0,26.1
Croatia,2010.0,23.0
Croatia,2015.0,26.3
Cuba,2010.0,40.5
Cyprus,2010.0,11.5
Cyprus,2015.0,13.0
Czechia,2010.0,38.4
Czechia,2015.0,56.6
Denmark,2010.0,18.0
Denmark,2015.0,18.0
Dominican Republic,2015.0,24.65
Ecuador,2010.0,15.1
Ecuador,2015.0,15.8
El Salvador,2010.0,19.0
El Salvador,2015.0,19.0
Estonia,2010.0,26.9
Estonia,2015.0,26.9
Eswatini,2010.0,10.55
Eswatini,2015.0,10.55
Finland,2010.0,33.6
Finland,2015.0,34.7
France,2010.0,26.65
France,2015.0,26.65
Georgia,2010.0,32.75
Germany,2010.0,20.1
Germany,2015.0,20.1
Ghana,2015.0,25.0
Greece,2010.0,6.5
Greece,2015.0,6.5
Guatemala,2010.0,20.9
Guatemala,2015.0,20.9
Guyana,2010.0,22.8
Honduras,2015.0,19.0
Hungary,2010.0,27.1
Hungary,2015.0,26.3
Iceland,2010.0,20.8
Iceland,2015.0,29.7
India,2010.0,19.7
India,2015.0,19.7
Indonesia,2010.0,33.6
Indonesia,2015.0,24.1
Ireland,2010.0,19.7
Ireland,2015.0,15.1
Israel,2010.0,18.7
Israel,2015.0,15.5
Italy,2010.0,20.5
Italy,2015.0,18.9
Jamaica,2010.0,18.7
Jamaica,2015.0,18.7
Japan,2015.0,22.8
Kazakhstan,2010.0,32.8
Kazakhstan,2015.0,36.6
Kenya,2015.0,31.6
Kyrgyzstan,2010.0,29.1
Kyrgyzstan,2015.0,16.2
Latvia,2010.0,21.6
Latvia,2015.0,23.8
Lebanon,2010.0,0.1
Lithuania,2010.0,19.5
Lithuania,2015.0,20.1
Luxembourg,2010.0,14.1
Luxembourg,2015.0,14.1
Madagascar,2015.0,10.7
Malawi,2010.0,13.899999999999999
Malaysia,2010.0,28.7
Malaysia,2015.0,28.7
Maldives,2010.0,20.9
Maldives,2015.0,44.6
Malta,2010.0,17.5
Malta,2015.0,13.7
Mauritius,2010.0,58.4
Mauritius,2015.0,18.7
Mexico,2010.0,10.3
Mexico,2015.0,11.9
Mongolia,2010.0,98.1
Mongolia,2015.0,98.1
Morocco,2015.0,22.65
Mozambique,2010.0,20.950000000000003
Namibia,2010.0,22.1
Nepal,2010.0,18.0
Nepal,2015.0,24.9
Netherlands (Kingdom of the),2010.0,18.5
Netherlands (Kingdom of the),2015.0,20.8
New Zealand,2010.0,19.2
New Zealand,2015.0,19.2
Nicaragua,2010.0,10.7
Nicaragua,2015.0,10.7
Norway,2010.0,21.3
Norway,2015.0,18.1
Oman,2015.0,17.1
Pakistan,2010.0,33.15
Pakistan,2015.0,31.0
Panama,2015.0,14.5
Paraguay,2010.0,9.5
Paraguay,2015.0,9.5
Peru,2010.0,14.5
Peru,2015.0,28.3
Philippines,2015.0,15.75
Poland,2010.0,29.3
Poland,2015.0,23.6
Portugal,2010.0,12.1
Portugal,2015.0,12.0
Qatar,2010.0,6.5
Qatar,2015.0,17.1
Republic of Korea,2010.0,11.100000000000001
Republic of Korea,2015.0,11.100000000000001
Republic of Moldova,2010.0,29.1
Republic of Moldova,2015.0,29.1
Romania,2010.0,27.1
Romania,2015.0,31.8
Russian Federation,2015.0,21.9
Rwanda,2010.0,25.1
Rwanda,2015.0,41.4
Saint Lucia,2010.0,14.2
Saint Lucia,2015.0,14.2
Saint Vincent & Grenadines,2010.0,5.6
San Marino,2010.0,4.2
Sao Tome and Principe,2010.0,29.05
Saudi Arabia,2015.0,22.35
Senegal,2010.0,18.3
Senegal,2015.0,23.6
Serbia,2010.0,3.3
Serbia,2015.0,11.55
Sierra Leone,2015.0,35.5
Singapore,2010.0,17.1
Singapore,2015.0,22.1
Slovakia,2010.0,30.8
Slovakia,2015.0,32.0
Slovenia,2010.0,21.3
Slovenia,2015.0,22.3
South Africa,2010.0,17.1
South Africa,2015.0,37.25
Spain,2010.0,17.7
Spain,2015.0,18.2
Sri Lanka,2010.0,9.9
Sri Lanka,2015.0,18.3
Suriname,2015.0,30.4
Sweden,2010.0,31.3
Sweden,2015.0,29.6
Switzerland,2010.0,16.2
Switzerland,2015.0,15.4
Tajikistan,2010.0,20.950000000000003
Thailand,2010.0,45.8
Thailand,2015.0,45.8
Timor-Leste,2010.0,52.5
Timor-Leste,2015.0,52.5
Tunisia,2010.0,19.95
Türkiye,2010.0,16.2
Türkiye,2015.0,16.2
Uganda,2010.0,51.1
Uganda,2015.0,51.1
Ukraine,2010.0,34.7
United Arab Emirates,2015.0,24.950000000000003
United Kingdom,2010.0,29.8
United Kingdom,2015.0,23.5
United Rep. of Tanzania,2010.0,23.75
United Rep. of Tanzania,2015.0,15.15
United States of America,2015.0,21.7
Uruguay,2015.0,13.5
Uzbekistan,2015.0,26.45
Venezuela (Boliv. Rep. of),2010.0,28.1
Viet Nam,2010.0,32.3
Yemen,2010.0,47.35
Zambia,2010.0,11.9
Zambia,2015.0,11.9
