Country,Year,Current health expenditure (% of GDP)
Afghanistan,2010.0,8.6
Afghanistan,2015.0,10.1
Albania,2010.0,6.2
Albania,2015.0,6.2
Angola,2015.0,2.6
Argentina,2010.0,9.4
Argentina,2015.0,10.2
Armenia,2010.0,9.2
Armenia,2015.0,10.1
Australia,2010.0,8.4
Australia,2015.0,10.2
Austria,2010.0,10.2
Austria,2015.0,10.4
Azerbaijan,2010.0,2.5
Azerbaijan,2015.0,4.1
Bahamas,2015.0,5.1
Bahrain,2015.0,5.0
Bangladesh,2015.0,2.7
Barbados,2010.0,6.8
Barbados,2015.0,6.8
Belarus,2010.0,5.7
Belarus,2015.0,6.1
Belgium,2010.0,10.2
Belgium,2015.0,10.8
Belize,2010.0,5.6
Belize,2015.0,5.9
Bhutan,2010.0,3.6
Bhutan,2015.0,3.8
Bolivia (Plurin. State of),2010.0,5.2
Bolivia (Plurin. State of),2015.0,6.6
Brazil,2010.0,7.9
Brazil,2015.0,8.9
Bulgaria,2010.0,7.1
Bulgaria,2015.0,7.4
Burundi,2010.0,11.3
Burundi,2015.0,6.3
Cabo Verde,2010.0,4.5
Cabo Verde,2015.0,4.8
Cambodia,2010.0,6.9
Cameroon,2010.0,3.6
Cameroon,2015.0,3.6
Canada,2010.0,10.7
Canada,2015.0,10.7
Chile,2010.0,6.8
Chile,2015.0,8.3
China,2010.0,4.2
China,2015.0,4.9
Colombia,2010.0,7.1
Colombia,2015.0,7.5
Costa Rica,2010.0,8.0
Costa Rica,2015.0,7.6
Croatia,2010.0,8.0
Croatia,2015.0,6.7
Cuba,2010.0,10.7
Cyprus,2010.0,6.5
Cyprus,2015.0,6.8
Czechia,2010.0,6.9
Czechia,2015.0,7.2
Denmark,2010.0,10.6
Denmark,2015.0,10.3
Dominican Republic,2015.0,4.7
Ecuador,2010.0,6.1
Ecuador,2015.0,7.5
El Salvador,2010.0,8.9
El Salvador,2015.0,8.8
Estonia,2010.0,6.3
Estonia,2015.0,6.6
Eswatini,2010.0,8.6
Eswatini,2015.0,7.1
Finland,2010.0,9.1
Finland,2015.0,9.6
France,2010.0,11.2
France,2015.0,11.4
Georgia,2010.0,9.1
Germany,2010.0,11.1
Germany,2015.0,11.2
Ghana,2015.0,4.5
Greece,2010.0,9.6
Greece,2015.0,8.2
Guatemala,2010.0,6.1
Guatemala,2015.0,6.0
Guyana,2010.0,4.2
Honduras,2015.0,7.5
Hungary,2010.0,7.4
Hungary,2015.0,6.9
Iceland,2010.0,8.4
Iceland,2015.0,8.1
India,2010.0,3.3
India,2015.0,3.6
Indonesia,2010.0,2.8
Indonesia,2015.0,2.9
Ireland,2010.0,10.5
Ireland,2015.0,7.3
Israel,2010.0,7.0
Israel,2015.0,7.1
Italy,2010.0,8.9
Italy,2015.0,8.9
Jamaica,2010.0,5.3
Jamaica,2015.0,5.6
Japan,2015.0,10.7
Kazakhstan,2010.0,2.7
Kazakhstan,2015.0,3.0
Kenya,2015.0,4.8
Kyrgyzstan,2010.0,7.0
Kyrgyzstan,2015.0,7.1
Latvia,2010.0,6.1
Latvia,2015.0,5.7
Lebanon,2010.0,7.4
Lithuania,2010.0,6.8
Lithuania,2015.0,6.5
Luxembourg,2010.0,6.7
Luxembourg,2015.0,5.1
Madagascar,2015.0,5.0
Malawi,2010.0,5.1
Malaysia,2010.0,3.2
Malaysia,2015.0,3.8
Maldives,2010.0,8.5
Maldives,2015.0,8.7
Malta,2010.0,8.0
Malta,2015.0,8.9
Mauritius,2010.0,4.6
Mauritius,2015.0,5.7
Mexico,2010.0,5.7
Mexico,2015.0,5.7
Mongolia,2010.0,3.7
Mongolia,2015.0,4.2
Morocco,2015.0,5.6
