Country,Year,Domestic general government health expenditure (% of total government expenditure)
Afghanistan,2010.0,2.3
Afghanistan,2015.0,2.0
Albania,2010.0,8.1
Albania,2015.0,8.9
Angola,2015.0,4.6
Argentina,2010.0,16.7
Argentina,2015.0,16.5
Armenia,2010.0,6.4
Armenia,2015.0,6.1
Australia,2010.0,16.1
Australia,2015.0,18.4
Austria,2010.0,14.0
Austria,2015.0,14.7
Azerbaijan,2010.0,3.2
Azerbaijan,2015.0,3.4
Bahamas,2015.0,13.7
Bahrain,2015.0,8.9
Bangladesh,2015.0,3.4
Barbados,2010.0,10.7
Barbados,2015.0,9.1
Belarus,2010.0,8.7
Belarus,2015.0,8.8
Belgium,2010.0,14.4
Belgium,2015.0,15.4
Belize,2010.0,12.8
Belize,2015.0,11.3
Bhutan,2010.0,5.6
Bhutan,2015.0,9.3
Bolivia (Plurin. State of),2010.0,9.7
Bolivia (Plurin. State of),2015.0,9.7
Brazil,2010.0,9.0
Brazil,2015.0,10.0
Bulgaria,2010.0,10.9
Bulgaria,2015.0,10.2
Burundi,2010.0,4.9
Burundi,2015.0,10.4
Cabo Verde,2010.0,7.2
Cabo Verde,2015.0,10.1
Cambodia,2010.0,6.5
Cameroon,2010.0,2.7
Cameroon,2015.0,1.8
Canada,2010.0,17.4
Canada,2015.0,19.0
Chile,2010.0,13.7
Chile,2015.0,16.0
China,2010.0,8.8
China,2015.0,9.4
Colombia,2010.0,16.8
Colombia,2015.0,17.0
Costa Rica,2010.0,31.7
Costa Rica,2015.0,29.5
Croatia,2010.0,13.8
Croatia,2015.0,11.5
Cuba,2010.0,13.9
Cyprus,2010.0,7.1
Cyprus,2015.0,7.1
Czechia,2010.0,13.1
Czechia,2015.0,14.1
Denmark,2010.0,15.8
Denmark,2015.0,16.0
Dominican Republic,2015.0,14.2
Ecuador,2010.0,8.2
Ecuador,2015.0,10.9
El Salvador,2010.0,17.1
El Salvador,2015.0,17.7
Estonia,2010.0,11.7
Estonia,2015.0,12.5
Eswatini,2010.0,13.8
Eswatini,2015.0,8.6
Finland,2010.0,13.3
Finland,2015.0,13.4
France,2010.0,13.9
France,2015.0,14.6
Georgia,2010.0,6.2
Germany,2010.0,17.4
Germany,2015.0,19.5
Ghana,2015.0,8.6
Greece,2010.0,12.5
Greece,2015.0,8.8
Guatemala,2010.0,14.2
Guatemala,2015.0,18.1
Guyana,2010.0,7.5
Honduras,2015.0,11.3
Hungary,2010.0,10.2
Hungary,2015.0,9.2
Iceland,2010.0,13.7
Iceland,2015.0,15.0
India,2010.0,3.1
India,2015.0,3.4
Indonesia,2010.0,3.9
Indonesia,2015.0,6.6
Ireland,2010.0,12.4
Ireland,2015.0,18.1
Israel,2010.0,10.7
Israel,2015.0,11.7
Italy,2010.0,14.0
Italy,2015.0,13.1
Jamaica,2010.0,9.0
Jamaica,2015.0,12.8
Japan,2015.0,23.2
Kazakhstan,2010.0,8.2
Kazakhstan,2015.0,8.4
Kenya,2015.0,8.1
Kyrgyzstan,2010.0,9.2
Kyrgyzstan,2015.0,7.1
Latvia,2010.0,8.0
Latvia,2015.0,8.6
Lebanon,2010.0,10.3
Lithuania,2010.0,11.4
Lithuania,2015.0,12.2
Luxembourg,2010.0,13.6
Luxembourg,2015.0,10.6
Madagascar,2015.0,15.3
Malawi,2010.0,5.8
Malaysia,2010.0,6.3
Malaysia,2015.0,8.2
Maldives,2010.0,13.5
Maldives,2015.0,18.5
Malta,2010.0,12.8
Malta,2015.0,14.1
Mauritius,2010.0,8.3
Mauritius,2015.0,9.5
Mexico,2010.0,10.4
Mexico,2015.0,10.9
Mongolia,2010.0,7.7
Mongolia,2015.0,7.7
Morocco,2015.0,7.0
Mozambique,2010.0,4.7
Namibia,2010.0,11.9
Nepal,2010.0,4.8
Nepal,2015.0,5.1
Netherlands (Kingdom of the),2010.0,14.5
Netherlands (Kingdom of the),2015.0,15.3
New Zealand,2010.0,17.6
New Zealand,2015.0,18.9
Nicaragua,2010.0,15.7
