Country,Year,Employment by industry: Agriculture (%) Female
Afghanistan,2010.0,76.1
Afghanistan,2015.0,65.3
Albania,2010.0,53.1
Albania,2015.0,47.7
Angola,2015.0,65.8
Argentina,2010.0,4.3
Argentina,2015.0,3.8
Armenia,2010.0,47.3
Armenia,2015.0,40.1
Australia,2010.0,2.3
Australia,2015.0,1.8
Austria,2010.0,0.2
Austria,2015.0,4.2
Azerbaijan,2010.0,44.5
Azerbaijan,2015.0,42.1
Bahamas,2015.0,1.7
Bahrain,2015.0,0.1
Bangladesh,2015.0,61.3
Barbados,2010.0,1.8
Barbados,2015.0,1.6
Belarus,2010.0,0.5
Belarus,2015.0,8.1
Belgium,2010.0,0.9
Belgium,2015.0,0.7
Belize,2010.0,3.9
Belize,2015.0,4.5
Bhutan,2010.0,65.5
Bhutan,2015.0,66.3
Bolivia (Plurin. State of),2010.0,32.9
Bolivia (Plurin. State of),2015.0,30.7
Brazil,2010.0,0.3
Brazil,2015.0,0.2
Bulgaria,2010.0,5.2
Bulgaria,2015.0,4.3
Burundi,2010.0,94.9
Burundi,2015.0,93.9
Cabo Verde,2010.0,12.6
Cabo Verde,2015.0,10.9
Cambodia,2010.0,55.8
Cameroon,2010.0,61.1
Cameroon,2015.0,52.2
Canada,2010.0,1.1
Canada,2015.0,0.0
Chile,2010.0,5.3
Chile,2015.0,4.8
China,2010.0,32.7
China,2015.0,24.9
Colombia,2010.0,0.3
Colombia,2015.0,7.2
Costa Rica,2010.0,3.7
Costa Rica,2015.0,7.9
Croatia,2010.0,15.5
Croatia,2015.0,7.4
Cuba,2010.0,8.5
Cyprus,2010.0,2.5
Cyprus,2015.0,2.1
Czechia,2010.0,1.9
Czechia,2015.0,1.6
Denmark,2010.0,0.9
Denmark,2015.0,0.0
Dominican Republic,2015.0,1.5
Ecuador,2010.0,20.9
Ecuador,2015.0,22.6
El Salvador,2010.0,5.4
El Salvador,2015.0,3.9
Estonia,2010.0,2.8
Estonia,2015.0,2.5
Eswatini,2010.0,13.6
Eswatini,2015.0,11.7
Finland,2010.0,2.8
Finland,2015.0,2.2
France,2010.0,1.8
France,2015.0,1.6
Georgia,2010.0,50.0
Germany,2010.0,1.2
Germany,2015.0,0.0
Ghana,2015.0,27.5
Greece,2010.0,12.6
Greece,2015.0,12.4
Guatemala,2010.0,13.5
Guatemala,2015.0,9.8
Guyana,2010.0,8.1
Honduras,2015.0,7.5
Hungary,2010.0,2.3
Hungary,2015.0,2.6
Iceland,2010.0,2.3
Iceland,2015.0,1.7
India,2010.0,66.9
India,2015.0,57.8
Indonesia,2010.0,38.4
Indonesia,2015.0,32.6
Ireland,2010.0,1.9
Ireland,2015.0,1.6
Israel,2010.0,0.8
Israel,2015.0,0.6
Italy,2010.0,2.7
Italy,2015.0,2.4
Jamaica,2010.0,7.9
Jamaica,2015.0,7.9
Japan,2015.0,3.1
Kazakhstan,2010.0,27.4
Kazakhstan,2015.0,17.1
Kenya,2015.0,40.6
Kyrgyzstan,2010.0,31.6
Kyrgyzstan,2015.0,31.9
Latvia,2010.0,5.7
Latvia,2015.0,0.2
Lebanon,2010.0,1.6
Lithuania,2010.0,6.5
Lithuania,2015.0,6.6
Luxembourg,2010.0,0.7
Luxembourg,2015.0,0.8
Madagascar,2015.0,73.2
Malawi,2010.0,73.0
Malaysia,2010.0,8.6
Malaysia,2015.0,7.9
Maldives,2010.0,3.8
Maldives,2015.0,2.5
Malta,2010.0,0.5
Malta,2015.0,0.6
Mauritius,2010.0,7.5
Mauritius,2015.0,5.7
Mexico,2010.0,3.9
Mexico,2015.0,3.7
Mongolia,2010.0,32.2
Mongolia,2015.0,27.0
Morocco,2015.0,55.7
Mozambique,2010.0,86.6
Namibia,2010.0,30.4
Nepal,2010.0,79.6
Nepal,2015.0,75.9
Netherlands (Kingdom of the),2010.0,1.8
Netherlands (Kingdom of the),2015.0,1.5
New Zealand,2010.0,4.4
New Zealand,2015.0,0.2
Nicaragua,2010.0,7.4
Nicaragua,2015.0,9.1
Norway,2010.0,0.0
Norway,2015.0,0.9
Oman,2015.0,0.3
Pakistan,2010.0,74.0
Pakistan,2015.0,72.0
Panama,2015.0,7.9
Paraguay,2010.0,18.1
Paraguay,2015.0,14.0
Peru,2010.0,25.3
Peru,2015.0,25.2
Philippines,2015.0,19.0
Poland,2010.0,12.7
Poland,2015.0,10.4
Portugal,2010.0,10.9
Portugal,2015.0,5.4
Qatar,2010.0,0.1
Qatar,2015.0,0.0
Republic of Korea,2010.0,6.7
Republic of Korea,2015.0,5.4
Republic of Moldova,2010.0,24.5
Republic of Moldova,2015.0,29.5
Romania,2010.0,32.4
Romania,2015.0,25.6
Russian Federation,2015.0,5.1
Rwanda,2010.0,86.3
Rwanda,2015.0,76.6
Saint Lucia,2010.0,7.4
Saint Lucia,2015.0,5.2
Saint Vincent & Grenadines,2010.0,5.8
San Marino,2010.0,0.2
Sao Tome and Principe,2010.0,13.9
Saudi Arabia,2015.0,0.4
Senegal,2010.0,36.2
Senegal,2015.0,27.1
Serbia,2010.0,21.0
Serbia,2015.0,16.3
Sierra Leone,2015.0,54.7
Singapore,2010.0,0.4
Singapore,2015.0,0.3
Slovakia,2010.0,1.8
Slovakia,2015.0,1.3
Slovenia,2010.0,8.5
Slovenia,2015.0,7.1
South Africa,2010.0,18.5
South Africa,2015.0,16.0
Spain,2010.0,2.4
Spain,2015.0,2.1
Sri Lanka,2010.0,36.4
Sri Lanka,2015.0,32.3
Suriname,2015.0,5.3
Sweden,2010.0,0.0
Sweden,2015.0,0.0
Switzerland,2010.0,2.7
Switzerland,2015.0,2.9
Tajikistan,2010.0,69.1
Thailand,2010.0,36.1
Thailand,2015.0,29.9
Timor-Leste,2010.0,51.4
Timor-Leste,2015.0,46.9
Tunisia,2010.0,20.1
Türkiye,2010.0,39.2
Türkiye,2015.0,31.0
Uganda,2010.0,75.8
Uganda,2015.0,73.5
Ukraine,2010.0,15.0
United Arab Emirates,2015.0,0.1
United Kingdom,2010.0,0.6
United Kingdom,2015.0,0.6
United Rep. of Tanzania,2010.0,73.9
United Rep. of Tanzania,2015.0,70.3
United States of America,2015.0,0.0
Uruguay,2015.0,4.5
Uzbekistan,2015.0,25.8
Venezuela (Boliv. Rep. of),2010.0,1.7
Viet Nam,2010.0,51.2
Yemen,2010.0,28.4
Zambia,2010.0,72.4
Zambia,2015.0,67.7
