Country,Year,Employment by industry: Agriculture (%) Male
Afghanistan,2010.0,49.8
Afghanistan,2015.0,39.9
Albania,2010.0,34.2
Albania,2015.0,36.7
Angola,2015.0,50.4
Argentina,2010.0,13.2
Argentina,2015.0,11.5
Armenia,2010.0,31.7
Armenia,2015.0,31.2
Australia,2010.0,0.2
Australia,2015.0,3.3
Austria,2010.0,5.4
Austria,2015.0,4.8
Azerbaijan,2010.0,32.3
Azerbaijan,2015.0,31.0
Bahamas,2015.0,5.4
Bahrain,2015.0,1.4
Bangladesh,2015.0,36.8
Barbados,2010.0,3.9
Barbados,2015.0,4.2
Belarus,2010.0,14.1
Belarus,2015.0,11.3
Belgium,2010.0,1.7
Belgium,2015.0,1.6
Belize,2010.0,25.7
Belize,2015.0,25.9
Bhutan,2010.0,46.5
Bhutan,2015.0,52.4
Bolivia (Plurin. State of),2010.0,30.9
Bolivia (Plurin. State of),2015.0,29.0
Brazil,2010.0,16.3
Brazil,2015.0,13.7
Bulgaria,2010.0,8.2
Bulgaria,2015.0,9.1
Burundi,2010.0,81.2
Burundi,2015.0,78.1
Cabo Verde,2010.0,21.1
Cabo Verde,2015.0,19.4
Cambodia,2010.0,53.7
Cameroon,2010.0,49.7
Cameroon,2015.0,41.8
Canada,2010.0,2.4
Canada,2015.0,2.2
Chile,2010.0,14.2
Chile,2015.0,12.3
China,2010.0,39.9
China,2015.0,31.5
Colombia,2010.0,26.2
Colombia,2015.0,22.4
Costa Rica,2010.0,17.3
Costa Rica,2015.0,19.9
Croatia,2010.0,13.2
Croatia,2015.0,10.8
Cuba,2010.0,24.9
Cyprus,2010.0,4.9
Cyprus,2015.0,5.7
Czechia,2010.0,0.2
Czechia,2015.0,3.9
Denmark,2010.0,0.2
Denmark,2015.0,3.8
Dominican Republic,2015.0,14.7
Ecuador,2010.0,32.2
Ecuador,2015.0,28.5
El Salvador,2010.0,32.0
El Salvador,2015.0,28.5
Estonia,2010.0,5.7
Estonia,2015.0,5.2
Eswatini,2010.0,16.9
Eswatini,2015.0,15.2
Finland,2010.0,0.3
Finland,2015.0,6.1
France,2010.0,3.9
France,2015.0,3.7
Georgia,2010.0,46.4
Germany,2010.0,0.1
Germany,2015.0,1.8
Ghana,2015.0,41.9
Greece,2010.0,12.3
Greece,2015.0,13.3
Guatemala,2010.0,43.9
Guatemala,2015.0,42.6
Guyana,2010.0,26.4
Honduras,2015.0,40.6
Hungary,2010.0,6.5
Hungary,2015.0,6.8
Iceland,2010.0,8.7
Iceland,2015.0,6.5
India,2010.0,46.8
India,2015.0,41.8
Indonesia,2010.0,39.6
Indonesia,2015.0,33.3
Ireland,2010.0,9.1
Ireland,2015.0,8.5
Israel,2010.0,2.4
Israel,2015.0,1.4
Italy,2010.0,4.5
Italy,2015.0,4.7
Jamaica,2010.0,25.0
Jamaica,2015.0,25.1
Japan,2015.0,3.8
Kazakhstan,2010.0,29.1
Kazakhstan,2015.0,18.9
Kenya,2015.0,32.8
Kyrgyzstan,2010.0,32.5
Kyrgyzstan,2015.0,27.5
Latvia,2010.0,11.8
Latvia,2015.0,10.9
Lebanon,2010.0,4.6
Lithuania,2010.0,11.4
Lithuania,2015.0,11.6
Luxembourg,2010.0,1.4
Luxembourg,2015.0,1.3
Madagascar,2015.0,76.0
Malawi,2010.0,62.9
Malaysia,2010.0,15.8
Malaysia,2015.0,15.3
Maldives,2010.0,16.5
Maldives,2015.0,10.4
Malta,2010.0,1.7
Malta,2015.0,0.1
Mauritius,2010.0,9.2
Mauritius,2015.0,8.7
Mexico,2010.0,19.8
Mexico,2015.0,19.2
Mongolia,2010.0,34.7
Mongolia,2015.0,29.7
Morocco,2015.0,29.8
Mozambique,2010.0,64.9
Namibia,2010.0,32.9
Nepal,2010.0,56.3
Nepal,2015.0,51.3
Netherlands (Kingdom of the),2010.0,4.1
Netherlands (Kingdom of the),2015.0,0.1
New Zealand,2010.0,0.4
New Zealand,2015.0,0.3
Nicaragua,2010.0,42.2
Nicaragua,2015.0,44.2
Norway,2010.0,3.9
Norway,2015.0,0.1
Oman,2015.0,5.9
Pakistan,2010.0,35.2
Pakistan,2015.0,32.4
Panama,2015.0,19.0
Paraguay,2010.0,30.2
Paraguay,2015.0,23.4
Peru,2010.0,28.0
Peru,2015.0,28.4
Philippines,2015.0,35.9
Poland,2010.0,13.4
Poland,2015.0,12.5
Portugal,2010.0,11.5
Portugal,2015.0,9.6
Qatar,2010.0,1.6
Qatar,2015.0,1.4
Republic of Korea,2010.0,6.4
Republic of Korea,2015.0,5.1
Republic of Moldova,2010.0,30.5
Republic of Moldova,2015.0,38.8
Romania,2010.0,30.0
Romania,2015.0,25.6
Russian Federation,2015.0,8.2
Rwanda,2010.0,71.8
Rwanda,2015.0,53.8
Saint Lucia,2010.0,17.0
Saint Lucia,2015.0,16.0
Saint Vincent & Grenadines,2010.0,17.0
San Marino,2010.0,0.4
Sao Tome and Principe,2010.0,27.0
Saudi Arabia,2015.0,6.8
Senegal,2010.0,39.3
Senegal,2015.0,34.0
Serbia,2010.0,23.3
Serbia,2015.0,21.7
Sierra Leone,2015.0,59.2
Singapore,2010.0,1.2
Singapore,2015.0,0.8
Slovakia,2010.0,4.4
Slovakia,2015.0,4.7
Slovenia,2010.0,9.1
Slovenia,2015.0,7.1
South Africa,2010.0,15.2
South Africa,2015.0,15.0
Spain,2010.0,5.6
Spain,2015.0,5.8
Sri Lanka,2010.0,28.3
Sri Lanka,2015.0,26.8
Suriname,2015.0,8.5
Sweden,2010.0,3.1
Sweden,2015.0,0.1
Switzerland,2010.0,4.1
Switzerland,2015.0,3.9
Tajikistan,2010.0,43.2
Thailand,2010.0,40.1
Thailand,2015.0,34.4
Timor-Leste,2010.0,46.1
Timor-Leste,2015.0,47.4
Tunisia,2010.0,17.2
Türkiye,2010.0,17.4
Türkiye,2015.0,15.7
Uganda,2010.0,67.2
Uganda,2015.0,62.4
Ukraine,2010.0,17.7
United Arab Emirates,2015.0,2.9
United Kingdom,2010.0,1.7
United Kingdom,2015.0,1.6
United Rep. of Tanzania,2010.0,66.8
United Rep. of Tanzania,2015.0,64.9
United States of America,2015.0,2.5
Uruguay,2015.0,12.4
Uzbekistan,2015.0,27.6
Venezuela (Boliv. Rep. of),2010.0,13.0
Viet Nam,2010.0,46.4
Yemen,2010.0,23.5
Zambia,2010.0,60.4
Zambia,2015.0,54.0
