Country,Year,Employment by industry: Agriculture (%) Male and Female
Afghanistan,2010.0,53.8
Afghanistan,2015.0,44.7
Albania,2010.0,42.1
Albania,2015.0,41.3
Angola,2015.0,58.0
Argentina,2010.0,9.5
Argentina,2015.0,8.3
Armenia,2010.0,38.6
Armenia,2015.0,35.3
Australia,2010.0,3.2
Australia,2015.0,2.6
Austria,2010.0,5.2
Austria,2015.0,4.5
Azerbaijan,2010.0,38.2
Azerbaijan,2015.0,36.4
Bahamas,2015.0,3.6
Bahrain,2015.0,1.1
Bangladesh,2015.0,43.5
Barbados,2010.0,2.9
Barbados,2015.0,2.9
Belarus,2010.0,12.5
Belarus,2015.0,9.7
Belgium,2010.0,1.4
Belgium,2015.0,1.2
Belize,2010.0,18.1
Belize,2015.0,18.1
Bhutan,2010.0,54.7
Bhutan,2015.0,58.0
Bolivia (Plurin. State of),2010.0,31.7
Bolivia (Plurin. State of),2015.0,29.7
Brazil,2010.0,12.4
Brazil,2015.0,0.4
Bulgaria,2010.0,6.8
Bulgaria,2015.0,6.9
Burundi,2010.0,88.4
Burundi,2015.0,86.3
Cabo Verde,2010.0,17.7
Cabo Verde,2015.0,15.7
Cambodia,2010.0,54.8
Cameroon,2010.0,55.0
Cameroon,2015.0,46.7
Canada,2010.0,1.8
Canada,2015.0,1.6
Chile,2010.0,10.7
Chile,2015.0,9.2
China,2010.0,36.7
China,2015.0,28.6
Colombia,2010.0,18.4
Colombia,2015.0,16.0
Costa Rica,2010.0,12.4
Costa Rica,2015.0,15.3
Croatia,2010.0,14.3
Croatia,2015.0,9.2
Cuba,2010.0,18.6
Cyprus,2010.0,3.8
Cyprus,2015.0,0.2
Czechia,2010.0,3.1
Czechia,2015.0,2.9
Denmark,2010.0,2.5
Denmark,2015.0,2.5
Dominican Republic,2015.0,9.7
Ecuador,2010.0,27.9
Ecuador,2015.0,26.2
El Salvador,2010.0,20.8
El Salvador,2015.0,18.1
Estonia,2010.0,4.2
Estonia,2015.0,3.9
Eswatini,2010.0,15.3
Eswatini,2015.0,13.5
Finland,2010.0,4.4
Finland,2015.0,4.2
France,2010.0,2.9
France,2015.0,2.7
Georgia,2010.0,48.1
Germany,2010.0,1.6
Germany,2015.0,1.4
Ghana,2015.0,35.2
Greece,2010.0,12.4
Greece,2015.0,12.9
Guatemala,2010.0,33.5
Guatemala,2015.0,31.9
Guyana,2010.0,20.2
Honduras,2015.0,28.7
Hungary,2010.0,4.5
Hungary,2015.0,4.9
Iceland,2010.0,5.6
Iceland,2015.0,4.2
India,2010.0,51.5
India,2015.0,45.2
Indonesia,2010.0,39.1
Indonesia,2015.0,33.0
Ireland,2010.0,5.8
Ireland,2015.0,5.3
Israel,2010.0,1.6
Israel,2015.0,0.0
Italy,2010.0,3.8
Italy,2015.0,3.8
Jamaica,2010.0,17.7
Jamaica,2015.0,17.7
Japan,2015.0,3.5
Kazakhstan,2010.0,28.3
Kazakhstan,2015.0,18.0
Kenya,2015.0,36.6
Kyrgyzstan,2010.0,32.1
Kyrgyzstan,2015.0,29.3
Latvia,2010.0,8.6
Latvia,2015.0,7.9
Lebanon,2010.0,3.9
Lithuania,2010.0,8.8
Lithuania,2015.0,9.1
Luxembourg,2010.0,1.1
Luxembourg,2015.0,1.1
Madagascar,2015.0,74.6
Malawi,2010.0,67.8
Malaysia,2010.0,13.3
Malaysia,2015.0,12.5
Maldives,2010.0,12.6
Maldives,2015.0,8.3
Malta,2010.0,1.3
Malta,2015.0,1.5
Mauritius,2010.0,8.6
Mauritius,2015.0,7.5
Mexico,2010.0,13.9
Mexico,2015.0,13.4
Mongolia,2010.0,33.5
Mongolia,2015.0,28.5
Morocco,2015.0,36.6
Mozambique,2010.0,76.5
Namibia,2010.0,31.7
Nepal,2010.0,67.9
Nepal,2015.0,65.0
Netherlands (Kingdom of the),2010.0,3.1
Netherlands (Kingdom of the),2015.0,2.3
New Zealand,2010.0,6.9
New Zealand,2015.0,6.1
Nicaragua,2010.0,29.7
Nicaragua,2015.0,30.9
Norway,2010.0,2.5
Norway,2015.0,0.1
Oman,2015.0,5.2
Pakistan,2010.0,43.4
Pakistan,2015.0,41.0
Panama,2015.0,14.7
Paraguay,2010.0,25.6
Paraguay,2015.0,19.7
Peru,2010.0,26.8
Peru,2015.0,27.0
Philippines,2015.0,29.2
Poland,2010.0,13.1
Poland,2015.0,11.5
Portugal,2010.0,11.2
Portugal,2015.0,7.5
Qatar,2010.0,1.5
Qatar,2015.0,1.2
Republic of Korea,2010.0,6.5
Republic of Korea,2015.0,5.2
Republic of Moldova,2010.0,27.5
Republic of Moldova,2015.0,34.2
Romania,2010.0,31.0
Romania,2015.0,25.6
Russian Federation,2015.0,6.7
Rwanda,2010.0,79.3
Rwanda,2015.0,65.6
Saint Lucia,2010.0,12.6
Saint Lucia,2015.0,11.0
Saint Vincent & Grenadines,2010.0,12.4
San Marino,2010.0,0.3
Sao Tome and Principe,2010.0,23.1
Saudi Arabia,2015.0,5.9
Senegal,2010.0,38.2
Senegal,2015.0,31.3
Serbia,2010.0,22.3
Serbia,2015.0,19.4
Sierra Leone,2015.0,57.0
Singapore,2010.0,0.9
Singapore,2015.0,0.6
Slovakia,2010.0,3.2
Slovakia,2015.0,3.2
Slovenia,2010.0,8.8
Slovenia,2015.0,7.1
South Africa,2010.0,16.6
South Africa,2015.0,15.5
Spain,2010.0,4.2
Spain,2015.0,4.1
Sri Lanka,2010.0,30.9
Sri Lanka,2015.0,28.7
Suriname,2015.0,7.3
Sweden,2010.0,2.1
Sweden,2015.0,0.1
Switzerland,2010.0,3.5
Switzerland,2015.0,3.4
Tajikistan,2010.0,52.3
Thailand,2010.0,38.2
Thailand,2015.0,32.3
Timor-Leste,2010.0,48.5
Timor-Leste,2015.0,47.2
Tunisia,2010.0,17.9
Türkiye,2010.0,23.7
Türkiye,2015.0,20.4
Uganda,2010.0,71.3
Uganda,2015.0,67.8
