Country,Year,Employment by industry: Industry (%) Female
Afghanistan,2010.0,17.8
Afghanistan,2015.0,26.6
Albania,2010.0,10.6
Albania,2015.0,2.0
Angola,2015.0,1.4
Argentina,2010.0,9.3
Argentina,2015.0,1.4
Armenia,2010.0,5.8
Armenia,2015.0,7.6
Australia,2010.0,8.6
Australia,2015.0,7.9
Austria,2010.0,11.5
Austria,2015.0,12.1
Azerbaijan,2010.0,6.1
Azerbaijan,2015.0,5.8
Bahamas,2015.0,3.2
Bahrain,2015.0,5.4
Bangladesh,2015.0,17.1
Barbados,2010.0,3.2
Barbados,2015.0,9.8
Belarus,2010.0,23.9
Belarus,2015.0,22.7
Belgium,2010.0,10.1
Belgium,2015.0,8.4
Belize,2010.0,8.5
Belize,2015.0,1.5
Bhutan,2010.0,6.7
Bhutan,2015.0,9.2
Bolivia (Plurin. State of),2010.0,8.2
Bolivia (Plurin. State of),2015.0,8.9
Brazil,2010.0,12.8
Brazil,2015.0,11.7
Bulgaria,2010.0,24.1
Bulgaria,2015.0,22.7
Burundi,2010.0,0.8
Burundi,2015.0,0.9
Cabo Verde,2010.0,3.8
Cabo Verde,2015.0,10.1
Cambodia,2010.0,15.3
Cameroon,2010.0,9.9
Cameroon,2015.0,10.7
Canada,2010.0,8.5
Canada,2015.0,8.6
Chile,2010.0,10.3
Chile,2015.0,1.8
China,2010.0,28.5
China,2015.0,26.9
Colombia,2010.0,15.9
Colombia,2015.0,14.0
Costa Rica,2010.0,11.4
Costa Rica,2015.0,9.8
Croatia,2010.0,13.9
Croatia,2015.0,15.1
Cuba,2010.0,11.6
Cyprus,2010.0,9.1
Cyprus,2015.0,6.3
Czechia,2010.0,23.2
Czechia,2015.0,23.8
Denmark,2010.0,9.2
Denmark,2015.0,9.6
Dominican Republic,2015.0,8.8
Ecuador,2010.0,11.1
Ecuador,2015.0,1.5
El Salvador,2010.0,18.3
El Salvador,2015.0,19.5
Estonia,2010.0,17.9
Estonia,2015.0,16.4
Eswatini,2010.0,24.0
Eswatini,2015.0,23.7
Finland,2010.0,9.9
Finland,2015.0,8.7
France,2010.0,2.5
France,2015.0,9.4
Georgia,2010.0,4.2
Germany,2010.0,14.4
Germany,2015.0,13.8
Ghana,2015.0,20.2
Greece,2010.0,7.8
Greece,2015.0,7.9
Guatemala,2010.0,24.0
Guatemala,2015.0,17.7
Guyana,2010.0,8.1
Honduras,2015.0,20.9
Hungary,2010.0,19.8
Hungary,2015.0,19.0
Iceland,2010.0,7.8
Iceland,2015.0,7.2
India,2010.0,15.6
India,2015.0,18.0
Indonesia,2010.0,14.9
Indonesia,2015.0,15.8
Ireland,2010.0,8.6
Ireland,2015.0,8.5
Israel,2010.0,9.3
Israel,2015.0,8.0
Italy,2010.0,14.1
Italy,2015.0,12.3
Jamaica,2010.0,6.8
Jamaica,2015.0,5.7
Japan,2015.0,14.3
Kazakhstan,2010.0,11.5
Kazakhstan,2015.0,6.7
Kenya,2015.0,8.7
Kyrgyzstan,2010.0,2.5
Kyrgyzstan,2015.0,10.8
Latvia,2010.0,13.7
Latvia,2015.0,12.7
Lebanon,2010.0,6.9
Lithuania,2010.0,16.6
Lithuania,2015.0,16.4
Luxembourg,2010.0,4.9
Luxembourg,2015.0,4.5
Madagascar,2015.0,9.7
Malawi,2010.0,4.6
Malaysia,2010.0,20.1
Malaysia,2015.0,19.2
Maldives,2010.0,19.5
Maldives,2015.0,23.3
Malta,2010.0,13.4
Malta,2015.0,8.4
Mauritius,2010.0,20.6
Mauritius,2015.0,17.0
Mexico,2010.0,16.3
Mexico,2015.0,16.8
Mongolia,2010.0,8.8
Mongolia,2015.0,13.0
Morocco,2015.0,13.0
Mozambique,2010.0,1.0
Namibia,2010.0,3.5
Nepal,2010.0,9.8
Nepal,2015.0,11.8
Netherlands (Kingdom of the),2010.0,6.7
Netherlands (Kingdom of the),2015.0,6.1
New Zealand,2010.0,9.7
New Zealand,2015.0,10.1
Nicaragua,2010.0,16.5
Nicaragua,2015.0,13.9
Norway,2010.0,7.0
Norway,2015.0,7.3
Oman,2015.0,6.5
Pakistan,2010.0,11.5
Pakistan,2015.0,14.6
Panama,2015.0,9.6
Paraguay,2010.0,8.7
Paraguay,2015.0,9.7
Peru,2010.0,10.3
Peru,2015.0,9.6
Philippines,2015.0,9.9
Poland,2010.0,16.1
Poland,2015.0,16.5
Portugal,2010.0,15.9
Portugal,2015.0,15.3
Qatar,2010.0,5.0
Qatar,2015.0,5.8
Republic of Korea,2010.0,14.0
Republic of Korea,2015.0,13.8
Republic of Moldova,2010.0,11.2
Republic of Moldova,2015.0,11.4
Romania,2010.0,19.8
Romania,2015.0,20.0
Russian Federation,2015.0,16.1
Rwanda,2010.0,1.8
Rwanda,2015.0,3.3
Saint Lucia,2010.0,8.3
Saint Lucia,2015.0,6.8
Saint Vincent & Grenadines,2010.0,7.1
San Marino,2010.0,18.7
Sao Tome and Principe,2010.0,4.0
Saudi Arabia,2015.0,1.9
Senegal,2010.0,9.7
Senegal,2015.0,11.0
Serbia,2010.0,16.0
Serbia,2015.0,15.0
Sierra Leone,2015.0,2.3
Singapore,2010.0,16.8
Singapore,2015.0,9.2
Slovakia,2010.0,21.1
Slovakia,2015.0,19.7
Slovenia,2010.0,20.6
Slovenia,2015.0,17.2
South Africa,2010.0,10.9
South Africa,2015.0,10.1
Spain,2010.0,9.5
Spain,2015.0,7.7
Sri Lanka,2010.0,25.4
Sri Lanka,2015.0,25.4
Suriname,2015.0,10.2
Sweden,2010.0,6.6
Sweden,2015.0,7.0
Switzerland,2010.0,10.7
Switzerland,2015.0,2.3
Tajikistan,2010.0,5.1
Thailand,2010.0,18.2
Thailand,2015.0,18.9
Timor-Leste,2010.0,5.4
Timor-Leste,2015.0,6.6
Tunisia,2010.0,32.6
Türkiye,2010.0,15.9
Türkiye,2015.0,16.2
Uganda,2010.0,4.6
Uganda,2015.0,4.0
Ukraine,2010.0,16.7
United Arab Emirates,2015.0,1.3
United Kingdom,2010.0,2.7
United Kingdom,2015.0,7.7
United Rep. of Tanzania,2010.0,3.0
United Rep. of Tanzania,2015.0,3.0
United States of America,2015.0,8.7
Uruguay,2015.0,9.8
Uzbekistan,2015.0,13.2
Venezuela (Boliv. Rep. of),2010.0,10.9
Viet Nam,2010.0,17.2
Yemen,2010.0,14.1
Zambia,2010.0,3.0
Zambia,2015.0,4.2
