Country,Year,Employment by industry: Industry (%) Male
Afghanistan,2010.0,14.7
Afghanistan,2015.0,15.6
Albania,2010.0,27.7
Albania,2015.0,22.1
Angola,2015.0,14.4
Argentina,2010.0,29.7
Argentina,2015.0,31.4
Armenia,2010.0,20.1
Armenia,2015.0,23.1
Australia,2010.0,19.1
Australia,2015.0,30.5
Austria,2010.0,34.6
Austria,2015.0,37.9
Azerbaijan,2010.0,20.9
Azerbaijan,2015.0,18.9
Bahamas,2015.0,19.9
Bahrain,2015.0,42.1
Bangladesh,2015.0,21.8
Barbados,2010.0,29.3
Barbados,2015.0,29.2
Belarus,2010.0,40.4
Belarus,2015.0,39.6
Belgium,2010.0,34.4
Belgium,2015.0,32.8
Belize,2010.0,19.7
Belize,2015.0,19.6
Bhutan,2010.0,5.7
Bhutan,2015.0,9.9
Bolivia (Plurin. State of),2010.0,24.2
Bolivia (Plurin. State of),2015.0,29.1
Brazil,2010.0,30.2
Brazil,2015.0,30.4
Bulgaria,2010.0,40.7
Bulgaria,2015.0,36.3
Burundi,2010.0,5.3
Burundi,2015.0,6.2
Cabo Verde,2010.0,23.5
Cabo Verde,2015.0,24.5
Cambodia,2010.0,16.6
Cameroon,2010.0,4.6
Cameroon,2015.0,17.4
Canada,2010.0,30.7
Canada,2015.0,30.2
Chile,2010.0,31.1
Chile,2015.0,26.6
China,2010.0,28.9
China,2015.0,31.0
Colombia,2010.0,14.3
Colombia,2015.0,22.2
Costa Rica,2010.0,24.4
Costa Rica,2015.0,24.6
Croatia,2010.0,38.0
Croatia,2015.0,36.7
Cuba,2010.0,10.1
Cyprus,2010.0,29.7
Cyprus,2015.0,24.8
Czechia,2010.0,49.0
Czechia,2015.0,49.1
Denmark,2010.0,29.6
Denmark,2015.0,28.0
Dominican Republic,2015.0,22.2
Ecuador,2010.0,23.1
Ecuador,2015.0,25.2
El Salvador,2010.0,14.9
El Salvador,2015.0,24.1
Estonia,2010.0,43.1
Estonia,2015.0,43.2
Eswatini,2010.0,15.2
Eswatini,2015.0,25.6
Finland,2010.0,35.9
Finland,2015.0,32.1
France,2010.0,33.1
France,2015.0,30.4
Georgia,2010.0,16.3
Germany,2010.0,40.3
Germany,2015.0,29.3
Ghana,2015.0,15.5
Greece,2010.0,27.6
Greece,2015.0,20.0
Guatemala,2010.0,20.0
Guatemala,2015.0,19.4
Guyana,2010.0,30.7
Honduras,2015.0,10.3
Hungary,2010.0,40.2
Hungary,2015.0,40.0
Iceland,2010.0,28.2
Iceland,2015.0,25.7
India,2010.0,23.7
India,2015.0,26.3
Indonesia,2010.0,20.9
Indonesia,2015.0,26.0
Ireland,2010.0,26.3
Ireland,2015.0,26.2
Israel,2010.0,28.8
Israel,2015.0,26.0
Italy,2010.0,38.5
Italy,2015.0,36.2
Jamaica,2010.0,22.8
Jamaica,2015.0,21.9
Japan,2015.0,33.2
Kazakhstan,2010.0,25.5
Kazakhstan,2015.0,28.9
Kenya,2015.0,18.6
Kyrgyzstan,2010.0,21.5
Kyrgyzstan,2015.0,27.7
Latvia,2010.0,33.5
Latvia,2015.0,34.7
Lebanon,2010.0,27.6
Lithuania,2010.0,33.4
Lithuania,2015.0,34.0
Luxembourg,2010.0,19.9
Luxembourg,2015.0,19.3
Madagascar,2015.0,8.7
Malawi,2010.0,5.8
Malaysia,2010.0,29.7
Malaysia,2015.0,32.6
Maldives,2010.0,16.4
Maldives,2015.0,16.5
Malta,2010.0,32.1
Malta,2015.0,27.5
Mauritius,2010.0,31.7
Mauritius,2015.0,30.3
Mexico,2010.0,29.2
Mexico,2015.0,30.2
Mongolia,2010.0,20.3
Mongolia,2015.0,26.5
Morocco,2015.0,25.3
Mozambique,2010.0,10.3
Namibia,2010.0,19.1
Nepal,2010.0,9.8
Nepal,2015.0,18.8
Netherlands (Kingdom of the),2010.0,26.9
Netherlands (Kingdom of the),2015.0,16.7
New Zealand,2010.0,30.8
New Zealand,2015.0,32.6
Nicaragua,2010.0,11.8
Nicaragua,2015.0,20.3
Norway,2010.0,31.2
Norway,2015.0,32.0
Oman,2015.0,41.4
Pakistan,2010.0,24.1
Pakistan,2015.0,26.6
Panama,2015.0,24.5
Paraguay,2010.0,25.6
Paraguay,2015.0,15.8
Peru,2010.0,23.3
Peru,2015.0,24.0
Philippines,2015.0,20.3
Poland,2010.0,41.8
Poland,2015.0,42.0
Portugal,2010.0,37.5
Portugal,2015.0,31.1
Qatar,2010.0,63.0
Qatar,2015.0,61.5
Republic of Korea,2010.0,31.3
Republic of Korea,2015.0,33.7
Republic of Moldova,2010.0,24.9
Republic of Moldova,2015.0,22.8
Romania,2010.0,35.0
Romania,2015.0,31.1
Russian Federation,2015.0,37.9
Rwanda,2010.0,8.9
Rwanda,2015.0,16.1
Saint Lucia,2010.0,28.3
Saint Lucia,2015.0,20.0
Saint Vincent & Grenadines,2010.0,29.9
San Marino,2010.0,45.6
Sao Tome and Principe,2010.0,24.5
Saudi Arabia,2015.0,27.1
Senegal,2010.0,21.0
Senegal,2015.0,23.2
Serbia,2010.0,32.7
Serbia,2015.0,23.4
Sierra Leone,2015.0,7.9
Singapore,2010.0,28.1
Singapore,2015.0,20.7
Slovakia,2010.0,50.0
Slovakia,2015.0,48.4
Slovenia,2010.0,33.1
Slovenia,2015.0,43.4
South Africa,2010.0,25.4
South Africa,2015.0,29.9
Spain,2010.0,31.8
Spain,2015.0,29.3
Sri Lanka,2010.0,24.6
Sri Lanka,2015.0,25.9
Suriname,2015.0,37.7
Sweden,2010.0,30.8
Sweden,2015.0,28.6
Switzerland,2010.0,32.2
Switzerland,2015.0,30.0
Tajikistan,2010.0,21.5
Thailand,2010.0,22.7
Thailand,2015.0,25.2
Timor-Leste,2010.0,12.5
Timor-Leste,2015.0,12.6
Tunisia,2010.0,33.6
Türkiye,2010.0,30.4
Türkiye,2015.0,22.6
Uganda,2010.0,10.0
Uganda,2015.0,4.6
Ukraine,2010.0,37.6
United Arab Emirates,2015.0,38.4
United Kingdom,2010.0,29.5
United Kingdom,2015.0,28.3
United Rep. of Tanzania,2010.0,8.5
United Rep. of Tanzania,2015.0,3.7
United States of America,2015.0,16.9
Uruguay,2015.0,29.2
Uzbekistan,2015.0,29.8
Venezuela (Boliv. Rep. of),2010.0,29.3
Viet Nam,2010.0,25.8
Yemen,2010.0,19.7
Zambia,2010.0,14.0
Zambia,2015.0,11.3
