Country,Year,Employment by industry: Industry (%) Male and Female
Afghanistan,2010.0,15.3
Afghanistan,2015.0,20.7
Albania,2010.0,20.6
Albania,2015.0,18.6
Angola,2015.0,8.0
Argentina,2010.0,13.7
Argentina,2015.0,22.2
Armenia,2010.0,17.3
Armenia,2015.0,15.8
Australia,2010.0,18.1
Australia,2015.0,20.0
Austria,2010.0,24.8
Austria,2015.0,25.8
Azerbaijan,2010.0,13.6
Azerbaijan,2015.0,14.0
Bahamas,2015.0,11.6
Bahrain,2015.0,35.1
Bangladesh,2015.0,20.5
Barbados,2010.0,19.2
Barbados,2015.0,19.4
Belarus,2010.0,32.2
Belarus,2015.0,31.1
Belgium,2010.0,23.3
Belgium,2015.0,21.4
Belize,2010.0,15.8
Belize,2015.0,15.4
Bhutan,2010.0,6.2
Bhutan,2015.0,9.7
Bolivia (Plurin. State of),2010.0,19.0
Bolivia (Plurin. State of),2015.0,20.9
Brazil,2010.0,23.0
Brazil,2015.0,22.6
Bulgaria,2010.0,32.9
Bulgaria,2015.0,29.9
Burundi,2010.0,3.0
Burundi,2015.0,3.5
Cabo Verde,2010.0,17.9
Cabo Verde,2015.0,18.8
Cambodia,2010.0,16.0
Cameroon,2010.0,12.2
Cameroon,2015.0,14.3
Canada,2010.0,20.1
Canada,2015.0,19.8
Chile,2010.0,15.3
Chile,2015.0,23.7
China,2010.0,28.7
China,2015.0,29.2
Colombia,2010.0,20.0
Colombia,2015.0,19.8
Costa Rica,2010.0,17.7
Costa Rica,2015.0,19.0
Croatia,2010.0,27.4
Croatia,2015.0,26.7
Cuba,2010.0,17.0
Cyprus,2010.0,9.9
Cyprus,2015.0,16.3
Czechia,2010.0,38.0
Czechia,2015.0,38.1
Denmark,2010.0,14.2
Denmark,2015.0,7.4
Dominican Republic,2015.0,18.4
Ecuador,2010.0,17.5
Ecuador,2015.0,9.2
El Salvador,2010.0,21.4
El Salvador,2015.0,22.1
Estonia,2010.0,30.3
Estonia,2015.0,30.7
Eswatini,2010.0,24.9
Eswatini,2015.0,24.6
Finland,2010.0,23.4
Finland,2015.0,21.7
France,2010.0,22.3
France,2015.0,20.3
Georgia,2010.0,10.6
Germany,2010.0,28.4
Germany,2015.0,27.7
Ghana,2015.0,18.7
Greece,2010.0,19.6
Greece,2015.0,11.2
Guatemala,2010.0,22.0
Guatemala,2015.0,18.9
Guyana,2010.0,23.8
Honduras,2015.0,21.9
Hungary,2010.0,30.7
Hungary,2015.0,30.3
Iceland,2010.0,18.5
Iceland,2015.0,17.9
India,2010.0,20.8
India,2015.0,24.6
Indonesia,2010.0,18.6
Indonesia,2015.0,22.1
Ireland,2010.0,18.1
Ireland,2015.0,18.1
Israel,2010.0,19.7
Israel,2015.0,11.9
Italy,2010.0,28.6
Italy,2015.0,26.5
Jamaica,2010.0,15.0
Jamaica,2015.0,14.9
Japan,2015.0,24.1
Kazakhstan,2010.0,5.3
Kazakhstan,2015.0,12.9
Kenya,2015.0,13.8
Kyrgyzstan,2010.0,21.1
Kyrgyzstan,2015.0,20.9
Latvia,2010.0,23.1
Latvia,2015.0,15.9
Lebanon,2010.0,23.6
Lithuania,2010.0,17.9
Lithuania,2015.0,23.2
Luxembourg,2010.0,13.3
Luxembourg,2015.0,12.6
Madagascar,2015.0,9.3
Malawi,2010.0,7.2
Malaysia,2010.0,27.6
Malaysia,2015.0,27.5
Maldives,2010.0,17.3
Maldives,2015.0,23.3
Malta,2010.0,25.5
Malta,2015.0,20.0
Mauritius,2010.0,28.7
Mauritius,2015.0,25.3
Mexico,2010.0,23.4
Mexico,2015.0,25.2
Mongolia,2010.0,16.2
Mongolia,2015.0,20.4
Morocco,2015.0,22.1
Mozambique,2010.0,5.3
Namibia,2010.0,12.7
Nepal,2010.0,14.2
Nepal,2015.0,14.9
Netherlands (Kingdom of the),2010.0,10.9
Netherlands (Kingdom of the),2015.0,16.3
New Zealand,2010.0,20.9
New Zealand,2015.0,22.0
Nicaragua,2010.0,17.8
Nicaragua,2015.0,17.9
Norway,2010.0,16.8
Norway,2015.0,20.1
Oman,2015.0,37.3
Pakistan,2010.0,14.7
Pakistan,2015.0,23.0
Panama,2015.0,8.2
Paraguay,2010.0,19.2
Paraguay,2015.0,19.8
Peru,2010.0,17.4
Peru,2015.0,17.4
Philippines,2015.0,8.6
Poland,2010.0,30.3
Poland,2015.0,30.5
Portugal,2010.0,27.3
Portugal,2015.0,24.3
Qatar,2010.0,56.4
Qatar,2015.0,47.5
Republic of Korea,2010.0,24.8
Republic of Korea,2015.0,25.5
Republic of Moldova,2010.0,18.7
Republic of Moldova,2015.0,17.1
Romania,2010.0,28.3
Romania,2015.0,28.5
Russian Federation,2015.0,27.3
Rwanda,2010.0,5.7
Rwanda,2015.0,9.5
Saint Lucia,2010.0,19.2
Saint Lucia,2015.0,16.9
Saint Vincent & Grenadines,2010.0,20.7
San Marino,2010.0,34.3
Sao Tome and Principe,2010.0,18.0
Saudi Arabia,2015.0,23.8
Senegal,2010.0,18.2
Senegal,2015.0,18.4
Serbia,2010.0,20.8
Serbia,2015.0,24.4
Sierra Leone,2015.0,6.7
Singapore,2010.0,23.6
Singapore,2015.0,17.1
Slovakia,2010.0,37.1
Slovakia,2015.0,36.1
Slovenia,2010.0,26.8
Slovenia,2015.0,32.0
South Africa,2010.0,21.6
South Africa,2015.0,21.4
Spain,2010.0,22.9
Spain,2015.0,14.2
Sri Lanka,2010.0,24.8
Sri Lanka,2015.0,25.8
Suriname,2015.0,27.1
Sweden,2010.0,19.9
Sweden,2015.0,18.3
Switzerland,2010.0,21.5
Switzerland,2015.0,19.7
Tajikistan,2010.0,15.8
Thailand,2010.0,20.7
Thailand,2015.0,18.0
Timor-Leste,2010.0,9.3
Timor-Leste,2015.0,9.9
Tunisia,2010.0,32.3
Türkiye,2010.0,26.1
Türkiye,2015.0,27.3
Uganda,2010.0,7.4
Uganda,2015.0,7.8
Ukraine,2010.0,26.9
United Arab Emirates,2015.0,33.2
United Kingdom,2010.0,19.2
United Kingdom,2015.0,18.7
United Rep. of Tanzania,2010.0,5.8
United Rep. of Tanzania,2015.0,6.4
United States of America,2015.0,19.5
Uruguay,2015.0,20.5
Uzbekistan,2015.0,23.2
Venezuela (Boliv. Rep. of),2010.0,21.9
Viet Nam,2010.0,21.7
Yemen,2010.0,19.0
Zambia,2010.0,8.7
Zambia,2015.0,11.5
