Country,Year,Employment by industry: Services (%) Female
Afghanistan,2010.0,6.0
Afghanistan,2015.0,7.1
Albania,2010.0,36.3
Albania,2015.0,38.3
Angola,2015.0,32.8
Argentina,2010.0,86.4
Argentina,2015.0,87.0
Armenia,2010.0,46.9
Armenia,2015.0,52.4
Australia,2010.0,89.1
Australia,2015.0,90.3
Austria,2010.0,83.5
Austria,2015.0,83.6
Azerbaijan,2010.0,49.4
Azerbaijan,2015.0,52.0
Bahamas,2015.0,95.3
Bahrain,2015.0,90.7
Bangladesh,2015.0,21.7
Barbados,2010.0,89.4
Barbados,2015.0,88.5
Belarus,2010.0,65.1
Belarus,2015.0,69.3
Belgium,2010.0,89.0
Belgium,2015.0,90.9
Belize,2010.0,87.8
Belize,2015.0,87.2
Bhutan,2010.0,27.9
Bhutan,2015.0,24.4
Bolivia (Plurin. State of),2010.0,59.0
Bolivia (Plurin. State of),2015.0,60.5
Brazil,2010.0,80.2
Brazil,2015.0,83.1
Bulgaria,2010.0,70.7
Bulgaria,2015.0,73.0
Burundi,2010.0,2.3
Burundi,2015.0,5.1
Cabo Verde,2010.0,78.0
Cabo Verde,2015.0,77.9
Cambodia,2010.0,28.9
Cameroon,2010.0,29.0
Cameroon,2015.0,37.1
Canada,2010.0,90.3
Canada,2015.0,90.5
Chile,2010.0,84.4
Chile,2015.0,83.9
China,2010.0,38.9
China,2015.0,48.1
Colombia,2010.0,77.1
Colombia,2015.0,78.8
Costa Rica,2010.0,84.9
Costa Rica,2015.0,82.4
Croatia,2010.0,69.6
Croatia,2015.0,77.5
Cuba,2010.0,80.0
Cyprus,2010.0,88.3
Cyprus,2015.0,91.6
Czechia,2010.0,74.9
Czechia,2015.0,74.6
Denmark,2010.0,89.8
Denmark,2015.0,89.4
Dominican Republic,2015.0,89.7
Ecuador,2010.0,68.0
Ecuador,2015.0,66.2
El Salvador,2010.0,76.2
El Salvador,2015.0,76.6
Estonia,2010.0,79.2
Estonia,2015.0,80.0
Eswatini,2010.0,62.5
Eswatini,2015.0,64.7
Finland,2010.0,87.4
Finland,2015.0,89.1
France,2010.0,88.0
France,2015.0,88.9
Georgia,2010.0,45.8
Germany,2010.0,84.5
Germany,2015.0,85.1
Ghana,2015.0,52.3
Greece,2010.0,79.6
Greece,2015.0,79.7
Guatemala,2010.0,62.5
Guatemala,2015.0,72.5
Guyana,2010.0,81.7
Honduras,2015.0,71.7
Hungary,2010.0,77.9
Hungary,2015.0,78.4
Iceland,2010.0,90.1
Iceland,2015.0,91.2
India,2010.0,17.5
India,2015.0,24.2
Indonesia,2010.0,46.7
Indonesia,2015.0,51.7
Ireland,2010.0,89.5
Ireland,2015.0,89.9
Israel,2010.0,89.9
Israel,2015.0,91.4
Italy,2010.0,83.1
Italy,2015.0,84.3
Jamaica,2010.0,85.3
Jamaica,2015.0,86.4
Japan,2015.0,82.6
Kazakhstan,2010.0,61.2
Kazakhstan,2015.0,71.4
Kenya,2015.0,50.7
Kyrgyzstan,2010.0,57.3
Kyrgyzstan,2015.0,57.3
Latvia,2010.0,80.7
Latvia,2015.0,82.2
Lebanon,2010.0,91.5
Lithuania,2010.0,76.9
Lithuania,2015.0,76.9
Luxembourg,2010.0,94.3
Luxembourg,2015.0,94.9
Madagascar,2015.0,17.1
Malawi,2010.0,22.3
Malaysia,2010.0,71.3
Malaysia,2015.0,72.9
Maldives,2010.0,77.0
Maldives,2015.0,73.9
Malta,2010.0,86.1
Malta,2015.0,90.9
Mauritius,2010.0,71.0
Mauritius,2015.0,77.3
Mexico,2010.0,79.8
Mexico,2015.0,79.4
Mongolia,2010.0,56.2
Mongolia,2015.0,60.1
Morocco,2015.0,31.3
Mozambique,2010.0,12.4
Namibia,2010.0,64.2
Nepal,2010.0,9.6
Nepal,2015.0,12.3
Netherlands (Kingdom of the),2010.0,91.5
Netherlands (Kingdom of the),2015.0,92.4
New Zealand,2010.0,85.9
New Zealand,2015.0,85.9
Nicaragua,2010.0,76.1
Nicaragua,2015.0,77.0
Norway,2010.0,91.9
Norway,2015.0,91.8
Oman,2015.0,93.3
Pakistan,2010.0,14.5
Pakistan,2015.0,13.4
Panama,2015.0,82.6
Paraguay,2010.0,73.2
Paraguay,2015.0,76.4
Peru,2010.0,64.3
Peru,2015.0,65.3
Philippines,2015.0,71.1
Poland,2010.0,71.2
Poland,2015.0,73.2
Portugal,2010.0,73.2
Portugal,2015.0,79.3
Qatar,2010.0,94.9
Qatar,2015.0,94.1
Republic of Korea,2010.0,79.3
Republic of Korea,2015.0,80.9
Republic of Moldova,2010.0,63.2
Republic of Moldova,2015.0,59.2
Romania,2010.0,47.8
Romania,2015.0,54.4
Russian Federation,2015.0,78.8
Rwanda,2010.0,11.8
Rwanda,2015.0,20.1
Saint Lucia,2010.0,84.4
Saint Lucia,2015.0,87.9
Saint Vincent & Grenadines,2010.0,86.6
San Marino,2010.0,81.1
Sao Tome and Principe,2010.0,82.1
Saudi Arabia,2015.0,97.8
Senegal,2010.0,54.1
Senegal,2015.0,61.9
Serbia,2010.0,63.0
Serbia,2015.0,66.9
Sierra Leone,2015.0,42.9
Singapore,2010.0,82.7
Singapore,2015.0,87.7
Slovakia,2010.0,77.2
Slovakia,2015.0,77.9
Slovenia,2010.0,70.9
Slovenia,2015.0,74.7
South Africa,2010.0,70.7
South Africa,2015.0,73.9
Spain,2010.0,88.0
Spain,2015.0,89.2
Sri Lanka,2010.0,38.1
Sri Lanka,2015.0,42.2
Suriname,2015.0,84.4
Sweden,2010.0,91.4
Sweden,2015.0,92.1
Switzerland,2010.0,86.6
Switzerland,2015.0,87.0
Tajikistan,2010.0,25.8
Thailand,2010.0,45.7
Thailand,2015.0,49.3
Timor-Leste,2010.0,43.1
Timor-Leste,2015.0,46.6
Tunisia,2010.0,47.2
Türkiye,2010.0,44.9
Türkiye,2015.0,52.7
Uganda,2010.0,19.6
Uganda,2015.0,22.5
Ukraine,2010.0,68.3
United Arab Emirates,2015.0,94.9
United Kingdom,2010.0,92.0
United Kingdom,2015.0,91.6
United Rep. of Tanzania,2010.0,23.1
United Rep. of Tanzania,2015.0,26.7
United States of America,2015.0,90.4
Uruguay,2015.0,85.7
Uzbekistan,2015.0,61.0
Venezuela (Boliv. Rep. of),2010.0,87.4
Viet Nam,2010.0,22.0
Yemen,2010.0,57.5
Zambia,2010.0,24.6
Zambia,2015.0,28.2
