Country,Year,Employment by industry: Services (%) Male
Afghanistan,2010.0,35.4
Afghanistan,2015.0,40.8
Albania,2010.0,38.1
Albania,2015.0,41.3
Angola,2015.0,35.3
Argentina,2010.0,57.2
Argentina,2015.0,57.1
Armenia,2010.0,41.7
Armenia,2015.0,45.6
Australia,2010.0,64.9
Australia,2015.0,66.2
Austria,2010.0,58.1
Austria,2015.0,57.3
Azerbaijan,2010.0,46.8
Azerbaijan,2015.0,47.3
Bahamas,2015.0,74.8
Bahrain,2015.0,56.5
Bangladesh,2015.0,41.5
Barbados,2010.0,66.9
Barbados,2015.0,67.0
Belarus,2010.0,45.4
Belarus,2015.0,49.0
Belgium,2010.0,64.0
Belgium,2015.0,65.7
Belize,2010.0,54.5
Belize,2015.0,54.4
Bhutan,2010.0,47.9
Bhutan,2015.0,37.7
Bolivia (Plurin. State of),2010.0,42.1
Bolivia (Plurin. State of),2015.0,41.7
Brazil,2010.0,53.6
Brazil,2015.0,56.0
Bulgaria,2010.0,51.0
Bulgaria,2015.0,54.7
Burundi,2010.0,13.4
Burundi,2015.0,7.1
Cabo Verde,2010.0,55.2
Cabo Verde,2015.0,56.1
Cambodia,2010.0,29.7
Cameroon,2010.0,36.1
Cameroon,2015.0,28.7
Canada,2010.0,66.8
Canada,2015.0,67.6
Chile,2010.0,54.7
Chile,2015.0,55.4
China,2010.0,31.2
China,2015.0,37.5
Colombia,2010.0,51.0
Colombia,2015.0,53.6
Costa Rica,2010.0,58.3
Costa Rica,2015.0,55.5
Croatia,2010.0,48.8
Croatia,2015.0,52.5
Cuba,2010.0,54.6
Cyprus,2010.0,65.5
Cyprus,2015.0,69.5
Czechia,2010.0,47.0
Czechia,2015.0,47.0
Denmark,2010.0,66.5
Denmark,2015.0,68.2
Dominican Republic,2015.0,61.2
Ecuador,2010.0,44.7
Ecuador,2015.0,34.3
El Salvador,2010.0,44.6
El Salvador,2015.0,47.4
Estonia,2010.0,51.2
Estonia,2015.0,51.5
Eswatini,2010.0,57.3
Eswatini,2015.0,59.3
Finland,2010.0,58.1
Finland,2015.0,59.9
France,2010.0,63.0
France,2015.0,65.7
Georgia,2010.0,37.3
Germany,2010.0,57.7
Germany,2015.0,58.5
Ghana,2015.0,40.8
Greece,2010.0,60.1
Greece,2015.0,66.8
Guatemala,2010.0,35.1
Guatemala,2015.0,37.9
Guyana,2010.0,42.8
Honduras,2015.0,37.1
Hungary,2010.0,53.3
Hungary,2015.0,53.2
Iceland,2010.0,63.3
Iceland,2015.0,66.1
India,2010.0,29.5
India,2015.0,31.9
Indonesia,2010.0,39.5
Indonesia,2015.0,28.8
Ireland,2010.0,64.7
Ireland,2015.0,65.3
Israel,2010.0,68.9
Israel,2015.0,72.6
Italy,2010.0,57.0
Italy,2015.0,59.2
Jamaica,2010.0,52.1
Jamaica,2015.0,53.0
Japan,2015.0,63.0
Kazakhstan,2010.0,45.3
Kazakhstan,2015.0,52.1
Kenya,2015.0,48.6
Kyrgyzstan,2010.0,39.2
Kyrgyzstan,2015.0,44.7
Latvia,2010.0,54.7
Latvia,2015.0,54.5
Lebanon,2010.0,66.8
Lithuania,2010.0,55.2
Lithuania,2015.0,54.4
Luxembourg,2010.0,78.8
Luxembourg,2015.0,79.5
Madagascar,2015.0,9.6
Malawi,2010.0,27.5
Malaysia,2010.0,52.5
Malaysia,2015.0,52.2
Maldives,2010.0,66.9
Maldives,2015.0,66.5
Malta,2010.0,66.2
Malta,2015.0,70.4
Mauritius,2010.0,58.2
Mauritius,2015.0,61.0
Mexico,2010.0,51.1
Mexico,2015.0,50.7
Mongolia,2010.0,45.0
Mongolia,2015.0,43.7
Morocco,2015.0,44.8
Mozambique,2010.0,24.8
Namibia,2010.0,48.0
Nepal,2010.0,26.2
Nepal,2015.0,29.9
Netherlands (Kingdom of the),2010.0,69.0
Netherlands (Kingdom of the),2015.0,71.7
New Zealand,2010.0,60.2
New Zealand,2015.0,59.4
Nicaragua,2010.0,39.3
Nicaragua,2015.0,35.5
Norway,2010.0,64.8
Norway,2015.0,65.1
Oman,2015.0,52.6
