Country,Year,Employment by industry: Services (%) Male and Female
Afghanistan,2010.0,31.0
Afghanistan,2015.0,34.7
Albania,2010.0,37.3
Albania,2015.0,40.1
Angola,2015.0,34.1
Argentina,2010.0,69.1
Argentina,2015.0,69.5
Armenia,2010.0,44.0
Armenia,2015.0,48.8
Australia,2010.0,75.8
Australia,2015.0,77.3
Austria,2010.0,69.9
Austria,2015.0,69.7
Azerbaijan,2010.0,48.1
Azerbaijan,2015.0,49.6
Bahamas,2015.0,84.9
Bahrain,2015.0,63.8
Bangladesh,2015.0,36.0
Barbados,2010.0,77.9
Barbados,2015.0,77.8
Belarus,2010.0,55.3
Belarus,2015.0,59.3
Belgium,2010.0,75.3
Belgium,2015.0,77.4
Belize,2010.0,66.0
Belize,2015.0,66.4
Bhutan,2010.0,39.2
Bhutan,2015.0,32.4
Bolivia (Plurin. State of),2010.0,49.3
Bolivia (Plurin. State of),2015.0,49.3
Brazil,2010.0,64.6
Brazil,2015.0,67.4
Bulgaria,2010.0,60.2
Bulgaria,2015.0,63.3
Burundi,2010.0,8.7
Burundi,2015.0,10.2
Cabo Verde,2010.0,64.4
Cabo Verde,2015.0,65.5
Cambodia,2010.0,29.2
Cameroon,2010.0,32.8
Cameroon,2015.0,39.0
Canada,2010.0,78.0
Canada,2015.0,78.5
Chile,2010.0,66.4
Chile,2015.0,67.1
China,2010.0,34.6
China,2015.0,42.2
Colombia,2010.0,61.6
Colombia,2015.0,64.2
Costa Rica,2010.0,68.0
Costa Rica,2015.0,65.8
Croatia,2010.0,58.3
Croatia,2015.0,64.0
Cuba,2010.0,64.3
Cyprus,2010.0,75.8
Cyprus,2015.0,79.8
Czechia,2010.0,58.9
Czechia,2015.0,59.0
Denmark,2010.0,77.6
Denmark,2015.0,78.1
Dominican Republic,2015.0,71.9
Ecuador,2010.0,53.6
Ecuador,2015.0,54.1
El Salvador,2010.0,57.9
El Salvador,2015.0,59.7
Estonia,2010.0,65.4
Estonia,2015.0,65.4
Eswatini,2010.0,59.8
Eswatini,2015.0,61.8
Finland,2010.0,72.3
Finland,2015.0,74.0
France,2010.0,74.9
France,2015.0,77.0
Georgia,2010.0,41.4
Germany,2010.0,70.0
Germany,2015.0,70.9
Ghana,2015.0,46.1
Greece,2010.0,68.0
Greece,2015.0,72.2
Guatemala,2010.0,44.5
Guatemala,2015.0,49.2
Guyana,2010.0,56.1
Honduras,2015.0,49.5
Hungary,2010.0,64.8
Hungary,2015.0,64.8
Iceland,2010.0,75.9
Iceland,2015.0,77.9
India,2010.0,26.7
India,2015.0,30.3
Indonesia,2010.0,42.2
Indonesia,2015.0,44.9
Ireland,2010.0,76.2
Ireland,2015.0,76.5
Israel,2010.0,78.7
Israel,2015.0,81.4
Italy,2010.0,67.7
Italy,2015.0,69.6
Jamaica,2010.0,66.3
Jamaica,2015.0,67.3
Japan,2015.0,71.4
Kazakhstan,2010.0,53.0
Kazakhstan,2015.0,61.4
Kenya,2015.0,49.6
Kyrgyzstan,2010.0,46.7
Kyrgyzstan,2015.0,49.8
Latvia,2010.0,68.3
Latvia,2015.0,68.4
Lebanon,2010.0,72.5
Lithuania,2010.0,66.6
Lithuania,2015.0,65.9
Luxembourg,2010.0,85.5
Luxembourg,2015.0,86.5
Madagascar,2015.0,16.2
Malawi,2010.0,25.0
Malaysia,2010.0,59.1
Malaysia,2015.0,60.1
Maldives,2010.0,70.0
Maldives,2015.0,68.5
Malta,2010.0,73.1
Malta,2015.0,78.5
Mauritius,2010.0,62.6
Mauritius,2015.0,67.1
Mexico,2010.0,61.7
Mexico,2015.0,61.5
Mongolia,2010.0,50.3
Mongolia,2015.0,51.2
Morocco,2015.0,41.3
Mozambique,2010.0,18.2
Namibia,2010.0,55.6
Nepal,2010.0,18.0
Nepal,2015.0,20.2
Netherlands (Kingdom of the),2010.0,79.2
Netherlands (Kingdom of the),2015.0,81.2
New Zealand,2010.0,72.1
New Zealand,2015.0,71.9
Nicaragua,2010.0,52.5
Nicaragua,2015.0,51.2
Norway,2010.0,77.8
Norway,2015.0,77.9
Oman,2015.0,57.4
Pakistan,2010.0,35.2
Pakistan,2015.0,35.0
Panama,2015.0,66.6
Paraguay,2010.0,55.2
Paraguay,2015.0,60.5
Peru,2010.0,55.8
Peru,2015.0,55.6
Philippines,2015.0,54.7
Poland,2010.0,56.6
Poland,2015.0,57.9
Portugal,2010.0,61.5
Portugal,2015.0,68.1
Qatar,2010.0,42.1
Qatar,2015.0,44.6
Republic of Korea,2010.0,68.7
Republic of Korea,2015.0,69.3
Republic of Moldova,2010.0,53.8
Republic of Moldova,2015.0,48.7
Romania,2010.0,40.7
Romania,2015.0,46.0
Russian Federation,2015.0,66.0
Rwanda,2010.0,15.0
Rwanda,2015.0,24.9
Saint Lucia,2010.0,68.4
Saint Lucia,2015.0,72.0
Saint Vincent & Grenadines,2010.0,66.9
San Marino,2010.0,65.4
Sao Tome and Principe,2010.0,59.2
Saudi Arabia,2015.0,70.3
Senegal,2010.0,43.6
Senegal,2015.0,50.4
Serbia,2010.0,52.1
Serbia,2015.0,56.1
Sierra Leone,2015.0,36.4
Singapore,2010.0,75.6
Singapore,2015.0,82.3
Slovakia,2010.0,59.7
Slovakia,2015.0,60.7
Slovenia,2010.0,58.6
Slovenia,2015.0,61.0
South Africa,2010.0,61.9
South Africa,2015.0,63.1
Spain,2010.0,72.9
Spain,2015.0,76.0
Sri Lanka,2010.0,44.2
Sri Lanka,2015.0,45.6
Suriname,2015.0,65.6
Sweden,2010.0,78.0
Sweden,2015.0,79.6
Switzerland,2010.0,74.0
Switzerland,2015.0,75.8
Tajikistan,2010.0,31.9
Thailand,2010.0,41.2
Thailand,2015.0,43.9
Timor-Leste,2010.0,42.2
Timor-Leste,2015.0,42.9
Tunisia,2010.0,48.6
Türkiye,2010.0,50.1
Türkiye,2015.0,52.3
Uganda,2010.0,21.3
Uganda,2015.0,24.4
Ukraine,2010.0,56.7
United Arab Emirates,2015.0,64.4
United Kingdom,2010.0,79.6
United Kingdom,2015.0,80.2
United Rep. of Tanzania,2010.0,24.0
United Rep. of Tanzania,2015.0,26.2
United States of America,2015.0,78.7
Uruguay,2015.0,70.7
Uzbekistan,2015.0,50.0
Venezuela (Boliv. Rep. of),2010.0,69.5
Viet Nam,2010.0,29.6
Yemen,2010.0,56.8
Zambia,2010.0,25.2
Zambia,2015.0,28.0
