Country,Year,GDP in constant 2015 prices (millions of US dollars)
Afghanistan,2010.0,14744.0
Afghanistan,2015.0,18713.0
Albania,2010.0,10420.0
Albania,2015.0,11387.0
Angola,2015.0,116194.0
Argentina,2010.0,599349.0
Argentina,2015.0,644903.0
Armenia,2010.0,8517.0
Armenia,2015.0,10553.0
Australia,2010.0,1085342.0
Australia,2015.0,1245248.0
Austria,2010.0,362278.0
Austria,2015.0,381818.0
Azerbaijan,2010.0,47223.0
Azerbaijan,2015.0,53076.0
Bahamas,2015.0,11862.0
Bahrain,2015.0,31051.0
Bangladesh,2015.0,228785.0
Barbados,2010.0,4735.0
Barbados,2015.0,4725.0
Belarus,2010.0,53219.0
Belarus,2015.0,56455.0
Belgium,2010.0,433230.0
Belgium,2015.0,462150.0
Belize,2010.0,1895.0
Belize,2015.0,2210.0
Bhutan,2010.0,1532.0
Bhutan,2015.0,2004.0
Bolivia (Plurin. State of),2010.0,25267.0
Bolivia (Plurin. State of),2015.0,33000.0
Brazil,2010.0,1703150.0
Brazil,2015.0,1802212.0
Bulgaria,2010.0,47538.0
Bulgaria,2015.0,50782.0
Burundi,2010.0,2376.0
Burundi,2015.0,2811.0
Cabo Verde,2010.0,1483.0
Cabo Verde,2015.0,1596.0
Cambodia,2010.0,12760.0
Cameroon,2010.0,25370.0
Cameroon,2015.0,32186.0
Canada,2010.0,1399168.0
Canada,2015.0,1556129.0
Chile,2010.0,201494.0
Chile,2015.0,243919.0
China,2010.0,7554111.0
China,2015.0,11061570.0
Colombia,2010.0,233471.0
Colombia,2015.0,293482.0
Costa Rica,2010.0,46858.0
Costa Rica,2015.0,56442.0
Croatia,2010.0,50638.0
Croatia,2015.0,50243.0
Cuba,2010.0,75943.0
Cyprus,2010.0,21632.0
Cyprus,2015.0,19901.0
Czechia,2010.0,172890.0
Czechia,2015.0,188033.0
Denmark,2010.0,283894.0
Denmark,2015.0,302673.0
Dominican Republic,2015.0,71155.0
Ecuador,2010.0,79915.0
Ecuador,2015.0,99290.0
El Salvador,2010.0,20624.0
El Salvador,2015.0,23438.0
Estonia,2010.0,19413.0
Estonia,2015.0,22882.0
Eswatini,2010.0,3516.0
Eswatini,2015.0,4059.0
Finland,2010.0,233553.0
Finland,2015.0,234440.0
France,2010.0,2316636.0
France,2015.0,2438208.0
Georgia,2010.0,11739.0
Germany,2010.0,3086730.0
Germany,2015.0,3356236.0
Ghana,2015.0,50034.0
Greece,2010.0,239684.0
Greece,2015.0,195605.0
Guatemala,2010.0,51428.0
Guatemala,2015.0,62186.0
Guyana,2010.0,3641.0
Honduras,2015.0,20980.0
Hungary,2010.0,113077.0
Hungary,2015.0,125174.0
Iceland,2010.0,15328.0
Iceland,2015.0,17517.0
India,2010.0,1567418.0
India,2015.0,2146759.0
Indonesia,2010.0,657835.0
Indonesia,2015.0,860854.0
Ireland,2010.0,211683.0
Ireland,2015.0,291658.0
Israel,2010.0,247803.0
Israel,2015.0,300078.0
Italy,2010.0,1899562.0
Italy,2015.0,1835899.0
Jamaica,2010.0,13748.0
Jamaica,2015.0,14198.0
Japan,2015.0,4444931.0
Kazakhstan,2010.0,144702.0
Kazakhstan,2015.0,184388.0
Kenya,2015.0,70121.0
Kyrgyzstan,2010.0,5263.0
Kyrgyzstan,2015.0,6678.0
Latvia,2010.0,22985.0
Latvia,2015.0,27252.0
Lebanon,2010.0,45147.0
Lithuania,2010.0,34388.0
Lithuania,2015.0,41419.0
Luxembourg,2010.0,53991.0
Luxembourg,2015.0,60047.0
Madagascar,2015.0,11323.0
Malawi,2010.0,5294.0
Malaysia,2010.0,232654.0
Malaysia,2015.0,301355.0
Maldives,2010.0,3117.0
Maldives,2015.0,4109.0
Malta,2010.0,8518.0
Malta,2015.0,11087.0
Mauritius,2010.0,9885.0
Mauritius,2015.0,12007.0
Mexico,2010.0,1012984.0
Mexico,2015.0,1171870.0
Mongolia,2010.0,7232.0
Mongolia,2015.0,11620.0
Morocco,2015.0,110414.0
Mozambique,2010.0,11292.0
Namibia,2010.0,8788.0
Nepal,2010.0,18947.0
Nepal,2015.0,23667.0
Netherlands (Kingdom of the),2010.0,737269.0
Netherlands (Kingdom of the),2015.0,765265.0
New Zealand,2010.0,153236.0
New Zealand,2015.0,178064.0
Nicaragua,2010.0,9779.0
Nicaragua,2015.0,12757.0
Norway,2010.0,354112.0
Norway,2015.0,385802.0
Oman,2015.0,78711.0
Pakistan,2010.0,230017.0
Pakistan,2015.0,297019.0
Panama,2015.0,54092.0
Paraguay,2010.0,29786.0
Paraguay,2015.0,36211.0
Peru,2010.0,150299.0
Peru,2015.0,189803.0
Philippines,2015.0,306446.0
Poland,2010.0,409175.0
Poland,2015.0,477111.0
Portugal,2010.0,207893.0
Portugal,2015.0,199314.0
Qatar,2010.0,117318.0
Qatar,2015.0,161740.0
Republic of Korea,2010.0,1261202.0
Republic of Korea,2015.0,1465773.0
Republic of Moldova,2010.0,6452.0
Republic of Moldova,2015.0,7745.0
Romania,2010.0,155041.0
Romania,2015.0,177884.0
Russian Federation,2015.0,1363482.0
Rwanda,2010.0,6006.0
Rwanda,2015.0,8526.0
Saint Lucia,2010.0,1747.0
Saint Lucia,2015.0,1810.0
Saint Vincent & Grenadines,2010.0,734.0
San Marino,2010.0,1881.0
Sao Tome and Principe,2010.0,255.0
Saudi Arabia,2015.0,654270.0
Senegal,2010.0,14564.0
Senegal,2015.0,17761.0
Serbia,2010.0,37960.0
Serbia,2015.0,39656.0
Sierra Leone,2015.0,4248.0
Singapore,2010.0,247501.0
Singapore,2015.0,307999.0
Slovakia,2010.0,78598.0
Slovakia,2015.0,88865.0
Slovenia,2010.0,42210.0
Slovenia,2015.0,43090.0
South Africa,2010.0,311453.0
South Africa,2015.0,346486.0
Spain,2010.0,1196654.0
Spain,2015.0,1195676.0
Sri Lanka,2010.0,59780.0
Sri Lanka,2015.0,80604.0
Suriname,2015.0,5126.0
Sweden,2010.0,453619.0
Sweden,2015.0,505104.0
Switzerland,2010.0,641852.0
Switzerland,2015.0,702150.0
Tajikistan,2010.0,6183.0
Thailand,2010.0,346968.0
Thailand,2015.0,401296.0
Timor-Leste,2010.0,1296.0
Timor-Leste,2015.0,1594.0
Tunisia,2010.0,39518.0
Türkiye,2010.0,614169.0
Türkiye,2015.0,864314.0
Uganda,2010.0,23621.0
Uganda,2015.0,29297.0
Ukraine,2010.0,102154.0
United Arab Emirates,2015.0,358135.0
United Kingdom,2010.0,2660406.0
United Kingdom,2015.0,2934858.0
United Rep. of Tanzania,2010.0,34515.0
United Rep. of Tanzania,2015.0,47379.0
United States of America,2015.0,18206023.0
Uruguay,2015.0,57081.0
Uzbekistan,2015.0,86196.0
Venezuela (Boliv. Rep. of),2010.0,342616.0
Viet Nam,2010.0,177322.0
Yemen,2010.0,49486.0
Zambia,2010.0,16222.0
Zambia,2015.0,20859.0
