Country,Year,GDP in current prices (millions of US dollars)
Afghanistan,2010.0,14699.0
Afghanistan,2015.0,18713.0
Albania,2010.0,11927.0
Albania,2015.0,11387.0
Angola,2015.0,116194.0
Argentina,2010.0,426487.0
Argentina,2015.0,644903.0
Armenia,2010.0,9875.0
Armenia,2015.0,10553.0
Australia,2010.0,1301097.0
Australia,2015.0,1245248.0
Austria,2010.0,391893.0
Austria,2015.0,381818.0
Azerbaijan,2010.0,52906.0
Azerbaijan,2015.0,53076.0
Bahamas,2015.0,11862.0
Bahrain,2015.0,31051.0
Bangladesh,2015.0,228785.0
Barbados,2010.0,4530.0
Barbados,2015.0,4725.0
Belarus,2010.0,57232.0
Belarus,2015.0,56455.0
Belgium,2010.0,480952.0
Belgium,2015.0,462150.0
Belize,2010.0,1739.0
Belize,2015.0,2210.0
Bhutan,2010.0,1548.0
Bhutan,2015.0,2004.0
Bolivia (Plurin. State of),2010.0,19650.0
Bolivia (Plurin. State of),2015.0,33000.0
Brazil,2010.0,2208838.0
Brazil,2015.0,1802212.0
Bulgaria,2010.0,50682.0
Bulgaria,2015.0,50782.0
Burundi,2010.0,2032.0
Burundi,2015.0,2811.0
Cabo Verde,2010.0,1664.0
Cabo Verde,2015.0,1596.0
Cambodia,2010.0,11242.0
Cameroon,2010.0,27481.0
Cameroon,2015.0,32186.0
Canada,2010.0,1617267.0
Canada,2015.0,1556129.0
Chile,2010.0,218538.0
Chile,2015.0,243919.0
China,2010.0,6087188.0
China,2015.0,11061570.0
Colombia,2010.0,286563.0
Colombia,2015.0,293482.0
Costa Rica,2010.0,37659.0
Costa Rica,2015.0,56442.0
Croatia,2010.0,60672.0
Croatia,2015.0,50243.0
Cuba,2010.0,64328.0
Cyprus,2010.0,25775.0
Cyprus,2015.0,19901.0
Czechia,2010.0,209070.0
Czechia,2015.0,188033.0
Denmark,2010.0,321995.0
Denmark,2015.0,302673.0
Dominican Republic,2015.0,71155.0
Ecuador,2010.0,69555.0
Ecuador,2015.0,99290.0
El Salvador,2010.0,18448.0
El Salvador,2015.0,23438.0
Estonia,2010.0,19535.0
Estonia,2015.0,22882.0
Eswatini,2010.0,4439.0
Eswatini,2015.0,4059.0
Finland,2010.0,249181.0
Finland,2015.0,234440.0
France,2010.0,2642610.0
France,2015.0,2438208.0
