Country,Year,GDP per capita (US dollars)
Afghanistan,2010.0,521.0
Afghanistan,2015.0,554.0
Albania,2010.0,4094.0
Albania,2015.0,3950.0
Angola,2015.0,4131.0
Argentina,2010.0,10377.0
Argentina,2015.0,14909.0
Armenia,2010.0,3352.0
Armenia,2015.0,3666.0
Australia,2010.0,59089.0
Australia,2015.0,52277.0
Austria,2010.0,46861.0
Austria,2015.0,44179.0
Azerbaijan,2010.0,5727.0
Azerbaijan,2015.0,5381.0
Bahamas,2015.0,30206.0
Bahrain,2015.0,22795.0
Bangladesh,2015.0,1450.0
Barbados,2010.0,16490.0
Barbados,2015.0,16990.0
Belarus,2010.0,5881.0
Belarus,2015.0,5820.0
Belgium,2010.0,44213.0
Belgium,2015.0,41086.0
Belize,2010.0,5398.0
Belize,2015.0,6142.0
Bhutan,2010.0,2194.0
Bhutan,2015.0,2696.0
Bolivia (Plurin. State of),2010.0,1922.0
Bolivia (Plurin. State of),2015.0,2976.0
Brazil,2010.0,11249.0
Brazil,2015.0,8783.0
Bulgaria,2010.0,6676.0
Bulgaria,2015.0,6948.0
Burundi,2010.0,223.0
Burundi,2015.0,262.0
Cabo Verde,2010.0,3193.0
Cabo Verde,2015.0,2891.0
Cambodia,2010.0,783.0
Cameroon,2010.0,1382.0
Cameroon,2015.0,1399.0
Canada,2010.0,47618.0
Canada,2015.0,43550.0
Chile,2010.0,12852.0
Chile,2015.0,13650.0
China,2010.0,4515.0
China,2015.0,7937.0
Colombia,2010.0,6394.0
Colombia,2015.0,6228.0
Costa Rica,2010.0,8147.0
Costa Rica,2015.0,11530.0
Croatia,2010.0,13888.0
Croatia,2015.0,11808.0
Cuba,2010.0,5698.0
Cyprus,2010.0,31075.0
Cyprus,2015.0,23477.0
Czechia,2010.0,19978.0
Czechia,2015.0,17867.0
Denmark,2010.0,58008.0
Denmark,2015.0,53308.0
Dominican Republic,2015.0,6838.0
Ecuador,2010.0,4640.0
Ecuador,2015.0,6131.0
El Salvador,2010.0,3017.0
El Salvador,2015.0,3762.0
Estonia,2010.0,14671.0
Estonia,2015.0,17405.0
Eswatini,2010.0,4036.0
Eswatini,2015.0,3579.0
Finland,2010.0,46461.0
Finland,2015.0,42785.0
France,2010.0,40926.0
France,2015.0,36931.0
Georgia,2010.0,3191.0
Germany,2010.0,41763.0
Germany,2015.0,40893.0
Ghana,2015.0,1733.0
Greece,2010.0,26902.0
Greece,2015.0,18100.0
Guatemala,2010.0,2797.0
Guatemala,2015.0,3886.0
Guyana,2010.0,4590.0
Honduras,2015.0,2257.0
Hungary,2010.0,13235.0
Hungary,2015.0,12715.0
Iceland,2010.0,43197.0
Iceland,2015.0,52912.0
India,2010.0,1346.0
India,2015.0,1623.0
Indonesia,2010.0,3094.0
Indonesia,2015.0,3323.0
Ireland,2010.0,48998.0
Ireland,2015.0,62510.0
Israel,2010.0,32020.0
Israel,2015.0,37473.0
Italy,2010.0,35673.0
Italy,2015.0,30480.0
Jamaica,2010.0,4836.0
Jamaica,2015.0,5081.0
Japan,2015.0,34930.0
Kazakhstan,2010.0,8904.0
Kazakhstan,2015.0,10338.0
Kenya,2015.0,1497.0
Kyrgyzstan,2010.0,874.0
Kyrgyzstan,2015.0,1129.0
Latvia,2010.0,11403.0
Latvia,2015.0,13681.0
Lebanon,2010.0,7695.0
Lithuania,2010.0,11831.0
Lithuania,2015.0,13975.0
Luxembourg,2010.0,110752.0
Luxembourg,2015.0,105456.0
Madagascar,2015.0,456.0
Malawi,2010.0,473.0
Malaysia,2010.0,8880.0
Malaysia,2015.0,9700.0
Maldives,2010.0,7158.0
Maldives,2015.0,9434.0
Malta,2010.0,21557.0
Malta,2015.0,24283.0
Mauritius,2010.0,7795.0
Mauritius,2015.0,9285.0
Mexico,2010.0,9400.0
Mexico,2015.0,9753.0
Mongolia,2010.0,2660.0
Mongolia,2015.0,3919.0
Morocco,2015.0,3184.0
Mozambique,2010.0,481.0
Namibia,2010.0,5374.0
Nepal,2010.0,676.0
Nepal,2015.0,857.0
Netherlands (Kingdom of the),2010.0,50945.0
Netherlands (Kingdom of the),2015.0,44907.0
New Zealand,2010.0,33711.0
New Zealand,2015.0,38789.0
Nicaragua,2010.0,1496.0
Nicaragua,2015.0,2025.0
Norway,2010.0,87685.0
Norway,2015.0,74330.0
Oman,2015.0,18777.0
Pakistan,2010.0,941.0
Pakistan,2015.0,1408.0
Panama,2015.0,13670.0
Paraguay,2010.0,4726.0
Paraguay,2015.0,5861.0
Peru,2010.0,5047.0
Peru,2015.0,6180.0
Philippines,2015.0,2974.0
Poland,2010.0,12325.0
Poland,2015.0,12375.0
Portugal,2010.0,22466.0
Portugal,2015.0,19229.0
Qatar,2010.0,73021.0
Qatar,2015.0,66985.0
Republic of Korea,2010.0,23438.0
Republic of Korea,2015.0,28744.0
Republic of Moldova,2010.0,1896.0
Republic of Moldova,2015.0,2363.0
Romania,2010.0,8361.0
Romania,2015.0,8936.0
Russian Federation,2015.0,9425.0
Rwanda,2010.0,594.0
Rwanda,2015.0,732.0
Saint Lucia,2010.0,8697.0
Saint Lucia,2015.0,10306.0
Saint Vincent & Grenadines,2010.0,6591.0
San Marino,2010.0,67684.0
Sao Tome and Principe,2010.0,1084.0
Saudi Arabia,2015.0,19978.0
Senegal,2010.0,1285.0
Senegal,2015.0,1237.0
Serbia,2010.0,5464.0
Serbia,2015.0,5274.0
Sierra Leone,2015.0,581.0
Singapore,2010.0,46442.0
Singapore,2015.0,54513.0
Slovakia,2010.0,16877.0
Slovakia,2015.0,16382.0
Slovenia,2010.0,23410.0
Slovenia,2015.0,20708.0
South Africa,2010.0,8060.0
South Africa,2015.0,6201.0
Spain,2010.0,30505.0
Spain,2015.0,25751.0
Sri Lanka,2010.0,2745.0
Sri Lanka,2015.0,3778.0
Suriname,2015.0,8908.0
Sweden,2010.0,52849.0
Sweden,2015.0,51283.0
Switzerland,2010.0,77142.0
Switzerland,2015.0,84783.0
Tajikistan,2010.0,740.0
Thailand,2010.0,4996.0
Thailand,2015.0,5709.0
Timor-Leste,2010.0,810.0
Timor-Leste,2015.0,1322.0
Tunisia,2010.0,4043.0
Türkiye,2010.0,10615.0
Türkiye,2015.0,10852.0
Uganda,2010.0,949.0
Uganda,2015.0,782.0
Ukraine,2010.0,2977.0
United Arab Emirates,2015.0,40164.0
United Kingdom,2010.0,39697.0
United Kingdom,2015.0,44996.0
United Rep. of Tanzania,2010.0,719.0
United Rep. of Tanzania,2015.0,927.0
United States of America,2015.0,56086.0
Uruguay,2015.0,16775.0
Uzbekistan,2015.0,2785.0
Venezuela (Boliv. Rep. of),2010.0,13714.0
