Country,Year,GDP real rates of growth (percent)
Afghanistan,2010.0,5.2
Afghanistan,2015.0,-1.4
Albania,2010.0,3.7
Albania,2015.0,2.2
Angola,2015.0,0.9
Argentina,2010.0,10.1
Argentina,2015.0,2.7
Armenia,2010.0,2.2
Armenia,2015.0,3.2
Australia,2010.0,2.4
Australia,2015.0,2.7
Austria,2010.0,1.8
Austria,2015.0,1.0
Azerbaijan,2010.0,5.0
Azerbaijan,2015.0,1.1
Bahamas,2015.0,1.0
Bahrain,2015.0,2.5
Bangladesh,2015.0,8.5
Barbados,2010.0,-2.3
Barbados,2015.0,2.5
Belarus,2010.0,7.8
Belarus,2015.0,-3.8
Belgium,2010.0,2.9
Belgium,2015.0,2.0
Belize,2010.0,1.3
Belize,2015.0,3.4
Bhutan,2010.0,11.9
Bhutan,2015.0,6.6
Bolivia (Plurin. State of),2010.0,4.1
Bolivia (Plurin. State of),2015.0,4.9
Brazil,2010.0,7.5
Brazil,2015.0,-3.5
Bulgaria,2010.0,1.5
Bulgaria,2015.0,3.4
Burundi,2010.0,5.1
Burundi,2015.0,-0.4
Cabo Verde,2010.0,1.5
Cabo Verde,2015.0,1.0
Cambodia,2010.0,6.0
Cameroon,2010.0,2.9
Cameroon,2015.0,5.7
Canada,2010.0,3.1
Canada,2015.0,0.7
Chile,2010.0,5.8
Chile,2015.0,2.3
China,2010.0,10.6
China,2015.0,7.0
Colombia,2010.0,4.5
Colombia,2015.0,3.0
Costa Rica,2010.0,5.4
Costa Rica,2015.0,3.7
Croatia,2010.0,-1.2
Croatia,2015.0,2.5
Cuba,2010.0,2.4
Cyprus,2010.0,2.3
Cyprus,2015.0,3.4
Czechia,2010.0,2.4
Czechia,2015.0,5.4
Denmark,2010.0,1.9
Denmark,2015.0,2.3
Dominican Republic,2015.0,6.9
Ecuador,2010.0,3.5
Ecuador,2015.0,0.1
El Salvador,2010.0,2.1
El Salvador,2015.0,2.4
Estonia,2010.0,2.4
Estonia,2015.0,1.9
Eswatini,2010.0,3.8
Eswatini,2015.0,2.2
Finland,2010.0,3.2
Finland,2015.0,0.5
France,2010.0,1.9
France,2015.0,1.1
Georgia,2010.0,6.2
Germany,2010.0,4.2
Germany,2015.0,1.5
Ghana,2015.0,2.1
Greece,2010.0,-5.5
Greece,2015.0,-0.2
Guatemala,2010.0,2.9
Guatemala,2015.0,4.1
Guyana,2010.0,4.1
Honduras,2015.0,3.8
Hungary,2010.0,1.1
Hungary,2015.0,3.7
Iceland,2010.0,-2.8
Iceland,2015.0,4.4
India,2010.0,8.5
India,2015.0,8.0
Indonesia,2010.0,6.2
Indonesia,2015.0,4.9
Ireland,2010.0,1.7
Ireland,2015.0,24.4
Israel,2010.0,5.7
Israel,2015.0,2.3
Italy,2010.0,1.7
Italy,2015.0,0.8
Jamaica,2010.0,-1.5
Jamaica,2015.0,0.9
Japan,2015.0,1.6
Kazakhstan,2010.0,7.3
Kazakhstan,2015.0,1.2
Kenya,2015.0,5.0
Kyrgyzstan,2010.0,-0.5
Kyrgyzstan,2015.0,3.9
Latvia,2010.0,-4.5
Latvia,2015.0,3.9
Lebanon,2010.0,8.0
Lithuania,2010.0,1.7
Lithuania,2015.0,2.0
Luxembourg,2010.0,3.8
Luxembourg,2015.0,2.3
Madagascar,2015.0,3.1
Malawi,2010.0,6.9
Malaysia,2010.0,7.4
Malaysia,2015.0,5.1
Maldives,2010.0,7.3
Maldives,2015.0,2.9
Malta,2010.0,5.5
Malta,2015.0,9.6
Mauritius,2010.0,4.4
Mauritius,2015.0,3.7
Mexico,2010.0,5.1
Mexico,2015.0,3.3
Mongolia,2010.0,6.4
Mongolia,2015.0,1.3
Morocco,2015.0,4.3
Mozambique,2010.0,6.5
Namibia,2010.0,6.0
Nepal,2010.0,6.2
Nepal,2015.0,4.0
Netherlands (Kingdom of the),2010.0,1.3
Netherlands (Kingdom of the),2015.0,2.0
New Zealand,2010.0,0.9
New Zealand,2015.0,4.2
Nicaragua,2010.0,4.4
Nicaragua,2015.0,4.8
Norway,2010.0,0.7
Norway,2015.0,2.0
Oman,2015.0,5.0
Pakistan,2010.0,2.8
Pakistan,2015.0,6.0
Panama,2015.0,5.7
Paraguay,2010.0,11.1
Paraguay,2015.0,3.0
Peru,2010.0,8.3
Peru,2015.0,3.3
Philippines,2015.0,6.3
Poland,2010.0,2.9
Poland,2015.0,4.4
Portugal,2010.0,1.7
Portugal,2015.0,1.8
Qatar,2010.0,16.7
Qatar,2015.0,4.8
Republic of Korea,2010.0,6.8
Republic of Korea,2015.0,2.8
Republic of Moldova,2010.0,7.1
Republic of Moldova,2015.0,-0.3
Romania,2010.0,-3.9
Romania,2015.0,3.2
Russian Federation,2015.0,-2.0
Rwanda,2010.0,7.3
Rwanda,2015.0,8.9
Saint Lucia,2010.0,0.5
Saint Lucia,2015.0,0.1
Saint Vincent & Grenadines,2010.0,-4.5
San Marino,2010.0,-4.6
Sao Tome and Principe,2010.0,6.7
Saudi Arabia,2015.0,4.1
Senegal,2010.0,3.4
Senegal,2015.0,6.4
Serbia,2010.0,0.7
Serbia,2015.0,1.8
Sierra Leone,2015.0,-20.5
Singapore,2010.0,14.7
Singapore,2015.0,3.0
Slovakia,2010.0,6.7
Slovakia,2015.0,5.2
Slovenia,2010.0,1.3
Slovenia,2015.0,2.2
South Africa,2010.0,3.0
South Africa,2015.0,1.3
Spain,2010.0,0.2
Spain,2015.0,3.8
Sri Lanka,2010.0,8.0
Sri Lanka,2015.0,5.0
Suriname,2015.0,-2.6
Sweden,2010.0,6.0
Sweden,2015.0,4.5
Switzerland,2010.0,3.3
Switzerland,2015.0,1.7
Tajikistan,2010.0,6.5
Thailand,2010.0,7.5
Thailand,2015.0,3.1
Timor-Leste,2010.0,9.6
Timor-Leste,2015.0,2.8
Tunisia,2010.0,3.5
Türkiye,2010.0,8.4
Türkiye,2015.0,6.1
Uganda,2010.0,19.9
Uganda,2015.0,6.1
Ukraine,2010.0,0.3
United Arab Emirates,2015.0,5.1
United Kingdom,2010.0,2.4
United Kingdom,2015.0,2.4
United Rep. of Tanzania,2010.0,6.4
United Rep. of Tanzania,2015.0,6.2
United States of America,2015.0,2.7
Uruguay,2015.0,1.8
Uzbekistan,2015.0,7.2
Venezuela (Boliv. Rep. of),2010.0,-1.5
Viet Nam,2010.0,11.6
Yemen,2010.0,4.1
Zambia,2010.0,10.3
Zambia,2015.0,2.9
