Country,Year,Gross enrollment ratio - Lower secondary level (female)
Afghanistan,2010.0,46.4
Afghanistan,2015.0,45.5
Albania,2010.0,95.5
Albania,2015.0,99.9
Angola,2015.0,108.25
Argentina,2010.0,131.1
Argentina,2015.0,128.9
Armenia,2010.0,106.9
Armenia,2015.0,106.9
Australia,2010.0,116.5
Australia,2015.0,116.5
Austria,2010.0,101.8
Austria,2015.0,99.7
Azerbaijan,2010.0,90.5
Azerbaijan,2015.0,89.2
Bahamas,2015.0,108.1
Bahrain,2015.0,99.5
Bangladesh,2015.0,95.9
Barbados,2010.0,97.2
Barbados,2015.0,106.8
Belarus,2010.0,98.4
Belarus,2015.0,102.4
Belgium,2010.0,139.5
Belgium,2015.0,186.7
Belize,2010.0,88.4
Belize,2015.0,90.8
Bhutan,2010.0,77.3
Bhutan,2015.0,96.9
Bolivia (Plurin. State of),2010.0,97.7
Bolivia (Plurin. State of),2015.0,95.9
Brazil,2010.0,107.0
Brazil,2015.0,107.0
Bulgaria,2010.0,83.8
Bulgaria,2015.0,89.3
Burundi,2010.0,26.9
Burundi,2015.0,57.3
Cabo Verde,2010.0,115.0
Cabo Verde,2015.0,113.2
Cambodia,2010.0,58.5
Cameroon,2010.0,46.0
Cameroon,2015.0,64.3
Canada,2010.0,99.2
Canada,2015.0,101.0
Chile,2010.0,98.1
Chile,2015.0,104.4
China,2010.0,100.8
China,2015.0,100.8
Colombia,2010.0,110.0
Colombia,2015.0,104.7
Costa Rica,2010.0,117.7
Costa Rica,2015.0,130.2
Croatia,2010.0,107.9
Croatia,2015.0,108.6
Cuba,2010.0,93.6
Cyprus,2010.0,96.6
Cyprus,2015.0,99.2
Czechia,2010.0,97.5
Czechia,2015.0,101.0
Denmark,2010.0,118.3
Denmark,2015.0,117.8
Dominican Republic,2015.0,90.3
Ecuador,2010.0,105.6
Ecuador,2015.0,113.8
El Salvador,2010.0,89.7
El Salvador,2015.0,89.7
Estonia,2010.0,100.8
Estonia,2015.0,105.3
Eswatini,2010.0,73.1
Eswatini,2015.0,85.2
Finland,2010.0,99.2
Finland,2015.0,101.7
France,2010.0,102.7
France,2015.0,100.5
Georgia,2010.0,103.6
Germany,2010.0,101.3
Germany,2015.0,96.6
Ghana,2015.0,85.4
Greece,2010.0,102.6
Greece,2015.0,97.4
Guatemala,2010.0,65.3
Guatemala,2015.0,67.2
Guyana,2010.0,103.7
Honduras,2015.0,89.7
Hungary,2010.0,96.1
Hungary,2015.0,98.8
Iceland,2010.0,94.6
Iceland,2015.0,100.6
India,2010.0,78.9
India,2015.0,90.5
Indonesia,2010.0,89.8
Indonesia,2015.0,97.8
Ireland,2010.0,108.3
Ireland,2015.0,103.8
Israel,2010.0,105.1
Israel,2015.0,105.7
Italy,2010.0,106.6
Italy,2015.0,104.2
Jamaica,2010.0,97.4
Jamaica,2015.0,97.4
Japan,2015.0,102.4
Kazakhstan,2010.0,100.5
Kazakhstan,2015.0,113.6
Kenya,2015.0,91.3
Kyrgyzstan,2010.0,93.5
Kyrgyzstan,2015.0,94.8
Latvia,2010.0,104.0
Latvia,2015.0,101.5
Lebanon,2010.0,103.7
Lithuania,2010.0,102.3
Lithuania,2015.0,102.0
Luxembourg,2010.0,116.6
Luxembourg,2015.0,114.0
Madagascar,2015.0,49.6
Malawi,2010.0,40.3
Malaysia,2010.0,90.5
Malaysia,2015.0,90.6
Maldives,2010.0,125.3
Maldives,2015.0,114.0
Malta,2010.0,103.2
Malta,2015.0,102.2
Mauritius,2010.0,100.7
Mauritius,2015.0,109.4
Mexico,2010.0,118.3
Mexico,2015.0,134.5
Mongolia,2010.0,94.1
Mongolia,2015.0,94.1
Morocco,2015.0,86.0
Mozambique,2010.0,30.3
Namibia,2010.0,93.0
Nepal,2010.0,75.7
Nepal,2015.0,98.4
Netherlands (Kingdom of the),2010.0,124.1
Netherlands (Kingdom of the),2015.0,99.4
New Zealand,2010.0,103.6
New Zealand,2015.0,102.0
Nicaragua,2010.0,87.1
Nicaragua,2015.0,87.1
Norway,2010.0,99.2
Norway,2015.0,103.9
Oman,2015.0,106.5
Pakistan,2010.0,37.8
Pakistan,2015.0,44.6
Panama,2015.0,93.2
Paraguay,2010.0,80.5
Paraguay,2015.0,80.5
Peru,2010.0,102.2
Peru,2015.0,101.4
Philippines,2015.0,94.3
Poland,2010.0,94.4
Poland,2015.0,98.4
Portugal,2010.0,111.4
Portugal,2015.0,116.1
Qatar,2010.0,104.4
Qatar,2015.0,102.5
Republic of Korea,2010.0,100.2
Republic of Korea,2015.0,103.3
Republic of Moldova,2010.0,105.9
Republic of Moldova,2015.0,105.9
Romania,2010.0,97.4
Romania,2015.0,95.0
Russian Federation,2015.0,99.7
Rwanda,2010.0,44.1
Rwanda,2015.0,46.2
Saint Lucia,2010.0,93.0
Saint Lucia,2015.0,91.7
Saint Vincent & Grenadines,2010.0,116.1
San Marino,2010.0,97.6
Sao Tome and Principe,2010.0,73.5
Saudi Arabia,2015.0,113.5
Senegal,2010.0,65.8
Senegal,2015.0,60.8
Serbia,2010.0,98.3
Serbia,2015.0,101.7
Sierra Leone,2015.0,53.7
Singapore,2010.0,105.4
Singapore,2015.0,96.85
Slovakia,2010.0,92.6
Slovakia,2015.0,95.7
Slovenia,2010.0,96.8
Slovenia,2015.0,101.6
South Africa,2010.0,103.2
South Africa,2015.0,106.5
Spain,2010.0,113.7
Spain,2015.0,121.1
Sri Lanka,2010.0,96.8
Sri Lanka,2015.0,97.7
Suriname,2015.0,104.7
Sweden,2010.0,95.9
Sweden,2015.0,118.6
Switzerland,2010.0,111.5
Switzerland,2015.0,106.0
Tajikistan,2010.0,91.3
Thailand,2010.0,97.7
Thailand,2015.0,116.1
Timor-Leste,2010.0,73.1
Timor-Leste,2015.0,85.0
Tunisia,2010.0,109.6
Türkiye,2010.0,97.3
Türkiye,2015.0,100.0
Uganda,2010.0,66.5
Uganda,2015.0,77.8
Ukraine,2010.0,102.9
United Arab Emirates,2015.0,95.2
United Kingdom,2010.0,108.1
United Kingdom,2015.0,109.0
United Rep. of Tanzania,2010.0,38.3
United Rep. of Tanzania,2015.0,37.0
United States of America,2015.0,100.7
Uruguay,2015.0,75.5
Uzbekistan,2015.0,92.4
Venezuela (Boliv. Rep. of),2010.0,92.5
Viet Nam,2010.0,89.1
Yemen,2010.0,42.5
Zambia,2010.0,63.4
Zambia,2015.0,58.3
