Country,Year,Gross enrollment ratio - Lower secondary level (male)
Afghanistan,2010.0,87.4
Afghanistan,2015.0,77.9
Albania,2010.0,93.1
Albania,2015.0,99.4
Angola,2015.0,104.5
Argentina,2010.0,125.9
Argentina,2015.0,128.0
Armenia,2010.0,107.5
Armenia,2015.0,107.5
Australia,2010.0,130.9
Australia,2015.0,130.9
Austria,2010.0,102.0
Austria,2015.0,100.5
Azerbaijan,2010.0,92.9
Azerbaijan,2015.0,91.7
Bahamas,2015.0,107.0
Bahrain,2015.0,103.4
Bangladesh,2015.0,77.0
Barbados,2010.0,101.7
Barbados,2015.0,104.3
Belarus,2010.0,99.1
Belarus,2015.0,102.3
Belgium,2010.0,134.7
Belgium,2015.0,175.6
Belize,2010.0,84.3
Belize,2015.0,91.0
Bhutan,2010.0,72.1
Bhutan,2015.0,87.6
Bolivia (Plurin. State of),2010.0,100.3
Bolivia (Plurin. State of),2015.0,100.4
Brazil,2010.0,108.6
Brazil,2015.0,108.6
Bulgaria,2010.0,89.1
Bulgaria,2015.0,93.6
Burundi,2010.0,35.5
Burundi,2015.0,56.7
Cabo Verde,2010.0,103.9
Cabo Verde,2015.0,111.4
Cambodia,2010.0,60.5
Cameroon,2010.0,56.9
Cameroon,2015.0,73.5
Canada,2010.0,100.5
Canada,2015.0,100.8
Chile,2010.0,98.4
Chile,2015.0,106.4
China,2010.0,99.8
China,2015.0,99.8
Colombia,2010.0,103.4
Colombia,2015.0,101.3
Costa Rica,2010.0,118.6
Costa Rica,2015.0,134.9
Croatia,2010.0,104.7
Croatia,2015.0,104.3
Cuba,2010.0,95.5
Cyprus,2010.0,96.6
Cyprus,2015.0,100.0
Czechia,2010.0,98.0
Czechia,2015.0,101.2
Denmark,2010.0,116.5
Denmark,2015.0,116.4
Dominican Republic,2015.0,88.2
Ecuador,2010.0,103.4
Ecuador,2015.0,110.6
El Salvador,2010.0,90.6
El Salvador,2015.0,90.6
Estonia,2010.0,104.8
Estonia,2015.0,109.4
Eswatini,2010.0,76.0
Eswatini,2015.0,85.1
Finland,2010.0,99.9
Finland,2015.0,102.0
France,2010.0,103.1
France,2015.0,101.0
Georgia,2010.0,101.8
Germany,2010.0,102.8
Germany,2015.0,98.1
Ghana,2015.0,87.5
Greece,2010.0,108.6
Greece,2015.0,102.5
Guatemala,2010.0,71.6
Guatemala,2015.0,74.4
Guyana,2010.0,100.5
Honduras,2015.0,90.6
Hungary,2010.0,98.7
Hungary,2015.0,99.9
Iceland,2010.0,96.0
Iceland,2015.0,99.7
India,2010.0,81.0
India,2015.0,84.9
Indonesia,2010.0,87.4
Indonesia,2015.0,93.9
Ireland,2010.0,106.6
Ireland,2015.0,103.4
Israel,2010.0,102.5
Israel,2015.0,105.2
Italy,2010.0,109.6
Italy,2015.0,106.0
Jamaica,2010.0,94.44999999999999
Jamaica,2015.0,94.44999999999999
Japan,2015.0,102.3
Kazakhstan,2010.0,101.2
Kazakhstan,2015.0,112.1
Kenya,2015.0,90.7
Kyrgyzstan,2010.0,94.3
Kyrgyzstan,2015.0,95.2
Latvia,2010.0,108.2
Latvia,2015.0,104.4
Lebanon,2010.0,104.05000000000001
Lithuania,2010.0,105.6
Lithuania,2015.0,106.0
Luxembourg,2010.0,114.7
Luxembourg,2015.0,112.4
Madagascar,2015.0,49.0
Malawi,2010.0,43.9
Malaysia,2010.0,88.8
Malaysia,2015.0,86.8
Maldives,2010.0,111.4
Maldives,2015.0,110.9
Malta,2010.0,108.6
Malta,2015.0,103.1
Mauritius,2010.0,98.6
Mauritius,2015.0,111.6
Mexico,2010.0,108.9
Mexico,2015.0,122.8
Mongolia,2010.0,90.3
Mongolia,2015.0,90.3
Morocco,2015.0,100.1
Mozambique,2010.0,36.9
Namibia,2010.0,83.4
Nepal,2010.0,75.3
Nepal,2015.0,89.8
Netherlands (Kingdom of the),2010.0,130.5
Netherlands (Kingdom of the),2015.0,102.7
New Zealand,2010.0,105.0
New Zealand,2015.0,102.4
Nicaragua,2010.0,81.5
Nicaragua,2015.0,81.5
Norway,2010.0,99.3
Norway,2015.0,102.0
Oman,2015.0,109.9
Pakistan,2010.0,47.8
Pakistan,2015.0,53.9
Panama,2015.0,92.2
Paraguay,2010.0,77.0
Paraguay,2015.0,77.0
Peru,2010.0,103.3
Peru,2015.0,102.4
Philippines,2015.0,87.8
Poland,2010.0,96.4
Poland,2015.0,102.0
Portugal,2010.0,114.1
Portugal,2015.0,121.1
Qatar,2010.0,116.3
Qatar,2015.0,99.8
Republic of Korea,2010.0,100.6
Republic of Korea,2015.0,104.2
Republic of Moldova,2010.0,105.8
Republic of Moldova,2015.0,105.8
Romania,2010.0,98.5
Romania,2015.0,97.0
Russian Federation,2015.0,98.7
Rwanda,2010.0,41.8
Rwanda,2015.0,40.4
Saint Lucia,2010.0,98.0
Saint Lucia,2015.0,94.3
Saint Vincent & Grenadines,2010.0,121.3
San Marino,2010.0,97.85
Sao Tome and Principe,2010.0,68.8
Saudi Arabia,2015.0,113.2
Senegal,2010.0,70.95
Senegal,2015.0,67.45
Serbia,2010.0,98.7
Serbia,2015.0,102.4
Sierra Leone,2015.0,57.4
Singapore,2010.0,103.85
Singapore,2015.0,95.35
Slovakia,2010.0,94.0
Slovakia,2015.0,96.8
Slovenia,2010.0,96.8
Slovenia,2015.0,101.2
South Africa,2010.0,101.9
South Africa,2015.0,105.4
Spain,2010.0,114.7
Spain,2015.0,126.0
Sri Lanka,2010.0,100.8
Sri Lanka,2015.0,99.0
Suriname,2015.0,89.2
Sweden,2010.0,96.4
Sweden,2015.0,112.4
Switzerland,2010.0,108.6
Switzerland,2015.0,106.7
Tajikistan,2010.0,98.0
Thailand,2010.0,97.3
Thailand,2015.0,125.7
Timor-Leste,2010.0,72.3
Timor-Leste,2015.0,80.6
Tunisia,2010.0,113.5
Türkiye,2010.0,101.4
Türkiye,2015.0,98.5
Uganda,2010.0,79.65
Uganda,2015.0,82.1
Ukraine,2010.0,103.0
United Arab Emirates,2015.0,97.8
United Kingdom,2010.0,112.2
United Kingdom,2015.0,112.2
United Rep. of Tanzania,2010.0,46.3
United Rep. of Tanzania,2015.0,36.2
United States of America,2015.0,100.4
Uruguay,2015.0,81.75
Uzbekistan,2015.0,93.7
Venezuela (Boliv. Rep. of),2010.0,87.6
Viet Nam,2010.0,84.9
Yemen,2010.0,66.4
Zambia,2010.0,71.9
Zambia,2015.0,62.0
