Country,Year,Gross enrollment ratio - Primary (female)
Afghanistan,2010.0,80.6
Afghanistan,2015.0,83.5
Albania,2010.0,93.8
Albania,2015.0,107.3
Angola,2015.0,105.9
Argentina,2010.0,116.2
Argentina,2015.0,111.2
Armenia,2010.0,100.7
Armenia,2015.0,95.8
Australia,2010.0,105.5
Australia,2015.0,101.6
Austria,2010.0,99.1
Austria,2015.0,101.5
Azerbaijan,2010.0,93.2
Azerbaijan,2015.0,105.6
Bahamas,2015.0,102.15
Bahrain,2015.0,101.7
Bangladesh,2015.0,101.4
Barbados,2010.0,100.4
Barbados,2015.0,95.6
Belarus,2010.0,104.3
Belarus,2015.0,99.2
Belgium,2010.0,101.8
Belgium,2015.0,103.1
Belize,2010.0,110.3
Belize,2015.0,110.2
Bhutan,2010.0,109.4
Bhutan,2015.0,104.8
Bolivia (Plurin. State of),2010.0,104.2
Bolivia (Plurin. State of),2015.0,94.9
Brazil,2010.0,106.7
Brazil,2015.0,106.7
Bulgaria,2010.0,108.2
Bulgaria,2015.0,93.7
Burundi,2010.0,136.4
Burundi,2015.0,132.8
Cabo Verde,2010.0,107.0
Cabo Verde,2015.0,101.7
Cambodia,2010.0,120.2
Cameroon,2010.0,100.2
Cameroon,2015.0,109.9
Canada,2010.0,98.9
Canada,2015.0,102.9
Chile,2010.0,102.2
Chile,2015.0,99.1
China,2010.0,98.0
China,2015.0,96.4
Colombia,2010.0,119.3
Colombia,2015.0,113.4
Costa Rica,2010.0,115.7
Costa Rica,2015.0,111.0
Croatia,2010.0,92.0
Croatia,2015.0,100.6
Cuba,2010.0,100.2
Cyprus,2010.0,101.6
Cyprus,2015.0,99.3
Czechia,2010.0,103.6
Czechia,2015.0,99.7
Denmark,2010.0,99.7
Denmark,2015.0,100.8
Dominican Republic,2015.0,106.2
Ecuador,2010.0,113.2
Ecuador,2015.0,107.9
El Salvador,2010.0,112.3
El Salvador,2015.0,112.3
Estonia,2010.0,102.2
Estonia,2015.0,97.1
Eswatini,2010.0,118.8
Eswatini,2015.0,113.5
Finland,2010.0,99.1
Finland,2015.0,100.3
France,2010.0,102.1
France,2015.0,101.7
Georgia,2010.0,104.1
Germany,2010.0,102.7
Germany,2015.0,101.6
Ghana,2015.0,108.3
Greece,2010.0,97.4
Greece,2015.0,99.1
Guatemala,2010.0,114.3
Guatemala,2015.0,99.9
Guyana,2010.0,95.0
Honduras,2015.0,112.3
Hungary,2010.0,100.5
Hungary,2015.0,102.2
Iceland,2010.0,99.6
Iceland,2015.0,98.6
India,2010.0,110.7
India,2015.0,102.2
Indonesia,2010.0,111.0
Indonesia,2015.0,104.4
Ireland,2010.0,103.3
Ireland,2015.0,101.0
Israel,2010.0,105.7
Israel,2015.0,106.0
Italy,2010.0,102.5
Italy,2015.0,100.2
Jamaica,2010.0,101.25
Jamaica,2015.0,101.25
Japan,2015.0,99.0
Kazakhstan,2010.0,109.1
Kazakhstan,2015.0,111.7
Kenya,2015.0,103.6
Kyrgyzstan,2010.0,99.1
Kyrgyzstan,2015.0,105.0
Latvia,2010.0,101.9
Latvia,2015.0,99.4
Lebanon,2010.0,103.80000000000001
Lithuania,2010.0,99.8
Lithuania,2015.0,101.9
Luxembourg,2010.0,98.1
Luxembourg,2015.0,98.9
Madagascar,2015.0,147.3
Malawi,2010.0,140.2
Malaysia,2010.0,100.2
Malaysia,2015.0,104.1
Maldives,2010.0,104.6
Maldives,2015.0,100.0
Malta,2010.0,101.9
Malta,2015.0,104.3
Mauritius,2010.0,103.1
Mauritius,2015.0,103.8
Mexico,2010.0,109.8
Mexico,2015.0,106.5
Mongolia,2010.0,124.3
Mongolia,2015.0,99.4
Morocco,2015.0,106.6
Mozambique,2010.0,105.9
Namibia,2010.0,112.9
Nepal,2010.0,143.7
Nepal,2015.0,149.2
Netherlands (Kingdom of the),2010.0,108.1
Netherlands (Kingdom of the),2015.0,102.7
New Zealand,2010.0,101.3
New Zealand,2015.0,98.2
Nicaragua,2010.0,120.1
Nicaragua,2015.0,110.5
Norway,2010.0,99.2
Norway,2015.0,99.8
Oman,2015.0,110.7
Pakistan,2010.0,77.6
Pakistan,2015.0,78.3
Panama,2015.0,94.9
Paraguay,2010.0,100.9
Paraguay,2015.0,88.3
Peru,2010.0,110.0
Peru,2015.0,100.3
Philippines,2015.0,110.5
Poland,2010.0,96.1
Poland,2015.0,96.1
Portugal,2010.0,109.9
Portugal,2015.0,104.9
Qatar,2010.0,104.4
Qatar,2015.0,103.0
Republic of Korea,2010.0,101.8
Republic of Korea,2015.0,98.7
Republic of Moldova,2010.0,105.1
Republic of Moldova,2015.0,105.1
Romania,2010.0,99.1
Romania,2015.0,88.5
Russian Federation,2015.0,99.5
Rwanda,2010.0,150.1
Rwanda,2015.0,140.6
Saint Lucia,2010.0,99.5
Saint Lucia,2015.0,99.5
Saint Vincent & Grenadines,2010.0,106.2
San Marino,2010.0,99.1
Sao Tome and Principe,2010.0,116.2
Saudi Arabia,2015.0,112.1
Senegal,2010.0,86.4
Senegal,2015.0,89.8
Serbia,2010.0,95.6
Serbia,2015.0,101.2
Sierra Leone,2015.0,116.9
Singapore,2010.0,105.85
Singapore,2015.0,101.45
Slovakia,2010.0,101.0
Slovakia,2015.0,98.1
Slovenia,2010.0,99.5
Slovenia,2015.0,100.3
South Africa,2010.0,102.7
South Africa,2015.0,101.9
Spain,2010.0,103.6
Spain,2015.0,107.2
Sri Lanka,2010.0,98.2
Sri Lanka,2015.0,100.6
Suriname,2015.0,116.4
Sweden,2010.0,101.2
Sweden,2015.0,125.5
Switzerland,2010.0,102.6
Switzerland,2015.0,104.0
Tajikistan,2010.0,100.2
Thailand,2010.0,96.3
Thailand,2015.0,97.6
Timor-Leste,2010.0,119.2
Timor-Leste,2015.0,126.6
Tunisia,2010.0,107.0
Türkiye,2010.0,100.6
Türkiye,2015.0,102.7
Uganda,2010.0,122.4
Uganda,2015.0,103.7
Ukraine,2010.0,99.1
United Arab Emirates,2015.0,111.6
United Kingdom,2010.0,104.3
United Kingdom,2015.0,101.9
United Rep. of Tanzania,2010.0,103.8
United Rep. of Tanzania,2015.0,87.0
United States of America,2015.0,100.3
