Country,Year,Gross enrollment ratio - Primary (male)
Afghanistan,2010.0,118.6
Afghanistan,2015.0,122.7
Albania,2010.0,93.2
Albania,2015.0,104.0
Angola,2015.0,121.1
Argentina,2010.0,117.7
Argentina,2015.0,111.4
Armenia,2010.0,97.7
Armenia,2015.0,94.3
Australia,2010.0,105.7
Australia,2015.0,101.6
Austria,2010.0,100.4
Austria,2015.0,102.4
Azerbaijan,2010.0,94.2
Azerbaijan,2015.0,107.4
Bahamas,2015.0,102.9
Bahrain,2015.0,100.7
Bangladesh,2015.0,103.30000000000001
Barbados,2010.0,98.8
Barbados,2015.0,96.2
Belarus,2010.0,104.5
Belarus,2015.0,99.1
Belgium,2010.0,102.0
Belgium,2015.0,103.2
Belize,2010.0,114.8
Belize,2015.0,115.5
Bhutan,2010.0,107.0
Bhutan,2015.0,103.7
Bolivia (Plurin. State of),2010.0,104.8
Bolivia (Plurin. State of),2015.0,96.9
Brazil,2010.0,111.5
Brazil,2015.0,111.5
Bulgaria,2010.0,108.5
Bulgaria,2015.0,94.7
Burundi,2010.0,138.0
Burundi,2015.0,129.0
Cabo Verde,2010.0,115.2
Cabo Verde,2015.0,109.2
Cambodia,2010.0,127.4
Cameroon,2010.0,116.0
Cameroon,2015.0,122.4
Canada,2010.0,98.4
Canada,2015.0,102.1
Chile,2010.0,105.2
Chile,2015.0,102.2
China,2010.0,99.8
China,2015.0,96.2
Colombia,2010.0,121.3
Colombia,2015.0,117.0
Costa Rica,2010.0,118.0
Costa Rica,2015.0,111.6
Croatia,2010.0,91.9
Croatia,2015.0,100.6
Cuba,2010.0,102.6
Cyprus,2010.0,101.6
Cyprus,2015.0,99.3
Czechia,2010.0,104.0
Czechia,2015.0,99.3
Denmark,2010.0,99.5
Denmark,2015.0,102.1
Dominican Republic,2015.0,116.4
Ecuador,2010.0,112.9
Ecuador,2015.0,107.4
El Salvador,2010.0,117.6
El Salvador,2015.0,117.6
Estonia,2010.0,103.8
Estonia,2015.0,97.1
Eswatini,2010.0,131.0
Eswatini,2015.0,124.9
Finland,2010.0,99.8
Finland,2015.0,100.8
France,2010.0,103.4
France,2015.0,102.3
Georgia,2010.0,102.7
Germany,2010.0,103.3
Germany,2015.0,101.7
Ghana,2015.0,108.4
Greece,2010.0,99.6
Greece,2015.0,100.0
Guatemala,2010.0,116.6
Guatemala,2015.0,103.1
Guyana,2010.0,97.9
Honduras,2015.0,117.6
Hungary,2010.0,101.2
Hungary,2015.0,102.5
Iceland,2010.0,99.0
Iceland,2015.0,98.7
India,2010.0,107.7
India,2015.0,98.3
Indonesia,2010.0,107.4
Indonesia,2015.0,107.4
Ireland,2010.0,103.2
Ireland,2015.0,101.4
Israel,2010.0,105.2
Israel,2015.0,105.3
Italy,2010.0,103.5
Italy,2015.0,100.6
Jamaica,2010.0,101.9
Jamaica,2015.0,101.9
Japan,2015.0,98.7
Kazakhstan,2010.0,108.5
Kazakhstan,2015.0,111.5
Kenya,2015.0,103.7
Kyrgyzstan,2010.0,99.8
Kyrgyzstan,2015.0,105.8
Latvia,2010.0,103.9
Latvia,2015.0,99.4
Lebanon,2010.0,110.9
Lithuania,2010.0,101.0
Lithuania,2015.0,102.2
Luxembourg,2010.0,97.1
Luxembourg,2015.0,99.0
Madagascar,2015.0,147.3
Malawi,2010.0,137.3
Malaysia,2010.0,99.3
Malaysia,2015.0,103.5
Maldives,2010.0,108.2
Maldives,2015.0,103.0
Malta,2010.0,101.6
Malta,2015.0,102.8
Mauritius,2010.0,102.5
Mauritius,2015.0,102.0
Mexico,2010.0,111.4
Mexico,2015.0,106.7
Mongolia,2010.0,127.2
Mongolia,2015.0,101.3
Morocco,2015.0,112.3
Mozambique,2010.0,119.2
Namibia,2010.0,117.5
Nepal,2010.0,145.1
Nepal,2015.0,139.3
Netherlands (Kingdom of the),2010.0,108.5
Netherlands (Kingdom of the),2015.0,102.7
New Zealand,2010.0,101.0
New Zealand,2015.0,97.7
Nicaragua,2010.0,121.1
Nicaragua,2015.0,110.6
Norway,2010.0,98.9
Norway,2015.0,100.0
Oman,2015.0,106.0
Pakistan,2010.0,91.0
Pakistan,2015.0,91.4
Panama,2015.0,97.2
Paraguay,2010.0,104.3
Paraguay,2015.0,91.1
Peru,2010.0,109.8
Peru,2015.0,100.2
Philippines,2015.0,113.9
Poland,2010.0,96.9
Poland,2015.0,96.9
Portugal,2010.0,113.2
Portugal,2015.0,109.0
Qatar,2010.0,100.9
Qatar,2015.0,102.2
Republic of Korea,2010.0,101.7
Republic of Korea,2015.0,98.9
Republic of Moldova,2010.0,106.2
Republic of Moldova,2015.0,106.2
Romania,2010.0,100.8
Romania,2015.0,89.8
Russian Federation,2015.0,98.7
Rwanda,2010.0,146.4
Rwanda,2015.0,138.7
Saint Lucia,2010.0,102.8
Saint Lucia,2015.0,102.8
Saint Vincent & Grenadines,2010.0,111.9
San Marino,2010.0,98.85
Sao Tome and Principe,2010.0,117.0
Saudi Arabia,2015.0,108.7
Senegal,2010.0,81.7
Senegal,2015.0,80.2
Serbia,2010.0,96.1
Serbia,2015.0,101.5
Sierra Leone,2015.0,115.3
Singapore,2010.0,105.25
Singapore,2015.0,103.05
Slovakia,2010.0,101.9
Slovakia,2015.0,98.9
Slovenia,2010.0,99.5
Slovenia,2015.0,99.6
South Africa,2010.0,106.8
South Africa,2015.0,109.2
Spain,2010.0,104.4
Spain,2015.0,105.6
Sri Lanka,2010.0,100.7
Sri Lanka,2015.0,102.7
Suriname,2015.0,115.2
Sweden,2010.0,101.7
Sweden,2015.0,120.5
Switzerland,2010.0,103.1
Switzerland,2015.0,104.3
Tajikistan,2010.0,102.7
Thailand,2010.0,97.4
Thailand,2015.0,103.5
Timor-Leste,2010.0,126.1
Timor-Leste,2015.0,129.8
Tunisia,2010.0,107.4
Türkiye,2010.0,102.0
Türkiye,2015.0,103.4
Uganda,2010.0,121.5
Uganda,2015.0,101.6
Ukraine,2010.0,98.5
United Arab Emirates,2015.0,111.4
United Kingdom,2010.0,104.8
United Kingdom,2015.0,102.0
United Rep. of Tanzania,2010.0,101.9
United Rep. of Tanzania,2015.0,82.5
United States of America,2015.0,100.3
Uruguay,2015.0,112.2
Uzbekistan,2015.0,100.6
Venezuela (Boliv. Rep. of),2010.0,104.2
Viet Nam,2010.0,108.1
Yemen,2010.0,100.9
Zambia,2010.0,106.6
Zambia,2015.0,101.3
