Country,Year,Gross enrollment ratio - Upper secondary level (female)
Afghanistan,2010.0,17.8
Afghanistan,2015.0,27.1
Albania,2010.0,79.0
Albania,2015.0,89.6
Angola,2015.0,96.65
Argentina,2010.0,77.8
Argentina,2015.0,91.1
Armenia,2010.0,97.7
Armenia,2015.0,95.0
Australia,2010.0,202.7
Australia,2015.0,202.7
Austria,2010.0,92.3
Austria,2015.0,97.3
Azerbaijan,2010.0,53.6
Azerbaijan,2015.0,53.6
Bahamas,2015.0,106.55
Bahrain,2015.0,104.2
Bangladesh,2015.0,49.8
Barbados,2010.0,109.4
Barbados,2015.0,113.5
Belarus,2010.0,123.0
Belarus,2015.0,110.1
Belgium,2010.0,180.6
Belgium,2015.0,168.7
Belize,2010.0,56.6
Belize,2015.0,63.3
Bhutan,2010.0,39.8
Bhutan,2015.0,67.4
Bolivia (Plurin. State of),2010.0,83.7
Bolivia (Plurin. State of),2015.0,88.0
Brazil,2010.0,99.8
Brazil,2015.0,99.8
Bulgaria,2010.0,91.7
Bulgaria,2015.0,111.8
Burundi,2010.0,9.2
Burundi,2015.0,22.6
Cabo Verde,2010.0,74.8
Cabo Verde,2015.0,86.5
Cambodia,2010.0,64.0
Cameroon,2010.0,28.7
Cameroon,2015.0,39.7
Canada,2010.0,102.0
Canada,2015.0,119.9
Chile,2010.0,88.3
Chile,2015.0,101.0
China,2010.0,76.1
China,2015.0,81.1
Colombia,2010.0,87.0
Colombia,2015.0,85.2
Costa Rica,2010.0,82.2
Costa Rica,2015.0,118.2
Croatia,2010.0,98.9
Croatia,2015.0,94.4
Cuba,2010.0,91.1
Cyprus,2010.0,88.1
Cyprus,2015.0,99.6
Czechia,2010.0,92.9
Czechia,2015.0,110.2
Denmark,2010.0,121.8
Denmark,2015.0,148.1
Dominican Republic,2015.0,80.5
Ecuador,2010.0,82.9
Ecuador,2015.0,98.5
El Salvador,2010.0,47.3
El Salvador,2015.0,58.6
Estonia,2010.0,109.1
Estonia,2015.0,116.1
Eswatini,2010.0,49.5
Eswatini,2015.0,61.7
Finland,2010.0,120.5
Finland,2015.0,210.2
France,2010.0,112.7
France,2015.0,108.6
Georgia,2010.0,53.6
Germany,2010.0,100.8
Germany,2015.0,96.0
Ghana,2015.0,45.8
Greece,2010.0,106.2
Greece,2015.0,99.4
Guatemala,2010.0,35.3
Guatemala,2015.0,37.2
Guyana,2010.0,74.0
Honduras,2015.0,52.95
Hungary,2010.0,96.7
Hungary,2015.0,107.6
Iceland,2010.0,118.1
Iceland,2015.0,132.9
India,2010.0,47.4
India,2015.0,62.6
Indonesia,2010.0,63.1
Indonesia,2015.0,74.4
Ireland,2010.0,141.6
Ireland,2015.0,141.5
Israel,2010.0,103.9
Israel,2015.0,102.6
Italy,2010.0,99.9
Italy,2015.0,100.9
Jamaica,2010.0,102.8
Jamaica,2015.0,78.6
Japan,2015.0,102.5
Kazakhstan,2010.0,95.2
Kazakhstan,2015.0,109.0
Kenya,2015.0,68.35
