Country,Year,Gross enrollment ratio - Upper secondary level (male)
Afghanistan,2010.0,42.7
Afghanistan,2015.0,52.6
Albania,2010.0,81.1
Albania,2015.0,99.6
Angola,2015.0,89.05
Argentina,2010.0,64.7
Argentina,2015.0,79.4
Armenia,2010.0,101.7
Armenia,2015.0,85.3
Australia,2010.0,239.8
Australia,2015.0,239.8
Austria,2010.0,99.6
Austria,2015.0,103.6
Azerbaijan,2010.0,56.4
Azerbaijan,2015.0,56.4
Bahamas,2015.0,99.65
Bahrain,2015.0,101.5
Bangladesh,2015.0,50.3
Barbados,2010.0,101.7
Barbados,2015.0,107.8
Belarus,2010.0,132.3
Belarus,2015.0,115.9
Belgium,2010.0,152.6
Belgium,2015.0,142.8
Belize,2010.0,47.3
Belize,2015.0,56.1
Bhutan,2010.0,43.7
Bhutan,2015.0,69.1
Bolivia (Plurin. State of),2010.0,82.9
Bolivia (Plurin. State of),2015.0,87.7
Brazil,2010.0,85.5
Brazil,2015.0,85.5
Bulgaria,2010.0,94.5
Bulgaria,2015.0,114.1
Burundi,2010.0,15.5
Burundi,2015.0,30.4
Cabo Verde,2010.0,56.5
Cabo Verde,2015.0,67.7
Cambodia,2010.0,64.85
Cameroon,2010.0,35.2
Cameroon,2015.0,49.0
Canada,2010.0,105.0
Canada,2015.0,118.2
Chile,2010.0,84.1
Chile,2015.0,99.1
China,2010.0,77.5
China,2015.0,77.4
Colombia,2010.0,72.6
Colombia,2015.0,72.0
Costa Rica,2010.0,70.6
Costa Rica,2015.0,99.9
Croatia,2010.0,88.3
Croatia,2015.0,89.8
Cuba,2010.0,88.8
Cyprus,2010.0,86.0
Cyprus,2015.0,100.3
Czechia,2010.0,91.6
Czechia,2015.0,108.0
Denmark,2010.0,121.5
Denmark,2015.0,137.6
Dominican Republic,2015.0,70.0
Ecuador,2010.0,76.5
Ecuador,2015.0,93.3
El Salvador,2010.0,46.6
El Salvador,2015.0,55.9
Estonia,2010.0,105.6
Estonia,2015.0,113.1
Eswatini,2010.0,53.9
Eswatini,2015.0,62.1
Finland,2010.0,110.2
Finland,2015.0,181.8
France,2010.0,109.6
France,2015.0,105.4
Georgia,2010.0,56.4
Germany,2010.0,113.9
Germany,2015.0,106.7
Ghana,2015.0,50.9
Greece,2010.0,107.6
Greece,2015.0,109.1
Guatemala,2010.0,34.9
Guatemala,2015.0,36.1
Guyana,2010.0,69.6
Honduras,2015.0,51.25
Hungary,2010.0,96.8
Hungary,2015.0,105.4
Iceland,2010.0,114.2
Iceland,2015.0,131.7
India,2010.0,52.5
India,2015.0,64.2
Indonesia,2010.0,64.5
Indonesia,2015.0,77.8
Ireland,2010.0,126.9
Ireland,2015.0,133.7
Israel,2010.0,101.5
Israel,2015.0,101.0
Italy,2010.0,99.9
Italy,2015.0,100.2
Jamaica,2010.0,86.0
Jamaica,2015.0,74.0
Japan,2015.0,101.5
Kazakhstan,2010.0,92.1
Kazakhstan,2015.0,99.8
Kenya,2015.0,66.69999999999999
Kyrgyzstan,2010.0,72.8
Kyrgyzstan,2015.0,79.2
Latvia,2010.0,100.0
Latvia,2015.0,122.9
Lebanon,2010.0,94.9
Lithuania,2010.0,106.8
Lithuania,2015.0,119.6
Luxembourg,2010.0,88.5
Luxembourg,2015.0,92.0
Madagascar,2015.0,23.8
Malawi,2010.0,18.8
Malaysia,2010.0,60.2
Malaysia,2015.0,76.2
Maldives,2010.0,62.599999999999994
Maldives,2015.0,42.3
Malta,2010.0,113.2
