Country,Year,"Infant mortality for both sexes (per 1,000 live births)"
Afghanistan,2010.0,64.8
Afghanistan,2015.0,54.5
Albania,2010.0,11.9
Albania,2015.0,8.6
Angola,2015.0,59.4
Argentina,2010.0,13.1
Argentina,2015.0,11.1
Armenia,2010.0,16.3
Armenia,2015.0,12.6
Australia,2010.0,4.1
Australia,2015.0,3.1
Austria,2010.0,4.0
Austria,2015.0,3.1
Azerbaijan,2010.0,32.3
Azerbaijan,2015.0,23.1
Bahamas,2015.0,12.4
Bahrain,2015.0,6.5
Bangladesh,2015.0,30.9
Barbados,2010.0,13.5
Barbados,2015.0,12.7
Belarus,2010.0,4.4
Belarus,2015.0,3.1
Belgium,2010.0,3.6
Belgium,2015.0,3.2
Belize,2010.0,16.0
Belize,2015.0,13.0
Bhutan,2010.0,34.2
Bhutan,2015.0,27.3
Bolivia (Plurin. State of),2010.0,36.7
Bolivia (Plurin. State of),2015.0,30.6
Brazil,2010.0,16.5
Brazil,2015.0,14.1
Bulgaria,2010.0,9.1
Bulgaria,2015.0,6.5
Burundi,2010.0,59.4
Burundi,2015.0,46.3
Cabo Verde,2010.0,21.7
Cabo Verde,2015.0,16.4
Cambodia,2010.0,35.7
Cameroon,2010.0,71.4
Cameroon,2015.0,59.1
Canada,2010.0,5.0
Canada,2015.0,4.5
Chile,2010.0,7.3
Chile,2015.0,6.8
China,2010.0,13.0
China,2015.0,8.9
Colombia,2010.0,15.5
Colombia,2015.0,13.2
Costa Rica,2010.0,9.1
Costa Rica,2015.0,7.8
Croatia,2010.0,3.9
Croatia,2015.0,3.8
Cuba,2010.0,5.2
Cyprus,2010.0,2.9
Cyprus,2015.0,2.5
Czechia,2010.0,2.6
Czechia,2015.0,2.5
Denmark,2010.0,3.4
Denmark,2015.0,3.7
Dominican Republic,2015.0,28.3
Ecuador,2010.0,16.0
Ecuador,2015.0,13.0
El Salvador,2010.0,16.3
El Salvador,2015.0,13.1
Estonia,2010.0,4.1
Estonia,2015.0,2.8
Eswatini,2010.0,61.3
Eswatini,2015.0,43.0
Finland,2010.0,2.3
Finland,2015.0,1.7
France,2010.0,3.6
France,2015.0,3.6
Georgia,2010.0,12.7
Germany,2010.0,3.5
Germany,2015.0,3.3
Ghana,2015.0,38.7
Greece,2010.0,3.4
Greece,2015.0,3.8
Guatemala,2010.0,28.3
Guatemala,2015.0,23.3
Guyana,2010.0,30.1
Honduras,2015.0,16.2
Hungary,2010.0,5.2
Hungary,2015.0,4.1
Iceland,2010.0,2.1
Iceland,2015.0,2.0
India,2010.0,45.2
India,2015.0,34.7
Indonesia,2010.0,27.6
Indonesia,2015.0,22.8
Ireland,2010.0,3.7
Ireland,2015.0,3.5
Israel,2010.0,3.8
Israel,2015.0,3.3
Italy,2010.0,3.2
Italy,2015.0,2.9
Jamaica,2010.0,15.2
Jamaica,2015.0,13.2
Japan,2015.0,2.0
