Country,Year,"Intentional homicide rates per 100,000"
Afghanistan,2010.0,3.5
Afghanistan,2015.0,10.0
Albania,2010.0,4.1
Albania,2015.0,2.2
Angola,2015.0,4.5
Argentina,2010.0,5.8
Argentina,2015.0,6.6
Armenia,2010.0,1.9
Armenia,2015.0,2.6
Australia,2010.0,1.0
Australia,2015.0,1.0
Austria,2010.0,0.7
Austria,2015.0,0.5
Azerbaijan,2010.0,2.2
Azerbaijan,2015.0,2.1
Bahamas,2015.0,37.2
Bahrain,2015.0,0.2
Bangladesh,2015.0,2.6
Barbados,2010.0,11.3
Barbados,2015.0,11.1
Belarus,2010.0,4.1
Belarus,2015.0,3.4
Belgium,2010.0,0.75
Belgium,2015.0,3.45
Belize,2010.0,40.0
Belize,2015.0,33.1
Bhutan,2010.0,2.3
Bhutan,2015.0,1.6
Bolivia (Plurin. State of),2010.0,4.9
Bolivia (Plurin. State of),2015.0,4.9
Brazil,2010.0,26.6
Brazil,2015.0,28.4
Bulgaria,2010.0,1.9
Bulgaria,2015.0,1.7
Burundi,2010.0,4.3
Burundi,2015.0,4.3
Cabo Verde,2010.0,8.3
Cabo Verde,2015.0,8.3
Cambodia,2010.0,2.3
Cameroon,2010.0,5.0
Cameroon,2015.0,3.7
Canada,2010.0,1.6
Canada,2015.0,1.7
Chile,2010.0,3.2
Chile,2015.0,2.3
China,2010.0,1.0
China,2015.0,0.7
Colombia,2010.0,34.5
Colombia,2015.0,27.1
Costa Rica,2010.0,11.4
Costa Rica,2015.0,11.4
Croatia,2010.0,1.4
Croatia,2015.0,0.9
Cuba,2010.0,4.5
Cyprus,2010.0,0.7
Cyprus,2015.0,1.3
Czechia,2010.0,1.0
Czechia,2015.0,0.8
Denmark,2010.0,0.8
Denmark,2015.0,1.1
Dominican Republic,2015.0,1.15
Ecuador,2010.0,17.5
Ecuador,2015.0,6.5
El Salvador,2010.0,65.2
El Salvador,2015.0,106.8
Estonia,2010.0,5.3
Estonia,2015.0,3.4
Eswatini,2010.0,18.9
Eswatini,2015.0,9.9
Finland,2010.0,2.2
Finland,2015.0,1.5
France,2010.0,1.3
France,2015.0,1.6
Georgia,2010.0,4.9
Germany,2010.0,1.0
Germany,2015.0,0.8
Ghana,2015.0,1.8
Greece,2010.0,1.6
Greece,2015.0,0.9
Guatemala,2010.0,41.0
Guatemala,2015.0,41.0
Guyana,2010.0,18.7
Honduras,2015.0,55.4
Hungary,2010.0,1.4
Hungary,2015.0,2.2
Iceland,2010.0,0.6
Iceland,2015.0,0.9
India,2010.0,3.7
India,2015.0,3.4
Indonesia,2010.0,0.9
Indonesia,2015.0,0.9
Ireland,2010.0,1.2
Ireland,2015.0,0.7
Israel,2010.0,2.0
Israel,2015.0,1.4
Italy,2010.0,0.9
Italy,2015.0,0.8
Jamaica,2010.0,52.9
Jamaica,2015.0,43.3
Japan,2015.0,0.3
Kazakhstan,2010.0,8.3
Kazakhstan,2015.0,4.8
Kenya,2015.0,4.8
Kyrgyzstan,2010.0,3.4
Kyrgyzstan,2015.0,3.05
Latvia,2010.0,3.4
Latvia,2015.0,3.4
Lebanon,2010.0,3.3
Lithuania,2010.0,7.0
Lithuania,2015.0,5.8
Luxembourg,2010.0,2.0
Luxembourg,2015.0,0.9
Madagascar,2015.0,10.850000000000001
