Country,Year,International migrant stock: Both sexes (number)
Afghanistan,2010.0,102276.0
Afghanistan,2015.0,339432.0
Albania,2010.0,52784.0
Albania,2015.0,52031.0
Angola,2015.0,632178.0
Argentina,2010.0,1805957.0
Argentina,2015.0,2086301.0
Armenia,2010.0,211147.0
Armenia,2015.0,191199.0
Australia,2010.0,5882980.0
Australia,2015.0,6729730.0
Austria,2010.0,1274901.0
Austria,2015.0,1483123.0
Azerbaijan,2010.0,276901.0
Azerbaijan,2015.0,264359.0
Bahamas,2015.0,59241.0
Bahrain,2015.0,722487.0
Bangladesh,2015.0,1422179.0
Barbados,2010.0,32825.0
Barbados,2015.0,34475.0
Belarus,2010.0,1090378.0
Belarus,2015.0,1082905.0
Belgium,2010.0,1503806.0
Belgium,2015.0,1783488.0
Belize,2010.0,46390.0
Belize,2015.0,54615.0
Bhutan,2010.0,48420.0
Bhutan,2015.0,51106.0
Bolivia (Plurin. State of),2010.0,122846.0
Bolivia (Plurin. State of),2015.0,143008.0
Brazil,2010.0,592640.0
Brazil,2015.0,710304.0
Bulgaria,2010.0,76287.0
Bulgaria,2015.0,123803.0
Burundi,2010.0,247321.0
Burundi,2015.0,298299.0
Cabo Verde,2010.0,14373.0
Cabo Verde,2015.0,14924.0
Cambodia,2010.0,82028.0
Cameroon,2010.0,291474.0
Cameroon,2015.0,508346.0
Canada,2010.0,6761226.0
Canada,2015.0,7428657.0
Chile,2010.0,375388.0
Chile,2015.0,639724.0
China,2010.0,849861.0
China,2015.0,978046.0
Colombia,2010.0,130309.0
Colombia,2015.0,159407.0
Costa Rica,2010.0,405779.0
Costa Rica,2015.0,411697.0
Croatia,2010.0,573248.0
Croatia,2015.0,561093.0
Cuba,2010.0,7373.0
Cyprus,2010.0,188472.0
Cyprus,2015.0,176693.0
Czechia,2010.0,398493.0
Czechia,2015.0,416454.0
Denmark,2010.0,500772.0
Denmark,2015.0,595876.0
Dominican Republic,2015.0,549289.0
Ecuador,2010.0,375253.0
Ecuador,2015.0,387513.0
El Salvador,2010.0,40342.0
El Salvador,2015.0,42059.0
Estonia,2010.0,217890.0
Estonia,2015.0,194664.0
Eswatini,2010.0,32637.0
Eswatini,2015.0,32352.0
Finland,2010.0,228481.0
Finland,2015.0,314856.0
France,2010.0,7309986.0
France,2015.0,7878338.0
Georgia,2010.0,73078.0
Germany,2010.0,9812263.0
Germany,2015.0,10220418.0
Ghana,2015.0,414744.0
Greece,2010.0,1321149.0
Greece,2015.0,1242924.0
Guatemala,2010.0,66386.0
Guatemala,2015.0,74852.0
Guyana,2010.0,8182.0
Honduras,2015.0,38330.0
Hungary,2010.0,436616.0
Hungary,2015.0,475508.0
Iceland,2010.0,35091.0
Iceland,2015.0,39072.0
India,2010.0,5574018.0
India,2015.0,5210847.0
Indonesia,2010.0,307487.0
Indonesia,2015.0,338124.0
Ireland,2010.0,730542.0
Ireland,2015.0,759256.0
Israel,2010.0,1956190.0
Israel,2015.0,2011727.0
Italy,2010.0,5787893.0
Italy,2015.0,5805328.0
Jamaica,2010.0,23677.0
Jamaica,2015.0,23165.0
Japan,2015.0,2232189.0
Kazakhstan,2010.0,3334937.0
Kazakhstan,2015.0,3546060.0
Kenya,2015.0,1126886.0
Kyrgyzstan,2010.0,232065.0
Kyrgyzstan,2015.0,204382.0
Latvia,2010.0,313786.0
Latvia,2015.0,265418.0
Lebanon,2010.0,793191.0
Lithuania,2010.0,160772.0
Lithuania,2015.0,136021.0
Luxembourg,2010.0,163142.0
Luxembourg,2015.0,248888.0
Madagascar,2015.0,32075.0
Malawi,2010.0,217722.0
Malaysia,2010.0,2417395.0
Malaysia,2015.0,3280681.0
Maldives,2010.0,54659.0
Maldives,2015.0,64273.0
Malta,2010.0,33008.0
Malta,2015.0,52642.0
Mauritius,2010.0,24836.0
Mauritius,2015.0,28585.0
Mexico,2010.0,969710.0
Mexico,2015.0,1013691.0
Mongolia,2010.0,16062.0
Mongolia,2015.0,19886.0
Morocco,2015.0,92424.0
Mozambique,2010.0,306471.0
Namibia,2010.0,103826.0
Nepal,2010.0,581889.0
Nepal,2015.0,509471.0
Netherlands (Kingdom of the),2010.0,1832510.0
Netherlands (Kingdom of the),2015.0,1996318.0
New Zealand,2010.0,947443.0
New Zealand,2015.0,1039736.0
Nicaragua,2010.0,37345.0
Nicaragua,2015.0,40261.0
Norway,2010.0,524601.0
Norway,2015.0,746375.0
Oman,2015.0,1856226.0
Pakistan,2010.0,3943681.0
Pakistan,2015.0,3506520.0
Panama,2015.0,184710.0
Paraguay,2010.0,160299.0
Paraguay,2015.0,156462.0
Peru,2010.0,104706.0
Peru,2015.0,154774.0
Philippines,2015.0,211862.0
Poland,2010.0,642417.0
Poland,2015.0,611855.0
Portugal,2010.0,762825.0
Portugal,2015.0,864814.0
Qatar,2010.0,1456413.0
Qatar,2015.0,1687640.0
Republic of Korea,2010.0,919987.0
Republic of Korea,2015.0,1370905.0
Republic of Moldova,2010.0,129488.0
Republic of Moldova,2015.0,106374.0
Romania,2010.0,177211.0
Romania,2015.0,281048.0
Russian Federation,2015.0,11643276.0
Rwanda,2010.0,426901.0
Rwanda,2015.0,514647.0
Saint Lucia,2010.0,9050.0
Saint Lucia,2015.0,8673.0
Saint Vincent & Grenadines,2010.0,4569.0
San Marino,2010.0,4880.0
Sao Tome and Principe,2010.0,2700.0
Saudi Arabia,2015.0,10771366.0
Senegal,2010.0,256092.0
Senegal,2015.0,266496.0
Serbia,2010.0,826275.0
Serbia,2015.0,807441.0
Sierra Leone,2015.0,58830.0
Singapore,2010.0,2164794.0
Singapore,2015.0,2483405.0
Slovakia,2010.0,146319.0
Slovakia,2015.0,177624.0
Slovenia,2010.0,253786.0
Slovenia,2015.0,237616.0
South Africa,2010.0,2114801.0
South Africa,2015.0,3231728.0
Spain,2010.0,6280062.0
Spain,2015.0,5891208.0
Sri Lanka,2010.0,38959.0
Sri Lanka,2015.0,39706.0
Suriname,2015.0,43127.0
Sweden,2010.0,1337214.0
Sweden,2015.0,1602522.0
Switzerland,2010.0,2075182.0
Switzerland,2015.0,2258196.0
Tajikistan,2010.0,279808.0
Thailand,2010.0,3234381.0
Thailand,2015.0,3470220.0
Timor-Leste,2010.0,11540.0
Timor-Leste,2015.0,8520.0
Tunisia,2010.0,43172.0
Türkiye,2010.0,1373749.0
Türkiye,2015.0,4346197.0
Uganda,2010.0,492930.0
Uganda,2015.0,851175.0
Ukraine,2010.0,4818767.0
United Arab Emirates,2015.0,7995126.0
United Kingdom,2010.0,7119664.0
United Kingdom,2015.0,8406996.0
United Rep. of Tanzania,2010.0,309847.0
United Rep. of Tanzania,2015.0,384567.0
United States of America,2015.0,48178877.0
Uruguay,2015.0,78799.0
