Country,Year,International migrant stock: Both sexes (% total population)
Afghanistan,2010.0,0.4
Afghanistan,2015.0,1.0
Albania,2010.0,1.8
Albania,2015.0,1.8
Angola,2015.0,2.3
Argentina,2010.0,4.4
Argentina,2015.0,4.8
Armenia,2010.0,7.3
Armenia,2015.0,6.5
Australia,2010.0,26.6
Australia,2015.0,28.1
Austria,2010.0,15.2
Austria,2015.0,17.1
Azerbaijan,2010.0,3.1
Azerbaijan,2015.0,2.7
Bahamas,2015.0,15.8
Bahrain,2015.0,52.7
Bangladesh,2015.0,0.9
Barbados,2010.0,11.6
Barbados,2015.0,12.1
Belarus,2010.0,11.6
Belarus,2015.0,11.5
Belgium,2010.0,13.7
Belgium,2015.0,15.8
Belize,2010.0,14.4
Belize,2015.0,15.1
Bhutan,2010.0,7.1
Bhutan,2015.0,7.0
Bolivia (Plurin. State of),2010.0,1.2
Bolivia (Plurin. State of),2015.0,1.3
Brazil,2010.0,0.3
Brazil,2015.0,0.3
Bulgaria,2010.0,1.0
Bulgaria,2015.0,1.7
Burundi,2010.0,2.9
Burundi,2015.0,2.9
Cabo Verde,2010.0,2.9
Cabo Verde,2015.0,2.8
Cambodia,2010.0,0.6
Cameroon,2010.0,1.4
Cameroon,2015.0,2.2
Canada,2010.0,19.8
Canada,2015.0,20.6
Chile,2010.0,2.2
Chile,2015.0,3.6
China,2010.0,0.1
China,2015.0,0.1
Colombia,2010.0,0.3
Colombia,2015.0,0.3
Costa Rica,2010.0,8.9
Costa Rica,2015.0,8.5
Croatia,2010.0,13.2
Croatia,2015.0,13.3
Cuba,2010.0,0.1
Cyprus,2010.0,16.9
Cyprus,2015.0,15.2
Czechia,2010.0,3.8
Czechia,2015.0,3.9
Denmark,2010.0,9.0
Denmark,2015.0,10.5
Dominican Republic,2015.0,5.3
Ecuador,2010.0,2.5
Ecuador,2015.0,2.4
El Salvador,2010.0,0.7
El Salvador,2015.0,0.7
Estonia,2010.0,16.4
Estonia,2015.0,14.8
Eswatini,2010.0,3.1
Eswatini,2015.0,2.9
Finland,2010.0,4.3
Finland,2015.0,5.7
France,2010.0,11.6
France,2015.0,12.2
Georgia,2010.0,1.8
Germany,2010.0,12.1
Germany,2015.0,12.5
Ghana,2015.0,1.5
Greece,2010.0,12.1
Greece,2015.0,11.7
Guatemala,2010.0,0.5
Guatemala,2015.0,0.5
Guyana,2010.0,1.1
Honduras,2015.0,0.4
Hungary,2010.0,4.4
Hungary,2015.0,4.9
Iceland,2010.0,11.0
Iceland,2015.0,11.8
India,2010.0,0.5
India,2015.0,0.4
Indonesia,2010.0,0.1
Indonesia,2015.0,0.1
Ireland,2010.0,16.0
Ireland,2015.0,16.3
Israel,2010.0,26.6
Israel,2015.0,25.2
Italy,2010.0,9.8
Italy,2015.0,9.6
Jamaica,2010.0,0.8
Jamaica,2015.0,0.8
Japan,2015.0,1.7
Kazakhstan,2010.0,20.5
Kazakhstan,2015.0,20.2
Kenya,2015.0,2.4
Kyrgyzstan,2010.0,4.3
Kyrgyzstan,2015.0,3.4
Latvia,2010.0,14.8
Latvia,2015.0,13.3
Lebanon,2010.0,16.0
Lithuania,2010.0,5.1
Lithuania,2015.0,4.6
Luxembourg,2010.0,32.1
Luxembourg,2015.0,43.9
Madagascar,2015.0,0.1
Malawi,2010.0,1.5
Malaysia,2010.0,8.6
Malaysia,2015.0,10.8
Maldives,2010.0,14.9
Maldives,2015.0,14.1
Malta,2010.0,8.0
Malta,2015.0,12.1
Mauritius,2010.0,2.0
Mauritius,2015.0,2.3
Mexico,2010.0,0.8
Mexico,2015.0,0.8
Mongolia,2010.0,0.6
Mongolia,2015.0,0.7
Morocco,2015.0,0.3
Mozambique,2010.0,1.3
Namibia,2010.0,4.9
Nepal,2010.0,2.2
Nepal,2015.0,1.9
Netherlands (Kingdom of the),2010.0,11.0
Netherlands (Kingdom of the),2015.0,11.8
New Zealand,2010.0,21.7
New Zealand,2015.0,22.5
Nicaragua,2010.0,0.6
Nicaragua,2015.0,0.6
Norway,2010.0,10.7
Norway,2015.0,14.4
Oman,2015.0,43.5
Pakistan,2010.0,2.2
Pakistan,2015.0,1.8
Panama,2015.0,4.7
Paraguay,2010.0,2.6
Paraguay,2015.0,2.3
Peru,2010.0,0.4
Peru,2015.0,0.5
Philippines,2015.0,0.2
Poland,2010.0,1.7
Poland,2015.0,1.6
Portugal,2010.0,7.2
Portugal,2015.0,8.3
Qatar,2010.0,78.5
Qatar,2015.0,65.8
Republic of Korea,2010.0,1.9
Republic of Korea,2015.0,2.7
Republic of Moldova,2010.0,3.2
Republic of Moldova,2015.0,2.6
Romania,2010.0,0.9
Romania,2015.0,1.4
Russian Federation,2015.0,8.0
Rwanda,2010.0,4.3
Rwanda,2015.0,4.5
Saint Lucia,2010.0,5.2
Saint Lucia,2015.0,4.8
Saint Vincent & Grenadines,2010.0,4.2
San Marino,2010.0,15.6
Sao Tome and Principe,2010.0,1.5
Saudi Arabia,2015.0,34.0
Senegal,2010.0,2.0
Senegal,2015.0,1.8
Serbia,2010.0,9.2
Serbia,2015.0,9.1
Sierra Leone,2015.0,0.8
Singapore,2010.0,42.2
Singapore,2015.0,44.4
Slovakia,2010.0,2.7
Slovakia,2015.0,3.3
Slovenia,2010.0,12.4
Slovenia,2015.0,11.5
South Africa,2010.0,4.1
South Africa,2015.0,5.8
Spain,2010.0,13.4
Spain,2015.0,12.6
Sri Lanka,2010.0,0.2
Sri Lanka,2015.0,0.2
Suriname,2015.0,7.7
Sweden,2010.0,14.2
Sweden,2015.0,16.4
Switzerland,2010.0,26.6
Switzerland,2015.0,27.2
Tajikistan,2010.0,3.7
Thailand,2010.0,4.8
Thailand,2015.0,5.1
Timor-Leste,2010.0,1.1
Timor-Leste,2015.0,0.7
Tunisia,2010.0,0.4
Türkiye,2010.0,1.9
Türkiye,2015.0,5.5
Uganda,2010.0,1.5
Uganda,2015.0,2.2
Ukraine,2010.0,10.5
United Arab Emirates,2015.0,86.3
United Kingdom,2010.0,11.2
United Kingdom,2015.0,12.8
United Rep. of Tanzania,2010.0,0.7
United Rep. of Tanzania,2015.0,0.7
United States of America,2015.0,15.0
Uruguay,2015.0,2.3
Uzbekistan,2015.0,3.8
Venezuela (Boliv. Rep. of),2010.0,4.7
Viet Nam,2010.0,0.1
Yemen,2010.0,1.2
Zambia,2010.0,1.1
Zambia,2015.0,0.8
