Country,Year,International migrant stock: Female (% total Population)
Afghanistan,2010.0,0.3
Afghanistan,2015.0,1.0
Albania,2010.0,1.8
Albania,2015.0,1.8
Angola,2015.0,2.3
Argentina,2010.0,4.6
Argentina,2015.0,5.1
Armenia,2010.0,8.2
Armenia,2015.0,7.3
Australia,2010.0,26.7
Australia,2015.0,28.2
Austria,2010.0,15.5
Austria,2015.0,17.3
Azerbaijan,2010.0,3.2
Azerbaijan,2015.0,2.8
Bahamas,2015.0,15.2
Bahrain,2015.0,36.7
Bangladesh,2015.0,0.9
Barbados,2010.0,12.3
Barbados,2015.0,12.8
Belarus,2010.0,11.7
Belarus,2015.0,11.6
Belgium,2010.0,14.0
Belgium,2015.0,15.9
Belize,2010.0,14.2
Belize,2015.0,15.0
Bhutan,2010.0,2.8
Bhutan,2015.0,2.2
Bolivia (Plurin. State of),2010.0,1.2
Bolivia (Plurin. State of),2015.0,1.3
Brazil,2010.0,0.3
Brazil,2015.0,0.3
Bulgaria,2010.0,1.1
Bulgaria,2015.0,1.7
Burundi,2010.0,2.9
Burundi,2015.0,3.0
Cabo Verde,2010.0,2.9
Cabo Verde,2015.0,2.8
Cambodia,2010.0,0.5
Cameroon,2010.0,1.3
Cameroon,2015.0,2.2
Canada,2010.0,20.5
Canada,2015.0,21.4
Chile,2010.0,2.3
Chile,2015.0,3.5
China,2010.0,0.1
China,2015.0,0.1
Colombia,2010.0,0.3
Colombia,2015.0,0.3
Costa Rica,2010.0,9.2
Costa Rica,2015.0,8.8
Croatia,2010.0,13.6
Croatia,2015.0,13.7
Cuba,2010.0,0.1
Cyprus,2010.0,19.0
Cyprus,2015.0,17.1
Czechia,2010.0,3.0
Czechia,2015.0,3.3
Denmark,2010.0,9.2
Denmark,2015.0,10.6
Dominican Republic,2015.0,3.8
Ecuador,2010.0,2.4
Ecuador,2015.0,2.3
El Salvador,2010.0,0.7
El Salvador,2015.0,0.7
Estonia,2010.0,18.3
Estonia,2015.0,16.4
Eswatini,2010.0,2.8
Eswatini,2015.0,2.8
Finland,2010.0,4.1
Finland,2015.0,5.6
France,2010.0,11.6
France,2015.0,12.3
Georgia,2010.0,1.9
Germany,2010.0,12.0
Germany,2015.0,12.5
Ghana,2015.0,1.4
Greece,2010.0,12.3
Greece,2015.0,12.4
Guatemala,2010.0,0.5
Guatemala,2015.0,0.5
Guyana,2010.0,1.0
Honduras,2015.0,0.4
Hungary,2010.0,4.3
Hungary,2015.0,4.7
Iceland,2010.0,11.0
Iceland,2015.0,12.2
India,2010.0,0.5
India,2015.0,0.4
Indonesia,2010.0,0.1
Indonesia,2015.0,0.1
Ireland,2010.0,16.2
Ireland,2015.0,16.3
Israel,2010.0,28.6
