Country,Year,International migrant stock: Male (% total Population)
Afghanistan,2010.0,0.4
Afghanistan,2015.0,1.0
Albania,2010.0,1.8
Albania,2015.0,1.8
Angola,2015.0,2.2
Argentina,2010.0,4.2
Argentina,2015.0,4.6
Armenia,2010.0,6.4
Armenia,2015.0,5.6
Australia,2010.0,26.4
Australia,2015.0,28.0
Austria,2010.0,14.8
Austria,2015.0,16.8
Azerbaijan,2010.0,2.9
Azerbaijan,2015.0,2.6
Bahamas,2015.0,16.5
Bahrain,2015.0,62.5
Bangladesh,2015.0,0.9
Barbados,2010.0,10.9
Barbados,2015.0,11.3
Belarus,2010.0,11.4
Belarus,2015.0,11.3
Belgium,2010.0,13.5
Belgium,2015.0,15.7
Belize,2010.0,14.6
Belize,2015.0,15.3
Bhutan,2010.0,10.9
Bhutan,2015.0,11.3
Bolivia (Plurin. State of),2010.0,1.3
Bolivia (Plurin. State of),2015.0,1.4
Brazil,2010.0,0.3
Brazil,2015.0,0.4
Bulgaria,2010.0,0.9
Bulgaria,2015.0,1.7
Burundi,2010.0,2.8
Burundi,2015.0,2.9
Cabo Verde,2010.0,3.0
Cabo Verde,2015.0,2.9
Cambodia,2010.0,0.6
Cameroon,2010.0,1.6
Cameroon,2015.0,2.2
Canada,2010.0,19.1
Canada,2015.0,19.8
Chile,2010.0,2.1
Chile,2015.0,3.6
China,2010.0,0.1
China,2015.0,0.1
Colombia,2010.0,0.3
Colombia,2015.0,0.4
Costa Rica,2010.0,8.6
Costa Rica,2015.0,8.1
Croatia,2010.0,12.9
Croatia,2015.0,12.8
Cuba,2010.0,0.1
Cyprus,2010.0,14.8
Cyprus,2015.0,13.3
Czechia,2010.0,4.6
Czechia,2015.0,4.6
Denmark,2010.0,8.8
Denmark,2015.0,10.3
Dominican Republic,2015.0,6.9
Ecuador,2010.0,2.6
Ecuador,2015.0,2.5
El Salvador,2010.0,0.7
El Salvador,2015.0,0.7
Estonia,2010.0,14.1
Estonia,2015.0,13.0
Eswatini,2010.0,3.3
Eswatini,2015.0,3.1
Finland,2010.0,4.4
Finland,2015.0,5.9
France,2010.0,11.7
France,2015.0,12.2
Georgia,2010.0,1.6
Germany,2010.0,12.2
Germany,2015.0,12.5
Ghana,2015.0,1.6
Greece,2010.0,12.0
Greece,2015.0,10.9
Guatemala,2010.0,0.4
Guatemala,2015.0,0.4
Guyana,2010.0,1.2
Honduras,2015.0,0.4
Hungary,2010.0,4.5
Hungary,2015.0,5.1
Iceland,2010.0,10.9
Iceland,2015.0,11.5
India,2010.0,0.4
India,2015.0,0.4
Indonesia,2010.0,0.1
Indonesia,2015.0,0.2
Ireland,2010.0,15.9
Ireland,2015.0,16.3
Israel,2010.0,24.6
Israel,2015.0,23.1
Italy,2010.0,9.3
Italy,2015.0,9.0
Jamaica,2010.0,0.9
Jamaica,2015.0,0.8
Japan,2015.0,1.7
Kazakhstan,2010.0,20.7
Kazakhstan,2015.0,20.7
Kenya,2015.0,2.4
Kyrgyzstan,2010.0,3.5
Kyrgyzstan,2015.0,2.8
Latvia,2010.0,12.8
Latvia,2015.0,11.4
Lebanon,2010.0,16.4
Lithuania,2010.0,4.8
Lithuania,2015.0,4.3
Luxembourg,2010.0,32.3
Luxembourg,2015.0,44.3
Madagascar,2015.0,0.2
Malawi,2010.0,1.5
Malaysia,2010.0,10.1
Malaysia,2015.0,12.8
Maldives,2010.0,21.0
Maldives,2015.0,20.8
Malta,2010.0,8.3
Malta,2015.0,13.1
Mauritius,2010.0,2.1
Mauritius,2015.0,2.5
Mexico,2010.0,0.9
Mexico,2015.0,0.9
Mongolia,2010.0,0.9
Mongolia,2015.0,0.9
Morocco,2015.0,0.3
Mozambique,2010.0,1.3
Namibia,2010.0,5.4
Nepal,2010.0,1.4
Nepal,2015.0,1.3
Netherlands (Kingdom of the),2010.0,10.6
Netherlands (Kingdom of the),2015.0,11.3
New Zealand,2010.0,21.4
New Zealand,2015.0,22.2
Nicaragua,2010.0,0.7
Nicaragua,2015.0,0.7
Norway,2010.0,10.9
Norway,2015.0,14.9
Oman,2015.0,55.8
Pakistan,2010.0,2.2
Pakistan,2015.0,1.8
Panama,2015.0,4.8
Paraguay,2010.0,2.6
Paraguay,2015.0,2.4
Peru,2010.0,0.4
Peru,2015.0,0.6
Philippines,2015.0,0.2
Poland,2010.0,1.4
Poland,2015.0,1.4
Portugal,2010.0,7.3
Portugal,2015.0,8.1
Qatar,2010.0,85.0
Qatar,2015.0,72.6
Republic of Korea,2010.0,2.1
Republic of Korea,2015.0,3.0
Republic of Moldova,2010.0,2.7
Republic of Moldova,2015.0,2.2
Romania,2010.0,0.9
Romania,2015.0,1.5
Russian Federation,2015.0,8.5
Rwanda,2010.0,4.3
Rwanda,2015.0,4.6
Saint Lucia,2010.0,5.1
Saint Lucia,2015.0,4.7
Saint Vincent & Grenadines,2010.0,4.2
San Marino,2010.0,11.2
Sao Tome and Principe,2010.0,1.5
Saudi Arabia,2015.0,41.4
Senegal,2010.0,2.2
Senegal,2015.0,2.0
Serbia,2010.0,8.3
Serbia,2015.0,8.2
Sierra Leone,2015.0,0.9
Singapore,2010.0,35.8
Singapore,2015.0,37.5
Slovakia,2010.0,2.6
Slovakia,2015.0,3.4
Slovenia,2010.0,14.3
Slovenia,2015.0,13.1
South Africa,2010.0,4.8
South Africa,2015.0,6.5
Spain,2010.0,14.0
Spain,2015.0,12.6
Sri Lanka,2010.0,0.2
Sri Lanka,2015.0,0.2
Suriname,2015.0,8.4
Sweden,2010.0,13.9
Sweden,2015.0,16.1
Switzerland,2010.0,26.1
Switzerland,2015.0,26.9
Tajikistan,2010.0,3.2
Thailand,2010.0,4.9
Thailand,2015.0,5.2
Timor-Leste,2010.0,1.1
Timor-Leste,2015.0,0.9
Tunisia,2010.0,0.4
Türkiye,2010.0,1.8
Türkiye,2015.0,6.2
Uganda,2010.0,1.5
Uganda,2015.0,2.2
Ukraine,2010.0,9.8
United Arab Emirates,2015.0,90.3
United Kingdom,2010.0,11.1
United Kingdom,2015.0,12.4
United Rep. of Tanzania,2010.0,0.7
United Rep. of Tanzania,2015.0,0.7
United States of America,2015.0,14.8
Uruguay,2015.0,2.2
Uzbekistan,2015.0,3.5
Venezuela (Boliv. Rep. of),2010.0,4.8
Viet Nam,2010.0,0.1
Yemen,2010.0,1.3
Zambia,2010.0,1.1
Zambia,2015.0,0.8
