Country,Year,Labour force participation - Female
Afghanistan,2010.0,15.5
Afghanistan,2015.0,19.1
Albania,2010.0,46.7
Albania,2015.0,47.0
Angola,2015.0,74.9
Argentina,2010.0,47.7
Argentina,2015.0,47.5
Armenia,2010.0,55.4
Armenia,2015.0,55.7
Australia,2010.0,58.6
Australia,2015.0,59.1
Austria,2010.0,54.2
Austria,2015.0,55.4
Azerbaijan,2010.0,59.7
Azerbaijan,2015.0,61.0
Bahamas,2015.0,66.7
Bahrain,2015.0,43.0
Bangladesh,2015.0,32.8
Barbados,2010.0,62.9
Barbados,2015.0,60.8
Belarus,2010.0,57.0
Belarus,2015.0,58.2
Belgium,2010.0,47.7
Belgium,2015.0,48.0
Belize,2010.0,44.9
Belize,2015.0,48.6
Bhutan,2010.0,63.4
Bhutan,2015.0,55.1
Bolivia (Plurin. State of),2010.0,62.2
Bolivia (Plurin. State of),2015.0,54.6
Brazil,2010.0,53.7
Brazil,2015.0,52.9
Bulgaria,2010.0,47.8
Bulgaria,2015.0,48.6
Burundi,2010.0,81.0
Burundi,2015.0,80.7
Cabo Verde,2010.0,48.1
Cabo Verde,2015.0,50.9
Cambodia,2010.0,63.5
Cameroon,2010.0,70.5
Cameroon,2015.0,67.0
Canada,2010.0,62.4
Canada,2015.0,61.2
Chile,2010.0,45.5
Chile,2015.0,48.4
China,2010.0,63.7
China,2015.0,62.7
Colombia,2010.0,55.3
Colombia,2015.0,58.1
Costa Rica,2010.0,43.9
Costa Rica,2015.0,49.9
Croatia,2010.0,46.1
Croatia,2015.0,46.9
Cuba,2010.0,41.9
Cyprus,2010.0,57.5
Cyprus,2015.0,57.5
Czechia,2010.0,49.3
Czechia,2015.0,51.2
Denmark,2010.0,58.9
Denmark,2015.0,56.7
Dominican Republic,2015.0,48.0
Ecuador,2010.0,48.0
Ecuador,2015.0,51.9
El Salvador,2010.0,45.9
El Salvador,2015.0,45.0
Estonia,2010.0,55.1
Estonia,2015.0,55.7
Eswatini,2010.0,46.5
Eswatini,2015.0,46.8
Finland,2010.0,55.9
Finland,2015.0,55.6
France,2010.0,51.5
France,2015.0,51.6
Georgia,2010.0,55.8
Germany,2010.0,53.1
Germany,2015.0,54.7
Ghana,2015.0,65.1
Greece,2010.0,44.1
Greece,2015.0,44.9
Guatemala,2010.0,41.6
Guatemala,2015.0,38.5
Guyana,2010.0,38.2
Honduras,2015.0,46.5
Hungary,2010.0,43.6
Hungary,2015.0,47.0
Iceland,2010.0,70.6
Iceland,2015.0,73.2
India,2010.0,28.8
India,2015.0,23.7
Indonesia,2010.0,50.9
Indonesia,2015.0,50.7
Ireland,2010.0,55.3
Ireland,2015.0,54.9
Israel,2010.0,57.5
Israel,2015.0,59.1
Italy,2010.0,38.2
