Country,Year,Labour force participation - Male
Afghanistan,2010.0,78.6
Afghanistan,2015.0,75.3
Albania,2010.0,63.8
Albania,2015.0,64.1
Angola,2015.0,79.9
Argentina,2010.0,73.3
Argentina,2015.0,71.5
Armenia,2010.0,68.8
Armenia,2015.0,69.3
Australia,2010.0,72.3
Australia,2015.0,71.1
Austria,2010.0,67.1
Austria,2015.0,66.4
Azerbaijan,2010.0,62.2
Azerbaijan,2015.0,66.1
Bahamas,2015.0,81.3
Bahrain,2015.0,86.2
Bangladesh,2015.0,80.4
Barbados,2010.0,72.9
Barbados,2015.0,67.5
Belarus,2010.0,68.9
Belarus,2015.0,70.3
Belgium,2010.0,60.8
Belgium,2015.0,58.9
Belize,2010.0,79.4
Belize,2015.0,80.0
Bhutan,2010.0,72.2
Bhutan,2015.0,70.1
Bolivia (Plurin. State of),2010.0,81.8
Bolivia (Plurin. State of),2015.0,79.5
Brazil,2010.0,76.0
Brazil,2015.0,75.1
Bulgaria,2010.0,59.5
Bulgaria,2015.0,60.0
Burundi,2010.0,78.0
Burundi,2015.0,77.8
Cabo Verde,2010.0,70.4
Cabo Verde,2015.0,67.6
Cambodia,2010.0,76.0
Cameroon,2010.0,82.1
Cameroon,2015.0,77.2
Canada,2010.0,71.6
Canada,2015.0,70.6
Chile,2010.0,72.3
Chile,2015.0,71.7
China,2010.0,78.1
China,2015.0,75.8
Colombia,2010.0,80.8
Colombia,2015.0,81.4
Costa Rica,2010.0,74.6
Costa Rica,2015.0,75.8
Croatia,2010.0,59.7
Croatia,2015.0,59.1
Cuba,2010.0,68.4
Cyprus,2010.0,71.0
Cyprus,2015.0,67.1
Czechia,2010.0,68.0
Czechia,2015.0,68.0
Denmark,2010.0,68.3
Denmark,2015.0,66.0
Dominican Republic,2015.0,75.9
Ecuador,2010.0,77.6
Ecuador,2015.0,79.7
El Salvador,2010.0,76.2
El Salvador,2015.0,74.5
Estonia,2010.0,67.0
Estonia,2015.0,69.0
Eswatini,2010.0,57.4
Eswatini,2015.0,56.1
Finland,2010.0,64.0
Finland,2015.0,62.4
France,2010.0,62.0
France,2015.0,60.8
Georgia,2010.0,77.0
Germany,2010.0,66.1
Germany,2015.0,65.9
Ghana,2015.0,73.5
Greece,2010.0,63.1
Greece,2015.0,59.0
Guatemala,2010.0,80.1
Guatemala,2015.0,83.7
Guyana,2010.0,73.2
Honduras,2015.0,81.5
Hungary,2010.0,58.1
Hungary,2015.0,63.0
Iceland,2010.0,79.2
Iceland,2015.0,81.1
India,2010.0,79.3
India,2015.0,75.9
Indonesia,2010.0,82.3
Indonesia,2015.0,82.4
Ireland,2010.0,70.2
Ireland,2015.0,69.1
Israel,2010.0,69.3
Israel,2015.0,69.3
Italy,2010.0,59.1
Italy,2015.0,58.9
Jamaica,2010.0,68.9
Jamaica,2015.0,72.9
Japan,2015.0,70.3
Kazakhstan,2010.0,75.9
Kazakhstan,2015.0,75.2
Kenya,2015.0,77.3
Kyrgyzstan,2010.0,77.0
Kyrgyzstan,2015.0,75.7
Latvia,2010.0,65.0
Latvia,2015.0,67.4
Lebanon,2010.0,67.4
Lithuania,2010.0,62.0
Lithuania,2015.0,64.8
Luxembourg,2010.0,65.8
Luxembourg,2015.0,65.4
Madagascar,2015.0,89.0
Malawi,2010.0,79.4
Malaysia,2010.0,76.3
Malaysia,2015.0,78.1
Maldives,2010.0,65.7
Maldives,2015.0,69.9
Malta,2010.0,66.1
Malta,2015.0,67.8
Mauritius,2010.0,74.4
Mauritius,2015.0,73.9
Mexico,2010.0,79.4
Mexico,2015.0,78.7
Mongolia,2010.0,64.7
Mongolia,2015.0,66.0
Morocco,2015.0,70.6
Mozambique,2010.0,80.1
Namibia,2010.0,62.3
Nepal,2010.0,58.4
Nepal,2015.0,55.3
Netherlands (Kingdom of the),2010.0,71.2
Netherlands (Kingdom of the),2015.0,70.1
New Zealand,2010.0,74.1
New Zealand,2015.0,74.5
Nicaragua,2010.0,84.0
Nicaragua,2015.0,82.9
Norway,2010.0,69.6
Norway,2015.0,68.4
Oman,2015.0,87.4
Pakistan,2010.0,78.5
Pakistan,2015.0,78.9
Panama,2015.0,77.5
Paraguay,2010.0,82.4
Paraguay,2015.0,81.1
Peru,2010.0,86.6
Peru,2015.0,84.4
Philippines,2015.0,74.2
Poland,2010.0,64.3
Poland,2015.0,65.1
Portugal,2010.0,67.2
Portugal,2015.0,64.1
Qatar,2010.0,95.8
Qatar,2015.0,95.6
Republic of Korea,2010.0,73.0
Republic of Korea,2015.0,74.1
Republic of Moldova,2010.0,45.0
Republic of Moldova,2015.0,48.2
Romania,2010.0,64.3
Romania,2015.0,64.6
Russian Federation,2015.0,71.3
Rwanda,2010.0,68.4
Rwanda,2015.0,67.3
Saint Lucia,2010.0,72.8
Saint Lucia,2015.0,75.7
Saint Vincent & Grenadines,2010.0,75.7
San Marino,2010.0,80.15
Sao Tome and Principe,2010.0,71.7
Saudi Arabia,2015.0,79.9
Senegal,2010.0,63.4
Senegal,2015.0,57.7
Serbia,2010.0,58.6
Serbia,2015.0,60.8
Sierra Leone,2015.0,57.3
Singapore,2010.0,78.6
Singapore,2015.0,79.2
Slovakia,2010.0,67.8
Slovakia,2015.0,67.9
Slovenia,2010.0,65.3
Slovenia,2015.0,62.9
South Africa,2010.0,62.2
South Africa,2015.0,65.0
Spain,2010.0,67.2
Spain,2015.0,64.6
Sri Lanka,2010.0,74.2
Sri Lanka,2015.0,73.8
Suriname,2015.0,66.8
Sweden,2010.0,67.5
Sweden,2015.0,67.3
Switzerland,2010.0,74.3
Switzerland,2015.0,74.2
Tajikistan,2010.0,55.9
Thailand,2010.0,80.0
Thailand,2015.0,77.9
Timor-Leste,2010.0,73.1
Timor-Leste,2015.0,72.7
Tunisia,2010.0,69.6
Türkiye,2010.0,69.5
Türkiye,2015.0,71.3
Uganda,2010.0,75.0
Uganda,2015.0,73.9
Ukraine,2010.0,61.6
United Arab Emirates,2015.0,91.4
United Kingdom,2010.0,69.0
United Kingdom,2015.0,68.5
United Rep. of Tanzania,2010.0,88.9
United Rep. of Tanzania,2015.0,88.1
United States of America,2015.0,68.4
Uruguay,2015.0,74.4
Uzbekistan,2015.0,72.9
Venezuela (Boliv. Rep. of),2010.0,78.5
Viet Nam,2010.0,81.1
Yemen,2010.0,68.6
Zambia,2010.0,67.5
Zambia,2015.0,66.3
