Country,Year,Labour force participation - Total
Afghanistan,2010.0,46.9
Afghanistan,2015.0,47.2
Albania,2010.0,55.2
Albania,2015.0,55.5
Angola,2015.0,77.3
Argentina,2010.0,60.2
Argentina,2015.0,59.2
Armenia,2010.0,61.4
Armenia,2015.0,61.6
Australia,2010.0,65.4
Australia,2015.0,65.0
Austria,2010.0,60.4
Austria,2015.0,60.7
Azerbaijan,2010.0,60.9
Azerbaijan,2015.0,63.4
Bahamas,2015.0,73.6
Bahrain,2015.0,70.9
Bangladesh,2015.0,56.3
Barbados,2010.0,67.6
Barbados,2015.0,64.0
Belarus,2010.0,62.4
Belarus,2015.0,63.7
Belgium,2010.0,54.1
Belgium,2015.0,53.3
Belize,2010.0,62.1
Belize,2015.0,64.3
Bhutan,2010.0,68.2
Bhutan,2015.0,63.1
Bolivia (Plurin. State of),2010.0,72.1
Bolivia (Plurin. State of),2015.0,67.1
Brazil,2010.0,64.5
Brazil,2015.0,63.7
Bulgaria,2010.0,53.4
Bulgaria,2015.0,54.1
Burundi,2010.0,79.5
Burundi,2015.0,79.3
Cabo Verde,2010.0,59.1
Cabo Verde,2015.0,59.2
Cambodia,2010.0,69.6
Cameroon,2010.0,76.2
Cameroon,2015.0,72.1
Canada,2010.0,66.9
Canada,2015.0,65.8
Chile,2010.0,58.7
Chile,2015.0,59.9
China,2010.0,71.0
China,2015.0,69.3
Colombia,2010.0,67.8
Colombia,2015.0,69.5
Costa Rica,2010.0,59.2
Costa Rica,2015.0,62.8
Croatia,2010.0,52.6
Croatia,2015.0,52.7
Cuba,2010.0,55.0
Cyprus,2010.0,64.3
Cyprus,2015.0,62.3
Czechia,2010.0,58.4
Czechia,2015.0,59.4
Denmark,2010.0,63.5
Denmark,2015.0,61.3
Dominican Republic,2015.0,62.0
Ecuador,2010.0,62.7
Ecuador,2015.0,65.7
El Salvador,2010.0,59.9
El Salvador,2015.0,58.7
Estonia,2010.0,60.5
Estonia,2015.0,61.8
Eswatini,2010.0,51.7
Eswatini,2015.0,51.3
Finland,2010.0,59.8
Finland,2015.0,58.9
France,2010.0,56.5
France,2015.0,56.0
Georgia,2010.0,65.5
Germany,2010.0,59.4
Germany,2015.0,60.2
Ghana,2015.0,69.3
Greece,2010.0,53.4
Greece,2015.0,51.8
Guatemala,2010.0,60.5
Guatemala,2015.0,60.6
Guyana,2010.0,55.4
Honduras,2015.0,64.1
Hungary,2010.0,50.4
Hungary,2015.0,54.5
Iceland,2010.0,74.9
Iceland,2015.0,77.2
India,2010.0,54.7
India,2015.0,50.5
Indonesia,2010.0,66.6
Indonesia,2015.0,66.6
Ireland,2010.0,62.6
Ireland,2015.0,61.8
Israel,2010.0,63.3
Israel,2015.0,64.1
Italy,2010.0,48.2
Italy,2015.0,49.0
Jamaica,2010.0,60.5
Jamaica,2015.0,65.7
Japan,2015.0,59.5
Kazakhstan,2010.0,70.9
Kazakhstan,2015.0,70.4
Kenya,2015.0,74.3
Kyrgyzstan,2010.0,64.3
Kyrgyzstan,2015.0,62.4
Latvia,2010.0,58.9
Latvia,2015.0,60.1
Lebanon,2010.0,44.8
Lithuania,2010.0,56.8
Lithuania,2015.0,59.2
Luxembourg,2010.0,57.7
Luxembourg,2015.0,60.0
Madagascar,2015.0,86.1
Malawi,2010.0,74.7
Malaysia,2010.0,60.4
Malaysia,2015.0,64.7
Maldives,2010.0,53.0
Maldives,2015.0,57.6
Malta,2010.0,49.7
Malta,2015.0,55.4
Mauritius,2010.0,58.6
Mauritius,2015.0,59.7
Mexico,2010.0,60.5
Mexico,2015.0,60.6
Mongolia,2010.0,59.4
Mongolia,2015.0,59.8
Morocco,2015.0,47.5
Mozambique,2010.0,80.5
Namibia,2010.0,57.0
Nepal,2010.0,40.2
Nepal,2015.0,39.7
Netherlands (Kingdom of the),2010.0,64.8
Netherlands (Kingdom of the),2015.0,64.4
New Zealand,2010.0,67.6
New Zealand,2015.0,68.8
Nicaragua,2010.0,63.6
Nicaragua,2015.0,65.1
Norway,2010.0,65.6
Norway,2015.0,64.9
Oman,2015.0,69.4
Pakistan,2010.0,51.0
Pakistan,2015.0,52.0
Panama,2015.0,63.7
Paraguay,2010.0,67.7
Paraguay,2015.0,67.9
Peru,2010.0,79.2
Peru,2015.0,75.9
Philippines,2015.0,61.4
Poland,2010.0,56.0
Poland,2015.0,56.8
Portugal,2010.0,61.2
Portugal,2015.0,58.6
Qatar,2010.0,86.6
Qatar,2015.0,87.4
Republic of Korea,2010.0,61.4
Republic of Korea,2015.0,63.2
Republic of Moldova,2010.0,41.6
Republic of Moldova,2015.0,44.5
Romania,2010.0,54.9
Romania,2015.0,54.5
Russian Federation,2015.0,62.7
Rwanda,2010.0,61.0
Rwanda,2015.0,60.6
Saint Lucia,2010.0,66.8
Saint Lucia,2015.0,69.8
Saint Vincent & Grenadines,2010.0,64.8
San Marino,2010.0,76.05000000000001
Sao Tome and Principe,2010.0,54.5
Saudi Arabia,2015.0,56.6
