Country,Year,Life expectancy at birth for both sexes (years)
Afghanistan,2010.0,60.9
Afghanistan,2015.0,62.7
Albania,2010.0,77.9
Albania,2015.0,78.6
Angola,2015.0,60.7
Argentina,2010.0,75.7
Argentina,2015.0,76.8
Armenia,2010.0,73.2
Armenia,2015.0,74.4
Australia,2010.0,82.1
Australia,2015.0,82.7
Austria,2010.0,80.5
Austria,2015.0,81.2
Azerbaijan,2010.0,69.5
Azerbaijan,2015.0,71.5
Bahamas,2015.0,73.1
Bahrain,2015.0,79.4
Bangladesh,2015.0,70.5
Barbados,2010.0,75.7
Barbados,2015.0,76.7
Belarus,2010.0,71.1
Belarus,2015.0,74.0
Belgium,2010.0,80.0
Belgium,2015.0,80.9
Belize,2010.0,72.3
Belize,2015.0,73.2
Bhutan,2010.0,68.4
Bhutan,2015.0,70.3
Bolivia (Plurin. State of),2010.0,66.2
Bolivia (Plurin. State of),2015.0,67.3
Brazil,2010.0,73.2
Brazil,2015.0,74.3
Bulgaria,2010.0,73.8
Bulgaria,2015.0,74.6
Burundi,2010.0,57.1
Burundi,2015.0,60.2
Cabo Verde,2010.0,73.5
Cabo Verde,2015.0,74.6
Cambodia,2010.0,67.7
Cameroon,2010.0,56.6
Cameroon,2015.0,59.7
Canada,2010.0,81.3
Canada,2015.0,81.9
Chile,2010.0,78.5
Chile,2015.0,79.7
China,2010.0,75.6
China,2015.0,77.0
Colombia,2010.0,75.0
Colombia,2015.0,76.3
Costa Rica,2010.0,78.7
Costa Rica,2015.0,79.1
Croatia,2010.0,76.8
Croatia,2015.0,77.6
Cuba,2010.0,77.7
Cyprus,2010.0,79.7
Cyprus,2015.0,81.0
Czechia,2010.0,77.6
Czechia,2015.0,78.6
Denmark,2010.0,79.2
Denmark,2015.0,80.7
Dominican Republic,2015.0,73.0
Ecuador,2010.0,75.4
Ecuador,2015.0,76.8
El Salvador,2010.0,71.8
El Salvador,2015.0,71.8
Estonia,2010.0,75.7
Estonia,2015.0,77.7
Eswatini,2010.0,46.6
Eswatini,2015.0,55.0
Finland,2010.0,80.0
Finland,2015.0,81.4
France,2010.0,81.4
France,2015.0,82.2
Georgia,2010.0,72.1
Germany,2010.0,80.1
Germany,2015.0,80.6
Ghana,2015.0,63.2
Greece,2010.0,80.5
Greece,2015.0,80.7
Guatemala,2010.0,70.9
Guatemala,2015.0,72.1
Guyana,2010.0,66.7
Honduras,2015.0,72.5
