Country,Year,Life expectancy at birth for females (years)
Afghanistan,2010.0,62.4
Afghanistan,2015.0,64.6
Albania,2010.0,80.7
Albania,2015.0,81.2
Angola,2015.0,63.1
Argentina,2010.0,78.8
Argentina,2015.0,80.2
Armenia,2010.0,77.4
Armenia,2015.0,78.8
Australia,2010.0,84.2
Australia,2015.0,84.7
Austria,2010.0,83.1
Austria,2015.0,83.6
Azerbaijan,2010.0,72.8
Azerbaijan,2015.0,74.8
Bahamas,2015.0,76.4
Bahrain,2015.0,80.8
Bangladesh,2015.0,72.7
Barbados,2010.0,77.7
Barbados,2015.0,78.6
Belarus,2010.0,77.0
Belarus,2015.0,78.8
Belgium,2010.0,82.6
Belgium,2015.0,83.1
Belize,2010.0,75.4
Belize,2015.0,76.5
Bhutan,2010.0,70.1
Bhutan,2015.0,72.1
Bolivia (Plurin. State of),2010.0,68.7
Bolivia (Plurin. State of),2015.0,69.9
Brazil,2010.0,76.6
Brazil,2015.0,77.6
Bulgaria,2010.0,77.4
Bulgaria,2015.0,78.1
Burundi,2010.0,58.4
Burundi,2015.0,62.2
Cabo Verde,2010.0,78.1
Cabo Verde,2015.0,79.0
Cambodia,2010.0,69.8
Cameroon,2010.0,58.0
Cameroon,2015.0,61.2
Canada,2010.0,83.5
Canada,2015.0,83.9
Chile,2010.0,81.2
Chile,2015.0,82.4
China,2010.0,78.3
China,2015.0,79.8
Colombia,2010.0,78.3
Colombia,2015.0,79.3
Costa Rica,2010.0,81.1
Costa Rica,2015.0,81.6
Croatia,2010.0,80.0
Croatia,2015.0,80.5
Cuba,2010.0,80.0
Cyprus,2010.0,82.0
Cyprus,2015.0,82.9
Czechia,2010.0,80.7
Czechia,2015.0,81.5
Denmark,2010.0,81.3
Denmark,2015.0,82.7
Dominican Republic,2015.0,76.4
Ecuador,2010.0,78.5
Ecuador,2015.0,79.2
El Salvador,2010.0,76.2
El Salvador,2015.0,76.6
Estonia,2010.0,80.4
Estonia,2015.0,81.7
Eswatini,2010.0,48.3
Eswatini,2015.0,58.1
Finland,2010.0,83.2
Finland,2015.0,84.2
France,2010.0,84.7
France,2015.0,85.2
Georgia,2010.0,76.6
Germany,2010.0,82.6
Germany,2015.0,83.0
Ghana,2015.0,65.0
Greece,2010.0,83.4
Greece,2015.0,83.6
Guatemala,2010.0,74.3
Guatemala,2015.0,75.2
Guyana,2010.0,70.2
Honduras,2015.0,75.0
Hungary,2010.0,78.3
Hungary,2015.0,78.9
Iceland,2010.0,83.8
Iceland,2015.0,83.6
India,2010.0,68.6
India,2015.0,71.1
Indonesia,2010.0,70.4
Indonesia,2015.0,71.6
Ireland,2010.0,82.7
Ireland,2015.0,83.3
Israel,2010.0,83.6
Israel,2015.0,84.0
Italy,2010.0,84.5
Italy,2015.0,84.7
Jamaica,2010.0,74.7
Jamaica,2015.0,74.0
Japan,2015.0,87.0
Kazakhstan,2010.0,72.5
Kazakhstan,2015.0,74.8
Kenya,2015.0,64.1
Kyrgyzstan,2010.0,72.2
Kyrgyzstan,2015.0,73.4
Latvia,2010.0,77.9
Latvia,2015.0,79.2
Lebanon,2010.0,79.9
Lithuania,2010.0,78.8
Lithuania,2015.0,79.5
Luxembourg,2010.0,83.2
Luxembourg,2015.0,83.9
Madagascar,2015.0,66.3
Malawi,2010.0,58.4
Malaysia,2010.0,77.1
Malaysia,2015.0,77.7
Maldives,2010.0,78.8
Maldives,2015.0,80.7
Malta,2010.0,83.7
Malta,2015.0,85.3
Mauritius,2010.0,77.6
Mauritius,2015.0,78.2
Mexico,2010.0,77.1
Mexico,2015.0,77.7
Mongolia,2010.0,71.8
Mongolia,2015.0,73.7
Morocco,2015.0,74.8
Mozambique,2010.0,55.8
Namibia,2010.0,58.7
Nepal,2010.0,68.6
Nepal,2015.0,69.1
Netherlands (Kingdom of the),2010.0,82.7
Netherlands (Kingdom of the),2015.0,83.1
New Zealand,2010.0,83.0
New Zealand,2015.0,83.7
Nicaragua,2010.0,75.1
Nicaragua,2015.0,75.9
Norway,2010.0,83.2
Norway,2015.0,84.1
Oman,2015.0,79.5
Pakistan,2010.0,66.9
Pakistan,2015.0,68.2
Panama,2015.0,80.5
Paraguay,2010.0,74.8
Paraguay,2015.0,76.0
Peru,2010.0,75.9
Peru,2015.0,77.7
Philippines,2015.0,73.0
Poland,2010.0,80.5
Poland,2015.0,81.3
Portugal,2010.0,83.1
Portugal,2015.0,84.1
Qatar,2010.0,80.5
Qatar,2015.0,81.7
Republic of Korea,2010.0,84.2
Republic of Korea,2015.0,85.8
Republic of Moldova,2010.0,73.8
Republic of Moldova,2015.0,73.8
Romania,2010.0,77.7
Romania,2015.0,78.2
Russian Federation,2015.0,77.4
Rwanda,2010.0,64.2
Rwanda,2015.0,67.2
Saint Lucia,2010.0,75.7
Saint Lucia,2015.0,76.4
Saint Vincent & Grenadines,2010.0,77.6
San Marino,2010.0,84.3
Sao Tome and Principe,2010.0,67.8
Saudi Arabia,2015.0,78.6
Senegal,2010.0,66.3
Senegal,2015.0,69.1
Serbia,2010.0,77.3
Serbia,2015.0,78.7
Sierra Leone,2015.0,58.2
Singapore,2010.0,84.0
Singapore,2015.0,85.0
Slovakia,2010.0,79.2
Slovakia,2015.0,80.1
Slovenia,2010.0,82.7
Slovenia,2015.0,83.6
South Africa,2010.0,61.3
South Africa,2015.0,66.8
Spain,2010.0,85.0
Spain,2015.0,85.4
Sri Lanka,2010.0,77.6
Sri Lanka,2015.0,79.0
Suriname,2015.0,74.2
Sweden,2010.0,83.5
Sweden,2015.0,84.0
Switzerland,2010.0,84.4
Switzerland,2015.0,84.9
Tajikistan,2010.0,70.4
Thailand,2010.0,80.4
Thailand,2015.0,82.0
Timor-Leste,2010.0,67.0
Timor-Leste,2015.0,68.9
Tunisia,2010.0,78.6
Türkiye,2010.0,78.2
Türkiye,2015.0,79.8
Uganda,2010.0,58.8
Uganda,2015.0,63.0
Ukraine,2010.0,75.4
United Arab Emirates,2015.0,81.2
United Kingdom,2010.0,82.3
United Kingdom,2015.0,82.7
United Rep. of Tanzania,2010.0,61.9
United Rep. of Tanzania,2015.0,67.0
United States of America,2015.0,81.3
Uruguay,2015.0,81.4
Uzbekistan,2015.0,73.3
Venezuela (Boliv. Rep. of),2010.0,77.1
Viet Nam,2010.0,78.3
Yemen,2010.0,69.4
Zambia,2010.0,58.5
Zambia,2015.0,63.5
