Country,Year,Life expectancy at birth for males (years)
Afghanistan,2010.0,59.3
Afghanistan,2015.0,60.8
Albania,2010.0,75.5
Albania,2015.0,76.4
Angola,2015.0,58.2
Argentina,2010.0,72.5
Argentina,2015.0,73.3
Armenia,2010.0,68.6
Armenia,2015.0,69.6
Australia,2010.0,79.8
Australia,2015.0,80.6
Austria,2010.0,77.7
Austria,2015.0,78.6
Azerbaijan,2010.0,66.3
Azerbaijan,2015.0,68.1
Bahamas,2015.0,69.8
Bahrain,2015.0,78.3
Bangladesh,2015.0,68.5
Barbados,2010.0,73.6
Barbados,2015.0,74.5
Belarus,2010.0,65.5
Belarus,2015.0,68.9
Belgium,2010.0,77.4
Belgium,2015.0,78.6
Belize,2010.0,69.6
Belize,2015.0,70.4
Bhutan,2010.0,67.0
Bhutan,2015.0,68.9
Bolivia (Plurin. State of),2010.0,63.8
Bolivia (Plurin. State of),2015.0,64.9
Brazil,2010.0,69.8
Brazil,2015.0,71.1
Bulgaria,2010.0,70.4
Bulgaria,2015.0,71.2
Burundi,2010.0,55.7
Burundi,2015.0,58.2
Cabo Verde,2010.0,69.0
Cabo Verde,2015.0,70.1
Cambodia,2010.0,65.4
Cameroon,2010.0,55.2
Cameroon,2015.0,58.1
Canada,2010.0,79.1
Canada,2015.0,79.9
Chile,2010.0,75.7
Chile,2015.0,77.0
China,2010.0,73.1
China,2015.0,74.4
Colombia,2010.0,71.8
Colombia,2015.0,73.3
Costa Rica,2010.0,76.3
Costa Rica,2015.0,76.7
Croatia,2010.0,73.6
Croatia,2015.0,74.5
Cuba,2010.0,75.5
Cyprus,2010.0,77.4
Cyprus,2015.0,79.1
Czechia,2010.0,74.4
Czechia,2015.0,75.6
Denmark,2010.0,77.1
Denmark,2015.0,78.8
Dominican Republic,2015.0,69.8
Ecuador,2010.0,72.5
Ecuador,2015.0,74.4
El Salvador,2010.0,67.2
El Salvador,2015.0,66.8
Estonia,2010.0,70.7
Estonia,2015.0,73.1
Eswatini,2010.0,44.9
Eswatini,2015.0,52.1
Finland,2010.0,76.7
Finland,2015.0,78.6
France,2010.0,78.0
France,2015.0,79.0
Georgia,2010.0,67.6
Germany,2010.0,77.4
Germany,2015.0,78.1
Ghana,2015.0,61.4
Greece,2010.0,77.7
Greece,2015.0,77.9
Guatemala,2010.0,67.6
Guatemala,2015.0,69.1
Guyana,2010.0,63.6
Honduras,2015.0,70.2
Hungary,2010.0,70.6
Hungary,2015.0,72.2
Iceland,2010.0,79.6
Iceland,2015.0,81.1
India,2010.0,65.3
India,2015.0,68.3
Indonesia,2010.0,66.9
Indonesia,2015.0,67.8
Ireland,2010.0,78.3
Ireland,2015.0,79.5
Israel,2010.0,79.8
Israel,2015.0,80.1
Italy,2010.0,79.5
Italy,2015.0,80.2
Jamaica,2010.0,70.6
Jamaica,2015.0,70.8
Japan,2015.0,80.7
Kazakhstan,2010.0,63.6
Kazakhstan,2015.0,66.4
Kenya,2015.0,59.7
Kyrgyzstan,2010.0,64.3
Kyrgyzstan,2015.0,66.6
Latvia,2010.0,67.8
Latvia,2015.0,69.9
Lebanon,2010.0,76.1
Lithuania,2010.0,67.9
Lithuania,2015.0,69.6
Luxembourg,2010.0,77.9
Luxembourg,2015.0,79.7
Madagascar,2015.0,62.4
Malawi,2010.0,54.3
Malaysia,2010.0,72.1
Malaysia,2015.0,72.8
Maldives,2010.0,76.8
Maldives,2015.0,78.9
Malta,2010.0,79.6
Malta,2015.0,80.4
Mauritius,2010.0,70.6
Mauritius,2015.0,71.9
Mexico,2010.0,71.3
Mexico,2015.0,71.7
Mongolia,2010.0,63.0
Mongolia,2015.0,65.5
Morocco,2015.0,71.2
Mozambique,2010.0,52.4
Namibia,2010.0,53.3
Nepal,2010.0,65.1
Nepal,2015.0,65.8
Netherlands (Kingdom of the),2010.0,78.8
Netherlands (Kingdom of the),2015.0,79.7
New Zealand,2010.0,79.2
New Zealand,2015.0,80.1
Nicaragua,2010.0,68.9
Nicaragua,2015.0,70.0
Norway,2010.0,78.8
Norway,2015.0,80.4
Oman,2015.0,76.3
Pakistan,2010.0,62.3
Pakistan,2015.0,63.5
Panama,2015.0,74.5
Paraguay,2010.0,69.2
Paraguay,2015.0,70.5
Peru,2010.0,71.6
Peru,2015.0,73.6
Philippines,2015.0,69.5
Poland,2010.0,72.2
Poland,2015.0,73.5
Portugal,2010.0,76.8
Portugal,2015.0,78.1
Qatar,2010.0,77.4
Qatar,2015.0,79.2
Republic of Korea,2010.0,77.1
Republic of Korea,2015.0,79.0
Republic of Moldova,2010.0,65.0
Republic of Moldova,2015.0,64.8
Romania,2010.0,70.4
Romania,2015.0,71.4
Russian Federation,2015.0,66.6
Rwanda,2010.0,60.7
Rwanda,2015.0,63.2
Saint Lucia,2010.0,69.9
