Country,Year,Population annual rate of increase (percent)
Afghanistan,2010.0,2.7
Afghanistan,2015.0,2.3
Albania,2010.0,-0.5
Albania,2015.0,0.0
Angola,2015.0,3.6
Argentina,2010.0,1.0
Argentina,2015.0,1.0
Armenia,2010.0,-0.6
Armenia,2015.0,-0.4
Australia,2010.0,1.5
Australia,2015.0,1.5
Austria,2010.0,0.3
Austria,2015.0,1.3
Azerbaijan,2010.0,1.3
Azerbaijan,2015.0,1.2
Bahamas,2015.0,0.9
Bahrain,2015.0,3.5
Bangladesh,2015.0,1.2
Barbados,2010.0,0.3
Barbados,2015.0,0.2
Belarus,2010.0,-0.3
Belarus,2015.0,0.1
Belgium,2010.0,0.7
Belgium,2015.0,0.6
Belize,2010.0,2.3
Belize,2015.0,2.1
Bhutan,2010.0,1.1
Bhutan,2015.0,0.9
Bolivia (Plurin. State of),2010.0,1.7
Bolivia (Plurin. State of),2015.0,1.6
Brazil,2010.0,0.9
Brazil,2015.0,0.8
Bulgaria,2010.0,-0.6
Bulgaria,2015.0,-0.9
Burundi,2010.0,3.7
Burundi,2015.0,1.1
Cabo Verde,2010.0,1.2
Cabo Verde,2015.0,1.1
Cambodia,2010.0,1.5
Cameroon,2010.0,2.9
Cameroon,2015.0,3.0
Canada,2010.0,1.1
Canada,2015.0,1.0
Chile,2010.0,1.0
Chile,2015.0,1.0
China,2010.0,0.7
China,2015.0,0.6
Colombia,2010.0,1.1
Colombia,2015.0,1.0
Costa Rica,2010.0,1.3
Costa Rica,2015.0,1.0
Croatia,2010.0,-0.3
Croatia,2015.0,-0.8
Cuba,2010.0,0.1
Cyprus,2010.0,1.7
Cyprus,2015.0,0.9
Czechia,2010.0,0.4
Czechia,2015.0,0.0
Denmark,2010.0,0.5
Denmark,2015.0,0.5
Dominican Republic,2015.0,1.2
Ecuador,2010.0,1.6
Ecuador,2015.0,1.5
El Salvador,2010.0,0.4
El Salvador,2015.0,0.3
Estonia,2010.0,-0.3
Estonia,2015.0,0.2
Eswatini,2010.0,0.5
Eswatini,2015.0,0.7
Finland,2010.0,0.4
Finland,2015.0,0.3
France,2010.0,0.6
France,2015.0,0.3
Georgia,2010.0,-0.4
Germany,2010.0,0.1
Germany,2015.0,0.3
Ghana,2015.0,2.3
Greece,2010.0,-0.2
Greece,2015.0,-0.6
Guatemala,2010.0,2.0
Guatemala,2015.0,1.8
Guyana,2010.0,-0.5
Honduras,2015.0,1.8
Hungary,2010.0,-0.3
Hungary,2015.0,-0.3
Iceland,2010.0,0.3
Iceland,2015.0,1.0
India,2010.0,1.4
India,2015.0,1.2
Indonesia,2010.0,1.2
Indonesia,2015.0,1.1
Ireland,2010.0,0.5
Ireland,2015.0,1.0
Israel,2010.0,1.8
Israel,2015.0,1.9
Italy,2010.0,0.4
Italy,2015.0,-0.2
Jamaica,2010.0,0.4
Jamaica,2015.0,0.3
Japan,2015.0,-0.2
Kazakhstan,2010.0,1.4
Kazakhstan,2015.0,1.3
Kenya,2015.0,2.2
Kyrgyzstan,2010.0,1.1
Kyrgyzstan,2015.0,1.7
Latvia,2010.0,-1.2
Latvia,2015.0,-0.9
Lebanon,2010.0,0.5
Lithuania,2010.0,-1.3
Lithuania,2015.0,-1.0
Luxembourg,2010.0,1.9
Luxembourg,2015.0,2.3
Madagascar,2015.0,2.6
Malawi,2010.0,2.9
Malaysia,2010.0,1.6
Malaysia,2015.0,1.5
Maldives,2010.0,3.5
Maldives,2015.0,4.3
Malta,2010.0,0.9
Malta,2015.0,2.3
Mauritius,2010.0,0.3
Mauritius,2015.0,0.1
Mexico,2010.0,1.4
Mexico,2015.0,1.1
Mongolia,2010.0,1.3
Mongolia,2015.0,2.2
Morocco,2015.0,1.2
Mozambique,2010.0,2.9
Namibia,2010.0,1.5
Nepal,2010.0,0.5
Nepal,2015.0,0.7
Netherlands (Kingdom of the),2010.0,0.5
Netherlands (Kingdom of the),2015.0,0.5
New Zealand,2010.0,0.9
New Zealand,2015.0,1.7
Nicaragua,2010.0,1.5
Nicaragua,2015.0,1.4
Norway,2010.0,1.3
Norway,2015.0,0.9
Oman,2015.0,5.1
Pakistan,2010.0,2.2
Pakistan,2015.0,1.2
Panama,2015.0,1.7
Paraguay,2010.0,1.3
Paraguay,2015.0,1.4
Peru,2010.0,0.8
Peru,2015.0,1.2
Philippines,2015.0,1.8
Poland,2010.0,0.1
Poland,2015.0,-0.1
Portugal,2010.0,-0.2
Portugal,2015.0,-0.3
Qatar,2010.0,4.7
Qatar,2015.0,8.3
Republic of Korea,2010.0,0.5
Republic of Korea,2015.0,0.8
Republic of Moldova,2010.0,-2.2
Republic of Moldova,2015.0,-1.7
Romania,2010.0,-0.7
Romania,2015.0,-0.5
Russian Federation,2015.0,0.3
Rwanda,2010.0,2.6
Rwanda,2015.0,2.4
Saint Lucia,2010.0,0.8
Saint Lucia,2015.0,0.5
Saint Vincent & Grenadines,2010.0,-0.5
San Marino,2010.0,2.2
Sao Tome and Principe,2010.0,2.2
Saudi Arabia,2015.0,1.9
Senegal,2010.0,2.7
Senegal,2015.0,2.7
Serbia,2010.0,-0.4
Serbia,2015.0,-0.3
Sierra Leone,2015.0,2.4
Singapore,2010.0,2.6
Singapore,2015.0,1.2
Slovakia,2010.0,0.1
Slovakia,2015.0,0.1
Slovenia,2010.0,0.6
Slovenia,2015.0,0.5
South Africa,2010.0,1.2
South Africa,2015.0,2.4
Spain,2010.0,0.4
Spain,2015.0,0.0
Sri Lanka,2010.0,0.9
Sri Lanka,2015.0,0.4
Suriname,2015.0,1.0
Sweden,2010.0,0.9
Sweden,2015.0,1.0
Switzerland,2010.0,1.2
Switzerland,2015.0,1.1
Tajikistan,2010.0,2.1
Thailand,2010.0,0.6
Thailand,2015.0,0.4
Timor-Leste,2010.0,2.2
Timor-Leste,2015.0,1.6
Tunisia,2010.0,1.1
Türkiye,2010.0,1.3
Türkiye,2015.0,1.7
Uganda,2010.0,2.9
Uganda,2015.0,3.1
Ukraine,2010.0,-0.4
United Arab Emirates,2015.0,0.9
United Kingdom,2010.0,0.8
United Kingdom,2015.0,0.7
United Rep. of Tanzania,2010.0,2.8
United Rep. of Tanzania,2015.0,3.6
United States of America,2015.0,0.8
Uruguay,2015.0,0.3
Uzbekistan,2015.0,1.6
Venezuela (Boliv. Rep. of),2010.0,1.3
Viet Nam,2010.0,1.1
Yemen,2010.0,2.9
Zambia,2010.0,3.4
Zambia,2015.0,3.2
