Country,Year,Public expenditure on education (% of GDP)
Afghanistan,2010.0,3.5
Afghanistan,2015.0,3.3
Albania,2010.0,3.4
Albania,2015.0,3.4
Angola,2015.0,3.1
Argentina,2010.0,5.0
Argentina,2015.0,5.8
Armenia,2010.0,3.2
Armenia,2015.0,2.8
Australia,2010.0,5.5
Australia,2015.0,5.3
Austria,2010.0,5.7
Austria,2015.0,5.5
Azerbaijan,2010.0,2.8
Azerbaijan,2015.0,3.0
Bahamas,2015.0,2.2
Bahrain,2015.0,2.7
Bangladesh,2015.0,1.9
Barbados,2010.0,6.1
Barbados,2015.0,5.4
Belarus,2010.0,5.2
Belarus,2015.0,4.8
Belgium,2010.0,6.4
Belgium,2015.0,6.5
Belize,2010.0,5.3
Belize,2015.0,5.4
Bhutan,2010.0,4.1
Bhutan,2015.0,6.3
Bolivia (Plurin. State of),2010.0,7.0
Bolivia (Plurin. State of),2015.0,8.1
Brazil,2010.0,5.6
Brazil,2015.0,6.2
Bulgaria,2010.0,3.9
Bulgaria,2015.0,3.9
Burundi,2010.0,6.8
Burundi,2015.0,6.4
Cabo Verde,2010.0,5.6
Cabo Verde,2015.0,5.3
Cambodia,2010.0,1.5
Cameroon,2010.0,2.8
Cameroon,2015.0,2.7
Canada,2010.0,5.4
Canada,2015.0,4.7
Chile,2010.0,4.2
Chile,2015.0,4.9
China,2010.0,3.8
China,2015.0,3.8
Colombia,2010.0,4.8
Colombia,2015.0,4.5
Costa Rica,2010.0,6.6
Costa Rica,2015.0,6.9
Croatia,2010.0,4.2
Croatia,2015.0,4.9
Cuba,2010.0,12.8
Cyprus,2010.0,6.5
Cyprus,2015.0,6.3
Czechia,2010.0,4.0
Czechia,2015.0,5.8
Denmark,2010.0,8.6
Denmark,2015.0,7.0
Dominican Republic,2015.0,3.6
Ecuador,2010.0,4.5
Ecuador,2015.0,5.0
El Salvador,2010.0,4.0
El Salvador,2015.0,3.9
Estonia,2010.0,5.5
Estonia,2015.0,5.1
Eswatini,2010.0,6.1
Eswatini,2015.0,5.4
Finland,2010.0,6.5
Finland,2015.0,7.0
France,2010.0,5.6
France,2015.0,5.4
Georgia,2010.0,2.8
Germany,2010.0,5.1
Germany,2015.0,4.9
Ghana,2015.0,4.4
Greece,2010.0,4.1
Greece,2015.0,3.7
Guatemala,2010.0,2.8
Guatemala,2015.0,3.0
Guyana,2010.0,2.4
Honduras,2015.0,6.4
Hungary,2010.0,4.7
Hungary,2015.0,4.5
Iceland,2010.0,6.9
Iceland,2015.0,7.5
India,2010.0,3.4
India,2015.0,4.1
Indonesia,2010.0,2.8
Indonesia,2015.0,3.6
Ireland,2010.0,6.1
