Country,Year,"Seats held by women in national parliament, as of February (%)"
Afghanistan,2010.0,27.3
Afghanistan,2015.0,27.7
Albania,2010.0,16.4
Albania,2015.0,20.7
Angola,2015.0,36.8
Argentina,2010.0,38.5
Argentina,2015.0,36.2
Armenia,2010.0,9.2
Armenia,2015.0,10.7
Australia,2010.0,27.3
Australia,2015.0,26.7
Austria,2010.0,27.9
Austria,2015.0,30.6
Azerbaijan,2010.0,11.4
Azerbaijan,2015.0,15.6
Bahamas,2015.0,13.2
Bahrain,2015.0,7.5
Bangladesh,2015.0,20.0
Barbados,2010.0,10.0
Barbados,2015.0,16.7
Belarus,2010.0,31.8
Belarus,2015.0,27.3
Belgium,2010.0,38.0
Belgium,2015.0,39.3
Belize,2010.0,0.0
Belize,2015.0,3.1
Bhutan,2010.0,8.5
Bhutan,2015.0,8.5
Bolivia (Plurin. State of),2010.0,22.3
Bolivia (Plurin. State of),2015.0,53.1
Brazil,2010.0,8.8
Brazil,2015.0,9.0
Bulgaria,2010.0,20.8
Bulgaria,2015.0,20.4
Burundi,2010.0,31.4
Burundi,2015.0,30.5
Cabo Verde,2010.0,18.1
Cabo Verde,2015.0,20.8
Cambodia,2010.0,21.1
Cameroon,2010.0,13.9
Cameroon,2015.0,31.1
Canada,2010.0,22.1
Canada,2015.0,25.2
Chile,2010.0,14.2
Chile,2015.0,15.8
China,2010.0,21.3
China,2015.0,23.6
Colombia,2010.0,8.4
Colombia,2015.0,19.9
Costa Rica,2010.0,36.8
Costa Rica,2015.0,33.3
Croatia,2010.0,23.5
Croatia,2015.0,25.8
Cuba,2010.0,43.2
Cyprus,2010.0,12.5
Cyprus,2015.0,12.5
Czechia,2010.0,15.5
Czechia,2015.0,19.0
Denmark,2010.0,38.0
Denmark,2015.0,38.0
Dominican Republic,2015.0,20.8
Ecuador,2010.0,32.3
Ecuador,2015.0,41.6
El Salvador,2010.0,19.0
El Salvador,2015.0,27.4
Estonia,2010.0,22.8
Estonia,2015.0,19.8
Eswatini,2010.0,13.6
Eswatini,2015.0,6.2
Finland,2010.0,40.0
Finland,2015.0,42.5
France,2010.0,18.9
France,2015.0,26.2
Georgia,2010.0,5.1
Germany,2010.0,32.8
Germany,2015.0,36.5
Ghana,2015.0,10.9
Greece,2010.0,17.3
Greece,2015.0,23.0
Guatemala,2010.0,12.0
Guatemala,2015.0,13.3
Guyana,2010.0,30.0
Honduras,2015.0,25.8
Hungary,2010.0,11.1
Hungary,2015.0,10.1
Iceland,2010.0,42.9
Iceland,2015.0,41.3
India,2010.0,10.8
India,2015.0,12.0
Indonesia,2010.0,18.0
Indonesia,2015.0,17.1
Ireland,2010.0,13.9
Ireland,2015.0,16.3
Israel,2010.0,19.2
Israel,2015.0,22.5
Italy,2010.0,21.3
Italy,2015.0,31.0
Jamaica,2010.0,13.3
Jamaica,2015.0,12.7
Japan,2015.0,9.5
Kazakhstan,2010.0,17.8
Kazakhstan,2015.0,26.2
Kenya,2015.0,19.7
Kyrgyzstan,2010.0,25.6
Kyrgyzstan,2015.0,23.3
Latvia,2010.0,22.0
Latvia,2015.0,18.0
Lebanon,2010.0,3.1
Lithuania,2010.0,19.1
Lithuania,2015.0,23.4
Luxembourg,2010.0,20.0
Luxembourg,2015.0,28.3
Madagascar,2015.0,20.5
Malawi,2010.0,20.8
