Country,Year,Students enrolled in lower secondary education (thousands)
Afghanistan,2010.0,1477.0
Afghanistan,2015.0,1669.0
Albania,2010.0,215.0
Albania,2015.0,175.0
Angola,2015.0,193.5
Argentina,2010.0,2693.0
Argentina,2015.0,2723.0
Armenia,2010.0,209.0
Armenia,2015.0,209.0
Australia,2010.0,1408.0
Australia,2015.0,1408.0
Austria,2010.0,361.0
Austria,2015.0,334.0
Azerbaijan,2010.0,666.0
Azerbaijan,2015.0,574.0
Bahamas,2015.0,13.0
Bahrain,2015.0,47.0
Bangladesh,2015.0,8247.0
Barbados,2010.0,11.0
Barbados,2015.0,12.0
Belarus,2010.0,468.0
Belarus,2015.0,445.0
Belgium,2010.0,339.0
Belgium,2015.0,445.0
Belize,2010.0,26.0
Belize,2015.0,29.0
Bhutan,2010.0,47.0
Bhutan,2015.0,54.0
Bolivia (Plurin. State of),2010.0,435.0
Bolivia (Plurin. State of),2015.0,453.0
Brazil,2010.0,14255.0
Brazil,2015.0,13815.0
Bulgaria,2010.0,225.0
Bulgaria,2015.0,224.0
Burundi,2010.0,263.0
Burundi,2015.0,500.0
Cabo Verde,2010.0,38.0
Cabo Verde,2015.0,35.0
Cambodia,2010.0,594.0
Cameroon,2010.0,970.0
Cameroon,2015.0,1470.0
Canada,2010.0,799.0
Canada,2015.0,1152.0
Chile,2010.0,527.0
Chile,2015.0,514.0
China,2010.0,54525.0
China,2015.0,44411.0
Colombia,2010.0,3681.0
Colombia,2015.0,3458.0
Costa Rica,2010.0,287.0
Costa Rica,2015.0,291.0
Croatia,2010.0,208.0
Croatia,2015.0,179.0
Cuba,2010.0,415.0
Cyprus,2010.0,31.0
Cyprus,2015.0,27.0
Czechia,2010.0,379.0
Czechia,2015.0,370.0
Denmark,2010.0,248.0
Denmark,2015.0,242.0
Dominican Republic,2015.0,351.0
Ecuador,2010.0,955.0
Ecuador,2015.0,1043.0
El Salvador,2010.0,386.0
El Salvador,2015.0,366.0
Estonia,2010.0,42.0
Estonia,2015.0,37.0
Eswatini,2010.0,61.0
Eswatini,2015.0,68.0
Finland,2010.0,193.0
Finland,2015.0,178.0
France,2010.0,3249.0
France,2015.0,3376.0
Georgia,2010.0,167.0
Germany,2010.0,4917.0
Germany,2015.0,4543.0
Ghana,2015.0,1591.0
Greece,2010.0,353.0
Greece,2015.0,321.0
Guatemala,2010.0,731.0
Guatemala,2015.0,819.0
Guyana,2010.0,55.0
Honduras,2015.0,399.0
Hungary,2010.0,419.0
Hungary,2015.0,385.0
Iceland,2010.0,13.0
Iceland,2015.0,13.0
India,2010.0,59421.0
India,2015.0,66460.0
Indonesia,2010.0,11797.0
Indonesia,2015.0,13400.0
Ireland,2010.0,183.0
Ireland,2015.0,190.0
Israel,2010.0,367.0
Israel,2015.0,407.0
Italy,2010.0,1778.0
Italy,2015.0,1773.0
Jamaica,2010.0,154.0
Jamaica,2015.0,131.0
Japan,2015.0,3551.0
Kazakhstan,2010.0,1255.0
Kazakhstan,2015.0,1209.0
Kenya,2015.0,2168.0
Kyrgyzstan,2010.0,516.0
Kyrgyzstan,2015.0,472.0
Latvia,2010.0,64.0
Latvia,2015.0,55.0
Lebanon,2010.0,215.0
Lithuania,2010.0,238.0
Lithuania,2015.0,183.0
Luxembourg,2010.0,21.0
Luxembourg,2015.0,22.0
Madagascar,2015.0,1163.0
Malawi,2010.0,589.0
Malaysia,2010.0,1517.0
Malaysia,2015.0,1433.0
Maldives,2010.0,25.0
Maldives,2015.0,18.0
Malta,2010.0,26.0
Malta,2015.0,13.0
Mauritius,2010.0,58.0
Mauritius,2015.0,64.0
Mexico,2010.0,7627.0
Mexico,2015.0,8660.0
Mongolia,2010.0,179.0
Mongolia,2015.0,179.0
Morocco,2015.0,1667.0
Mozambique,2010.0,556.0
Namibia,2010.0,133.0
Nepal,2010.0,1604.0
Nepal,2015.0,1835.0
Netherlands (Kingdom of the),2010.0,762.0
Netherlands (Kingdom of the),2015.0,816.0
New Zealand,2010.0,249.0
New Zealand,2015.0,242.0
Nicaragua,2010.0,320.0
Nicaragua,2015.0,320.0
Norway,2010.0,192.0
Norway,2015.0,195.0
Oman,2015.0,149.0
Pakistan,2010.0,5501.0
Pakistan,2015.0,6582.0
Panama,2015.0,195.0
Paraguay,2010.0,331.0
Paraguay,2015.0,331.0
Peru,2010.0,1779.0
Peru,2015.0,1686.0
Philippines,2015.0,5696.0
Poland,2010.0,1332.0
Poland,2015.0,1117.0
Portugal,2010.0,379.0
Portugal,2015.0,385.0
Qatar,2010.0,37.0
Qatar,2015.0,52.0
Republic of Korea,2010.0,1986.0
Republic of Korea,2015.0,1598.0
Republic of Moldova,2010.0,208.0
Republic of Moldova,2015.0,162.0
Romania,2010.0,869.0
Romania,2015.0,785.0
Russian Federation,2015.0,6549.0
Rwanda,2010.0,299.0
Rwanda,2015.0,336.0
Saint Lucia,2010.0,10.0
Saint Lucia,2015.0,8.0
Saint Vincent & Grenadines,2010.0,8.0
San Marino,2010.0,1.0
Sao Tome and Principe,2010.0,9.0
Saudi Arabia,2015.0,1637.0
Senegal,2010.0,806.0
Senegal,2015.0,806.0
Serbia,2010.0,304.0
Serbia,2015.0,290.0
Sierra Leone,2015.0,289.0
Singapore,2010.0,387.0
Singapore,2015.0,1764.0
Slovakia,2010.0,280.0
Slovakia,2015.0,254.0
Slovenia,2010.0,55.0
Slovenia,2015.0,55.0
South Africa,2010.0,2011.0
South Africa,2015.0,2032.0
Spain,2010.0,2011.0
Spain,2015.0,1625.0
Sri Lanka,2010.0,1285.0
Sri Lanka,2015.0,1348.0
Suriname,2015.0,39.0
Sweden,2010.0,337.0
Sweden,2015.0,334.0
Switzerland,2010.0,290.0
Switzerland,2015.0,262.0
Tajikistan,2010.0,826.0
Thailand,2010.0,2798.0
Thailand,2015.0,3290.0
Timor-Leste,2010.0,61.0
Timor-Leste,2015.0,78.0
Tunisia,2010.0,583.0
Türkiye,2010.0,3892.0
Türkiye,2015.0,5278.0
Uganda,2010.0,821.0
Uganda,2015.0,1819.0
Ukraine,2010.0,2289.0
United Arab Emirates,2015.0,260.0
United Kingdom,2010.0,2458.0
United Kingdom,2015.0,2335.0
United Rep. of Tanzania,2010.0,1669.0
United Rep. of Tanzania,2015.0,1648.0
United States of America,2015.0,12549.0
Uruguay,2015.0,180.0
Uzbekistan,2015.0,2405.0
Venezuela (Boliv. Rep. of),2010.0,1478.0
Viet Nam,2010.0,5214.0
Yemen,2010.0,976.0
Zambia,2010.0,442.0
Zambia,2015.0,471.0
