Country,Year,Students enrolled in primary education (thousands)
Afghanistan,2010.0,5279.0
Afghanistan,2015.0,6199.0
Albania,2010.0,225.0
Albania,2015.0,188.0
Angola,2015.0,5621.0
Argentina,2010.0,4947.0
Argentina,2015.0,4784.0
Armenia,2010.0,102.0
Armenia,2015.0,145.0
Australia,2010.0,2015.0
Australia,2015.0,2141.0
Austria,2010.0,328.0
Austria,2015.0,328.0
Azerbaijan,2010.0,482.0
Azerbaijan,2015.0,551.0
Bahamas,2015.0,33.0
Bahrain,2015.0,108.0
Bangladesh,2015.0,1893.0
Barbados,2010.0,23.0
Barbados,2015.0,21.0
Belarus,2010.0,358.0
Belarus,2015.0,387.0
Belgium,2010.0,732.0
Belgium,2015.0,783.0
Belize,2010.0,53.0
Belize,2015.0,52.0
Bhutan,2010.0,110.0
Bhutan,2015.0,99.0
Bolivia (Plurin. State of),2010.0,1444.0
Bolivia (Plurin. State of),2015.0,1345.0
Brazil,2010.0,16893.0
Brazil,2015.0,16299.0
Bulgaria,2010.0,260.0
Bulgaria,2015.0,262.0
Burundi,2010.0,1850.0
Burundi,2015.0,2072.0
Cabo Verde,2010.0,71.0
Cabo Verde,2015.0,66.0
Cambodia,2010.0,2273.0
Cameroon,2010.0,3510.0
Cameroon,2015.0,4370.0
Canada,2010.0,2168.0
Canada,2015.0,2304.0
Chile,2010.0,1547.0
Chile,2015.0,1478.0
China,2010.0,101019.0
China,2015.0,95958.0
Colombia,2010.0,5085.0
Colombia,2015.0,4479.0
Costa Rica,2010.0,521.0
Costa Rica,2015.0,473.0
Croatia,2010.0,167.0
Croatia,2015.0,162.0
Cuba,2010.0,853.0
Cyprus,2010.0,55.0
Cyprus,2015.0,54.0
Czechia,2010.0,463.0
Czechia,2015.0,535.0
Denmark,2010.0,403.0
Denmark,2015.0,469.0
Dominican Republic,2015.0,1307.0
Ecuador,2010.0,2114.0
Ecuador,2015.0,1998.0
El Salvador,2010.0,940.0
El Salvador,2015.0,741.0
Estonia,2010.0,73.0
Estonia,2015.0,80.0
Eswatini,2010.0,241.0
Eswatini,2015.0,241.0
Finland,2010.0,347.0
Finland,2015.0,355.0
France,2010.0,4159.0
France,2015.0,4256.0
Georgia,2010.0,289.0
