Country,Year,Students enrolled in upper secondary education (thousands)
Afghanistan,2010.0,567.0
Afghanistan,2015.0,982.0
Albania,2010.0,141.0
Albania,2015.0,140.0
Angola,2015.0,181.5
Argentina,2010.0,1520.0
Argentina,2015.0,1779.0
Armenia,2010.0,97.0
Armenia,2015.0,97.0
Australia,2010.0,1301.0
Australia,2015.0,1301.0
Austria,2010.0,383.0
Austria,2015.0,358.0
Azerbaijan,2010.0,17.0
Azerbaijan,2015.0,17.0
Bahamas,2015.0,13.0
Bahrain,2015.0,45.0
Bangladesh,2015.0,6320.0
Barbados,2010.0,8.0
Barbados,2015.0,8.0
Belarus,2010.0,294.0
Belarus,2015.0,200.0
Belgium,2010.0,864.0
Belgium,2015.0,773.0
Belize,2010.0,7.0
Belize,2015.0,9.0
Bhutan,2010.0,13.0
Bhutan,2015.0,21.0
Bolivia (Plurin. State of),2010.0,701.0
Bolivia (Plurin. State of),2015.0,781.0
Brazil,2010.0,9284.0
Brazil,2015.0,9687.0
Bulgaria,2010.0,307.0
Bulgaria,2015.0,278.0
Burundi,2010.0,75.0
Burundi,2015.0,164.0
Cabo Verde,2010.0,24.0
Cabo Verde,2015.0,24.0
Cambodia,2010.0,115.5
Cameroon,2010.0,420.0
Cameroon,2015.0,638.0
Canada,2010.0,1812.0
Canada,2015.0,1490.0
Chile,2010.0,992.0
Chile,2015.0,1032.0
China,2010.0,44693.0
China,2015.0,41716.0
Colombia,2010.0,1398.0
Colombia,2015.0,1335.0
Costa Rica,2010.0,127.0
Costa Rica,2015.0,169.0
Croatia,2010.0,181.0
Croatia,2015.0,182.0
Cuba,2010.0,394.0
Cyprus,2010.0,33.0
Cyprus,2015.0,30.0
Czechia,2010.0,458.0
Czechia,2015.0,400.0
Denmark,2010.0,256.0
Denmark,2015.0,312.0
Dominican Republic,2015.0,579.0
Ecuador,2010.0,700.0
Ecuador,2015.0,889.0
El Salvador,2010.0,191.0
El Salvador,2015.0,234.0
Estonia,2010.0,53.0
