Country,Year,Total population of concern to UNHCR (number)
Afghanistan,2010.0,1199987.0
Afghanistan,2015.0,1421419.0
Albania,2010.0,99.0
Albania,2015.0,8098.0
Angola,2015.0,45698.0
Argentina,2010.0,4223.0
Argentina,2015.0,4420.0
Armenia,2010.0,85844.0
Armenia,2015.0,16042.0
Australia,2010.0,25580.0
Australia,2015.0,58419.0
Austria,2010.0,68725.0
Austria,2015.0,92217.0
Azerbaijan,2010.0,596877.0
Azerbaijan,2015.0,628096.0
Bahamas,2015.0,56.0
Bahrain,2015.0,355.0
Bangladesh,2015.0,232986.0
Barbados,2010.0,1.0
Barbados,2015.0,1.0
Belarus,2010.0,8389.0
Belarus,2015.0,7928.0
Belgium,2010.0,36876.0
Belgium,2015.0,45778.0
Belize,2010.0,166.0
Belize,2015.0,146.0
Bhutan,2010.0,156.0
Bhutan,2015.0,156.0
Bolivia (Plurin. State of),2010.0,739.0
Bolivia (Plurin. State of),2015.0,775.0
Brazil,2010.0,5237.0
Brazil,2015.0,66002.0
Bulgaria,2010.0,6942.0
Bulgaria,2015.0,18953.0
Burundi,2010.0,200765.0
Burundi,2015.0,137710.0
Cabo Verde,2010.0,115.0
Cabo Verde,2015.0,115.0
Cambodia,2010.0,180.0
Cameroon,2010.0,106724.0
Cameroon,2015.0,391821.0
Canada,2010.0,216581.0
Canada,2015.0,155839.0
Chile,2010.0,1895.0
Chile,2015.0,2517.0
China,2010.0,301108.0
China,2015.0,301621.0
Colombia,2010.0,3672444.0
Colombia,2015.0,6520579.0
Costa Rica,2010.0,19920.0
Costa Rica,2015.0,7907.0
Croatia,2010.0,25480.0
Croatia,2015.0,17484.0
Cuba,2010.0,423.0
Cyprus,2010.0,8790.0
Cyprus,2015.0,14102.0
Czechia,2010.0,3515.0
Czechia,2015.0,5048.0
Denmark,2010.0,24523.0
Denmark,2015.0,27335.0
Dominican Republic,2015.0,135131.0
Ecuador,2010.0,171136.0
Ecuador,2015.0,133118.0
El Salvador,2010.0,56.0
El Salvador,2015.0,48.0
Estonia,2010.0,101032.0
Estonia,2015.0,86756.0
Eswatini,2010.0,759.0
Eswatini,2015.0,864.0
Finland,2010.0,13954.0
Finland,2015.0,16348.0
France,2010.0,250434.0
France,2015.0,320089.0
Georgia,2010.0,362230.0
Germany,2010.0,670638.0
Germany,2015.0,573828.0
Ghana,2015.0,21331.0
Greece,2010.0,57428.0
Greece,2015.0,37602.0
Guatemala,2010.0,140.0
Guatemala,2015.0,275.0
Guyana,2010.0,7.0
Honduras,2015.0,42.0
Hungary,2010.0,5843.0
Hungary,2015.0,28751.0
Iceland,2010.0,235.0
Iceland,2015.0,448.0
India,2010.0,193676.0
India,2015.0,205764.0
Indonesia,2010.0,2894.0
Indonesia,2015.0,13188.0
Ireland,2010.0,14237.0
Ireland,2015.0,10492.0
Israel,2010.0,31055.0
Israel,2015.0,45179.0
Italy,2010.0,61331.0
Italy,2015.0,142628.0
Jamaica,2010.0,21.0
Jamaica,2015.0,18.0
Japan,2015.0,13755.0
Kazakhstan,2010.0,12689.0
Kazakhstan,2015.0,7849.0
Kenya,2015.0,613844.0
Kyrgyzstan,2010.0,304176.0
Kyrgyzstan,2015.0,14279.0
Latvia,2010.0,327027.0
Latvia,2015.0,263168.0
Lebanon,2010.0,9520.0
Lithuania,2010.0,4553.0
Lithuania,2015.0,4692.0
Luxembourg,2010.0,4124.0
Luxembourg,2015.0,2104.0
Madagascar,2015.0,19.0
Malawi,2010.0,15233.0
Malaysia,2010.0,212870.0
Malaysia,2015.0,271973.0
Maldives,2010.0,766.5
Maldives,2015.0,766.5
Malta,2010.0,7431.0
Malta,2015.0,6520.0
Mauritius,2010.0,26.5
Mauritius,2015.0,19.5
Mexico,2010.0,1573.0
Mexico,2015.0,2226.0
Mongolia,2010.0,273.0
Mongolia,2015.0,32.0
Morocco,2015.0,4360.0
Mozambique,2010.0,9992.0
Namibia,2010.0,8768.0
Nepal,2010.0,891317.0
Nepal,2015.0,36753.0
Netherlands (Kingdom of the),2010.0,90109.0
Netherlands (Kingdom of the),2015.0,92542.0
