Country,Year,Total refugees and people in refugee-like situations (number)
Afghanistan,2010.0,6434.0
Afghanistan,2015.0,225714.0
Albania,2010.0,76.0
Albania,2015.0,154.0
Angola,2015.0,15555.0
Argentina,2010.0,3276.0
Argentina,2015.0,3523.0
Armenia,2010.0,3296.0
Armenia,2015.0,15690.0
Australia,2010.0,21805.0
Australia,2015.0,35582.0
Austria,2010.0,42630.0
Austria,2015.0,60747.0
Azerbaijan,2010.0,1891.0
Azerbaijan,2015.0,1357.0
Bahamas,2015.0,7.0
Bahrain,2015.0,277.0
Bangladesh,2015.0,232975.0
Barbados,2010.0,1.0
Barbados,2015.0,1.0
Belarus,2010.0,589.0
Belarus,2015.0,1369.0
Belgium,2010.0,17892.0
Belgium,2015.0,31115.0
Belize,2010.0,134.0
Belize,2015.0,134.0
Bhutan,2010.0,134.0
Bhutan,2015.0,134.0
Bolivia (Plurin. State of),2010.0,695.0
Bolivia (Plurin. State of),2015.0,767.0
Brazil,2010.0,4357.0
Brazil,2015.0,7762.0
Bulgaria,2010.0,5530.0
Bulgaria,2015.0,11046.0
Burundi,2010.0,29365.0
Burundi,2015.0,54126.0
Cabo Verde,2010.0,1.0
Cabo Verde,2015.0,1.0
Cambodia,2010.0,129.0
Cameroon,2010.0,104275.0
Cameroon,2015.0,302293.0
Canada,2010.0,165549.0
Canada,2015.0,135888.0
Chile,2010.0,1621.0
Chile,2015.0,1798.0
China,2010.0,300986.0
China,2015.0,301057.0
Colombia,2010.0,212.0
Colombia,2015.0,219.0
Costa Rica,2010.0,19505.0
Costa Rica,2015.0,3475.0
Croatia,2010.0,936.0
Croatia,2015.0,710.0
Cuba,2010.0,411.0
Cyprus,2010.0,3394.0
Cyprus,2015.0,5763.0
Czechia,2010.0,2449.0
Czechia,2015.0,3137.0
Denmark,2010.0,17922.0
Denmark,2015.0,17785.0
Dominican Republic,2015.0,609.0
Ecuador,2010.0,121249.0
Ecuador,2015.0,121535.0
El Salvador,2010.0,38.0
El Salvador,2015.0,48.0
Estonia,2010.0,39.0
Estonia,2015.0,117.0
Eswatini,2010.0,759.0
Eswatini,2015.0,539.0
Finland,2010.0,8724.0
Finland,2015.0,11798.0
France,2010.0,200687.0
France,2015.0,264972.0
Georgia,2010.0,639.0
Germany,2010.0,594269.0
Germany,2015.0,250299.0
Ghana,2015.0,18476.0
Greece,2010.0,1444.0
Greece,2015.0,8231.0
Guatemala,2010.0,138.0
Guatemala,2015.0,202.0
Guyana,2010.0,7.0
Honduras,2015.0,23.0
Hungary,2010.0,5414.0
Hungary,2015.0,4192.0
Iceland,2010.0,83.0
Iceland,2015.0,104.0
India,2010.0,184821.0
India,2015.0,200383.0
Indonesia,2010.0,811.0
Indonesia,2015.0,5277.0
Ireland,2010.0,9107.0
Ireland,2015.0,6125.0
Israel,2010.0,25471.0
Israel,2015.0,38500.0
Italy,2010.0,56397.0
Italy,2015.0,93715.0
Jamaica,2010.0,21.0
Jamaica,2015.0,15.0
Japan,2015.0,2419.0
Kazakhstan,2010.0,4406.0
Kazakhstan,2015.0,662.0
Kenya,2015.0,552272.0
Kyrgyzstan,2010.0,2458.0
Kyrgyzstan,2015.0,433.0
Latvia,2010.0,68.0
Latvia,2015.0,195.0
Lebanon,2010.0,8063.0
Lithuania,2010.0,803.0
Lithuania,2015.0,1055.0
Luxembourg,2010.0,3254.0
Luxembourg,2015.0,1192.0
Madagascar,2015.0,10.0
Malawi,2010.0,5740.0
Malaysia,2010.0,81516.0
Malaysia,2015.0,97573.0
Maldives,2010.0,752.5
Maldives,2015.0,752.5
Malta,2010.0,6136.0
Malta,2015.0,6095.0
Mauritius,2010.0,16.0
Mauritius,2015.0,18.0
Mexico,2010.0,1395.0
Mexico,2015.0,2158.0
Mongolia,2010.0,12.0
Mongolia,2015.0,11.0
Morocco,2015.0,2144.0
Mozambique,2010.0,4077.0
Namibia,2010.0,7254.0
Nepal,2010.0,89808.0
Nepal,2015.0,36287.0
Netherlands (Kingdom of the),2010.0,74961.0
Netherlands (Kingdom of the),2015.0,82494.0
New Zealand,2010.0,2307.0
New Zealand,2015.0,1349.0
Nicaragua,2010.0,64.0
Nicaragua,2015.0,361.0
Norway,2010.0,40260.0
Norway,2015.0,47043.0
Oman,2015.0,122.0
Pakistan,2010.0,1900621.0
Pakistan,2015.0,1540854.0
Panama,2015.0,17303.0
Paraguay,2010.0,107.0
Paraguay,2015.0,161.0
Peru,2010.0,1146.0
Peru,2015.0,1407.0
Philippines,2015.0,254.0
Poland,2010.0,15555.0
Poland,2015.0,15741.0
Portugal,2010.0,384.0
Portugal,2015.0,699.0
Qatar,2010.0,51.0
Qatar,2015.0,133.0
Republic of Korea,2010.0,358.0
Republic of Korea,2015.0,1313.0
Republic of Moldova,2010.0,148.0
Republic of Moldova,2015.0,389.0
Romania,2010.0,1021.0
Romania,2015.0,2426.0
Russian Federation,2015.0,315313.0
Rwanda,2010.0,55398.0
Rwanda,2015.0,132743.0
Saint Lucia,2010.0,2.0
Saint Lucia,2015.0,2.0
Saint Vincent & Grenadines,2010.0,4.5
San Marino,2010.0,93.5
Sao Tome and Principe,2010.0,4.0
Saudi Arabia,2015.0,211.0
Senegal,2010.0,20672.0
Senegal,2015.0,14304.0
Serbia,2010.0,73608.0
Serbia,2015.0,35309.0
Sierra Leone,2015.0,1371.0
Singapore,2010.0,7.0
Singapore,2015.0,7.0
Slovakia,2010.0,461.0
Slovakia,2015.0,799.0
Slovenia,2010.0,314.0
Slovenia,2015.0,283.0
South Africa,2010.0,57899.0
South Africa,2015.0,114512.0
Spain,2010.0,3820.0
Spain,2015.0,5798.0
Sri Lanka,2010.0,223.0
Sri Lanka,2015.0,848.0
Suriname,2015.0,1.0
Sweden,2010.0,82629.0
Sweden,2015.0,142207.0
Switzerland,2010.0,48813.0
Switzerland,2015.0,69390.0
Tajikistan,2010.0,3131.0
Thailand,2010.0,96675.0
Thailand,2015.0,110372.0
Timor-Leste,2010.0,1.0
Timor-Leste,2015.0,1.0
Tunisia,2010.0,89.0
Türkiye,2010.0,10032.0
Türkiye,2015.0,1838848.0
Uganda,2010.0,135801.0
Uganda,2015.0,428397.0
Ukraine,2010.0,3022.0
United Arab Emirates,2015.0,424.0
United Kingdom,2010.0,238150.0
United Kingdom,2015.0,117234.0
United Rep. of Tanzania,2010.0,109286.0
United Rep. of Tanzania,2015.0,159014.0
United States of America,2015.0,267222.0
Uruguay,2015.0,289.0
Uzbekistan,2015.0,118.0
Venezuela (Boliv. Rep. of),2010.0,201547.0
Viet Nam,2010.0,1928.0
Yemen,2010.0,190092.0
Zambia,2010.0,47857.0
Zambia,2015.0,25737.0
