Country,Year,Unemployment rate - Female
Afghanistan,2010.0,10.6
Afghanistan,2015.0,11.5
Albania,2010.0,15.9
Albania,2015.0,17.1
Angola,2015.0,9.2
Argentina,2010.0,9.2
Argentina,2015.0,8.6
Armenia,2010.0,10.0
Armenia,2015.0,10.9
Australia,2010.0,5.4
Australia,2015.0,6.1
Austria,2010.0,4.6
Austria,2015.0,5.3
Azerbaijan,2010.0,6.9
Azerbaijan,2015.0,5.8
Bahamas,2015.0,13.0
Bahrain,2015.0,3.8
Bangladesh,2015.0,7.4
Barbados,2010.0,10.5
Barbados,2015.0,9.0
Belarus,2010.0,4.7
Belarus,2015.0,4.2
Belgium,2010.0,8.5
Belgium,2015.0,7.8
Belize,2010.0,12.6
Belize,2015.0,11.1
Bhutan,2010.0,4.1
Bhutan,2015.0,3.3
Bolivia (Plurin. State of),2010.0,3.2
Bolivia (Plurin. State of),2015.0,3.8
Brazil,2010.0,11.0
Brazil,2015.0,10.3
Bulgaria,2010.0,9.6
Bulgaria,2015.0,8.4
Burundi,2010.0,1.1
Burundi,2015.0,1.1
Cabo Verde,2010.0,11.2
Cabo Verde,2015.0,12.3
Cambodia,2010.0,0.8
Cameroon,2010.0,4.9
Cameroon,2015.0,4.1
Canada,2010.0,7.2
Canada,2015.0,6.3
Chile,2010.0,9.9
Chile,2015.0,7.1
China,2010.0,3.9
China,2015.0,4.0
Colombia,2010.0,14.2
Colombia,2015.0,10.9
Costa Rica,2010.0,9.1
Costa Rica,2015.0,10.4
Croatia,2010.0,12.3
Croatia,2015.0,16.9
Cuba,2010.0,2.7
Cyprus,2010.0,6.4
Cyprus,2015.0,14.8
Czechia,2010.0,8.5
Czechia,2015.0,6.1
Denmark,2010.0,6.8
Denmark,2015.0,6.5
Dominican Republic,2015.0,11.0
Ecuador,2010.0,5.0
Ecuador,2015.0,4.5
El Salvador,2010.0,4.2
El Salvador,2015.0,3.5
Estonia,2010.0,14.1
Estonia,2015.0,6.3
Eswatini,2010.0,29.0
Eswatini,2015.0,25.3
Finland,2010.0,7.6
Finland,2015.0,8.8
France,2010.0,9.1
France,2015.0,9.9
Georgia,2010.0,17.6
Germany,2010.0,6.5
Germany,2015.0,4.2
Ghana,2015.0,6.6
Greece,2010.0,16.4
Greece,2015.0,28.9
Guatemala,2010.0,3.8
Guatemala,2015.0,3.6
Guyana,2010.0,14.5
Honduras,2015.0,9.0
Hungary,2010.0,10.7
Hungary,2015.0,7.0
Iceland,2010.0,6.7
Iceland,2015.0,4.1
India,2010.0,8.5
India,2015.0,8.0
Indonesia,2010.0,6.4
Indonesia,2015.0,4.4
Ireland,2010.0,11.4
Ireland,2015.0,8.9
Israel,2010.0,8.0
Israel,2015.0,5.4
Italy,2010.0,9.6
Italy,2015.0,12.7
