Country,Year,Unemployment rate - Male
Afghanistan,2010.0,7.6
Afghanistan,2015.0,8.3
Albania,2010.0,12.8
Albania,2015.0,17.2
Angola,2015.0,10.0
Argentina,2010.0,6.7
Argentina,2015.0,6.7
Armenia,2010.0,11.0
Armenia,2015.0,13.5
Australia,2010.0,5.1
Australia,2015.0,6.0
Austria,2010.0,5.0
Austria,2015.0,6.1
Azerbaijan,2010.0,4.4
Azerbaijan,2015.0,4.1
Bahamas,2015.0,11.1
Bahrain,2015.0,0.5
Bangladesh,2015.0,3.1
Barbados,2010.0,10.9
Barbados,2015.0,10.6
Belarus,2010.0,7.8
Belarus,2015.0,7.4
Belgium,2010.0,8.1
Belgium,2015.0,9.1
Belize,2010.0,5.8
Belize,2015.0,5.5
Bhutan,2010.0,2.8
Bhutan,2015.0,1.9
Bolivia (Plurin. State of),2010.0,2.2
Bolivia (Plurin. State of),2015.0,2.6
Brazil,2010.0,5.9
Brazil,2015.0,7.2
Bulgaria,2010.0,10.9
Bulgaria,2015.0,9.8
Burundi,2010.0,2.1
Burundi,2015.0,1.9
Cabo Verde,2010.0,10.3
Cabo Verde,2015.0,11.4
Cambodia,2010.0,0.8
Cameroon,2010.0,3.4
Cameroon,2015.0,3.1
Canada,2010.0,8.8
Canada,2015.0,7.5
Chile,2010.0,7.4
Chile,2015.0,6.0
China,2010.0,5.0
China,2015.0,5.1
Colombia,2010.0,8.7
Colombia,2015.0,6.4
Costa Rica,2010.0,6.0
Costa Rica,2015.0,7.1
Croatia,2010.0,11.0
Croatia,2015.0,15.6
Cuba,2010.0,2.4
Cyprus,2010.0,6.1
Cyprus,2015.0,15.0
Czechia,2010.0,6.4
Czechia,2015.0,4.2
Denmark,2010.0,8.6
Denmark,2015.0,6.1
Dominican Republic,2015.0,5.5
Ecuador,2010.0,3.5
Ecuador,2015.0,3.0
El Salvador,2010.0,5.4
El Salvador,2015.0,4.4
Estonia,2010.0,19.3
Estonia,2015.0,6.5
Eswatini,2010.0,24.1
Eswatini,2015.0,21.6
Finland,2010.0,9.1
Finland,2015.0,9.9
France,2010.0,8.7
France,2015.0,10.8
Georgia,2010.0,22.5
Germany,2010.0,7.4
Germany,2015.0,5.0
Ghana,2015.0,7.0
Greece,2010.0,10.1
Greece,2015.0,21.7
Guatemala,2010.0,3.3
Guatemala,2015.0,2.0
Guyana,2010.0,10.4
Honduras,2015.0,4.5
Hungary,2010.0,11.6
Hungary,2015.0,6.6
Iceland,2010.0,8.3
Iceland,2015.0,3.9
India,2010.0,8.3
India,2015.0,7.9
Indonesia,2010.0,5.1
Indonesia,2015.0,4.6
Ireland,2010.0,17.1
Ireland,2015.0,10.7
Israel,2010.0,8.9
Israel,2015.0,5.1
Italy,2010.0,7.5
Italy,2015.0,11.3
Jamaica,2010.0,6.0
Jamaica,2015.0,6.7
Japan,2015.0,3.6
Kazakhstan,2010.0,4.9
Kazakhstan,2015.0,4.4
Kenya,2015.0,2.6
Kyrgyzstan,2010.0,2.7
Kyrgyzstan,2015.0,3.2
Latvia,2010.0,22.7
Latvia,2015.0,11.1
Lebanon,2010.0,5.5
Lithuania,2010.0,21.2
Lithuania,2015.0,10.1
Luxembourg,2010.0,3.8
Luxembourg,2015.0,6.1
Madagascar,2015.0,1.8
Malawi,2010.0,4.1
Malaysia,2010.0,3.3
Malaysia,2015.0,2.9
Maldives,2010.0,10.1
Maldives,2015.0,6.7
Malta,2010.0,6.7
Malta,2015.0,5.4
Mauritius,2010.0,4.5
Mauritius,2015.0,5.3
Mexico,2010.0,5.4
Mexico,2015.0,4.2
Mongolia,2010.0,7.1
Mongolia,2015.0,5.4
Morocco,2015.0,9.1
Mozambique,2010.0,3.4
Namibia,2010.0,20.4
Nepal,2010.0,9.8
Nepal,2015.0,9.7
Netherlands (Kingdom of the),2010.0,4.5
Netherlands (Kingdom of the),2015.0,6.5
New Zealand,2010.0,6.2
New Zealand,2015.0,5.0
Nicaragua,2010.0,7.3
Nicaragua,2015.0,4.2
Norway,2010.0,4.0
Norway,2015.0,4.6
Oman,2015.0,2.0
Pakistan,2010.0,0.7
Pakistan,2015.0,2.8
Panama,2015.0,3.7
Paraguay,2010.0,3.6
Paraguay,2015.0,4.3
Peru,2010.0,3.1
Peru,2015.0,3.2
Philippines,2015.0,3.0
Poland,2010.0,9.3
Poland,2015.0,7.3
Portugal,2010.0,9.8
Portugal,2015.0,12.2
Qatar,2010.0,0.1
Qatar,2015.0,0.1
Republic of Korea,2010.0,3.7
Republic of Korea,2015.0,3.6
Republic of Moldova,2010.0,9.1
Republic of Moldova,2015.0,5.9
Romania,2010.0,7.6
Romania,2015.0,7.5
Russian Federation,2015.0,5.8
Rwanda,2010.0,11.2
Rwanda,2015.0,11.1
Saint Lucia,2010.0,16.0
Saint Lucia,2015.0,18.9
Saint Vincent & Grenadines,2010.0,20.0
San Marino,2010.0,2.1
Sao Tome and Principe,2010.0,10.5
Saudi Arabia,2015.0,2.5
Senegal,2010.0,8.1
Senegal,2015.0,6.4
Serbia,2010.0,18.4
Serbia,2015.0,16.8
Sierra Leone,2015.0,5.3
Singapore,2010.0,3.9
Singapore,2015.0,3.7
Slovakia,2010.0,14.2
Slovakia,2015.0,10.3
Slovenia,2010.0,7.4
Slovenia,2015.0,8.0
South Africa,2010.0,21.7
South Africa,2015.0,21.2
Spain,2010.0,19.6
Spain,2015.0,20.8
Sri Lanka,2010.0,3.5
Sri Lanka,2015.0,3.0
Suriname,2015.0,4.4
Sweden,2010.0,8.7
Sweden,2015.0,7.6
Switzerland,2010.0,4.5
Switzerland,2015.0,4.7
Tajikistan,2010.0,11.5
Thailand,2010.0,0.6
Thailand,2015.0,0.6
Timor-Leste,2010.0,2.7
Timor-Leste,2015.0,3.2
Tunisia,2010.0,10.9
Türkiye,2010.0,10.4
Türkiye,2015.0,9.2
Uganda,2010.0,3.0
Uganda,2015.0,2.2
Ukraine,2010.0,9.4
United Arab Emirates,2015.0,1.3
United Kingdom,2010.0,8.6
United Kingdom,2015.0,5.5
United Rep. of Tanzania,2010.0,2.4
United Rep. of Tanzania,2015.0,1.6
United States of America,2015.0,5.4
Uruguay,2015.0,6.4
Uzbekistan,2015.0,5.3
Venezuela (Boliv. Rep. of),2010.0,7.2
Viet Nam,2010.0,1.1
Yemen,2010.0,11.8
Zambia,2010.0,13.3
Zambia,2015.0,8.1
