Country,Year,Unemployment rate - Total
Afghanistan,2010.0,8.1
Afghanistan,2015.0,9.0
Albania,2010.0,14.1
Albania,2015.0,17.2
Angola,2015.0,9.6
Argentina,2010.0,7.7
Argentina,2015.0,7.5
Armenia,2010.0,10.5
Armenia,2015.0,12.2
Australia,2010.0,5.2
Australia,2015.0,6.1
Austria,2010.0,4.8
Austria,2015.0,5.7
Azerbaijan,2010.0,5.6
Azerbaijan,2015.0,5.0
Bahamas,2015.0,12.0
Bahrain,2015.0,1.2
Bangladesh,2015.0,4.4
Barbados,2010.0,10.7
Barbados,2015.0,9.8
Belarus,2010.0,6.3
Belarus,2015.0,5.8
Belgium,2010.0,8.3
Belgium,2015.0,8.5
Belize,2010.0,8.2
Belize,2015.0,7.6
Bhutan,2010.0,3.3
Bhutan,2015.0,2.5
Bolivia (Plurin. State of),2010.0,2.6
Bolivia (Plurin. State of),2015.0,3.1
Brazil,2010.0,8.0
Brazil,2015.0,8.6
Bulgaria,2010.0,10.3
Bulgaria,2015.0,9.1
Burundi,2010.0,1.6
Burundi,2015.0,1.5
Cabo Verde,2010.0,10.7
Cabo Verde,2015.0,11.8
Cambodia,2010.0,0.8
Cameroon,2010.0,4.1
Cameroon,2015.0,3.5
Canada,2010.0,8.1
Canada,2015.0,6.9
Chile,2010.0,8.4
Chile,2015.0,6.5
China,2010.0,4.5
China,2015.0,4.7
Colombia,2010.0,11.0
Colombia,2015.0,8.3
Costa Rica,2010.0,7.2
Costa Rica,2015.0,8.4
Croatia,2010.0,11.6
Croatia,2015.0,16.2
Cuba,2010.0,2.5
Cyprus,2010.0,6.3
Cyprus,2015.0,14.9
Czechia,2010.0,7.3
Czechia,2015.0,5.1
Denmark,2010.0,7.8
Denmark,2015.0,6.3
Dominican Republic,2015.0,7.6
Ecuador,2010.0,4.1
Ecuador,2015.0,3.6
El Salvador,2010.0,4.9
El Salvador,2015.0,4.0
Estonia,2010.0,16.7
Estonia,2015.0,6.4
Eswatini,2010.0,26.4
Eswatini,2015.0,23.3
Finland,2010.0,8.4
Finland,2015.0,9.4
France,2010.0,8.9
France,2015.0,10.4
Georgia,2010.0,20.2
Germany,2010.0,7.0
Germany,2015.0,4.6
Ghana,2015.0,6.8
Greece,2010.0,12.7
Greece,2015.0,24.9
Guatemala,2010.0,3.5
Guatemala,2015.0,2.5
Guyana,2010.0,11.8
Honduras,2015.0,6.2
Hungary,2010.0,11.2
Hungary,2015.0,6.8
Iceland,2010.0,7.6
Iceland,2015.0,4.0
India,2010.0,8.3
India,2015.0,7.9
Indonesia,2010.0,5.6
Indonesia,2015.0,4.5
Ireland,2010.0,14.5
Ireland,2015.0,9.9
Israel,2010.0,8.5
Israel,2015.0,5.3
Italy,2010.0,8.4
Italy,2015.0,11.9
Jamaica,2010.0,7.6
Jamaica,2015.0,8.8
Japan,2015.0,3.4
Kazakhstan,2010.0,5.8
Kazakhstan,2015.0,4.9
Kenya,2015.0,2.8
Kyrgyzstan,2010.0,2.8
Kyrgyzstan,2015.0,3.4
Latvia,2010.0,19.5
Latvia,2015.0,9.9
Lebanon,2010.0,6.8
Lithuania,2010.0,17.8
Lithuania,2015.0,9.1
Luxembourg,2010.0,4.4
Luxembourg,2015.0,6.7
Madagascar,2015.0,1.8
Malawi,2010.0,4.9
Malaysia,2010.0,3.4
Malaysia,2015.0,3.1
Maldives,2010.0,11.0
Maldives,2015.0,6.6
Malta,2010.0,6.9
Malta,2015.0,5.4
Mauritius,2010.0,7.7
Mauritius,2015.0,7.4
Mexico,2010.0,5.3
Mexico,2015.0,4.3
Mongolia,2010.0,6.6
Mongolia,2015.0,4.9
Morocco,2015.0,9.5
Mozambique,2010.0,3.2
Namibia,2010.0,22.1
Nepal,2010.0,10.5
Nepal,2015.0,10.5
Netherlands (Kingdom of the),2010.0,5.0
Netherlands (Kingdom of the),2015.0,6.9
New Zealand,2010.0,6.6
New Zealand,2015.0,5.4
Nicaragua,2010.0,7.8
Nicaragua,2015.0,4.7
Norway,2010.0,3.5
Norway,2015.0,4.3
Oman,2015.0,3.4
Pakistan,2010.0,0.7
Pakistan,2015.0,3.6
Panama,2015.0,4.4
Paraguay,2010.0,4.6
Paraguay,2015.0,4.6
Peru,2010.0,3.6
Peru,2015.0,3.3
Philippines,2015.0,3.1
Poland,2010.0,9.6
Poland,2015.0,7.5
Portugal,2010.0,10.8
Portugal,2015.0,12.5
Qatar,2010.0,0.5
Qatar,2015.0,0.2
Republic of Korea,2010.0,3.3
Republic of Korea,2015.0,3.6
Republic of Moldova,2010.0,7.5
Republic of Moldova,2015.0,4.7
Romania,2010.0,7.0
Romania,2015.0,6.8
Russian Federation,2015.0,5.6
Rwanda,2010.0,11.9
Rwanda,2015.0,11.8
Saint Lucia,2010.0,17.1
Saint Lucia,2015.0,20.6
Saint Vincent & Grenadines,2010.0,19.0
San Marino,2010.0,4.4
Sao Tome and Principe,2010.0,14.6
Saudi Arabia,2015.0,5.6
Senegal,2010.0,10.2
Senegal,2015.0,6.8
Serbia,2010.0,19.2
Serbia,2015.0,17.7
Sierra Leone,2015.0,4.4
Singapore,2010.0,4.1
Singapore,2015.0,3.8
Slovakia,2010.0,14.4
Slovakia,2015.0,11.5
Slovenia,2010.0,7.2
Slovenia,2015.0,9.0
South Africa,2010.0,23.2
South Africa,2015.0,22.9
Spain,2010.0,19.9
Spain,2015.0,22.1
Sri Lanka,2010.0,4.8
Sri Lanka,2015.0,4.5
Suriname,2015.0,7.2
Sweden,2010.0,8.6
Sweden,2015.0,7.4
