,Gold Queries
0,SELECT count(*) FROM singer
1,SELECT count(*) FROM singer
2,"SELECT name ,  country ,  age FROM singer ORDER BY age DESC"
3,"SELECT name ,  country ,  age FROM singer ORDER BY age DESC"
4,"SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'"
5,"SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'"
6,"SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1"
7,"SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1"
8,SELECT DISTINCT country FROM singer WHERE age  >  20
9,SELECT DISTINCT country FROM singer WHERE age  >  20
10,"SELECT country ,  count(*) FROM singer GROUP BY country"
11,"SELECT country ,  count(*) FROM singer GROUP BY country"
12,SELECT song_name FROM singer WHERE age  >  (SELECT avg(age) FROM singer)
13,SELECT song_name FROM singer WHERE age  >  (SELECT avg(age) FROM singer)
14,"SELECT LOCATION ,  name FROM stadium WHERE capacity BETWEEN 5000 AND 10000"
15,"SELECT LOCATION ,  name FROM stadium WHERE capacity BETWEEN 5000 AND 10000"
16,"select max(capacity), average from stadium"
17,"select avg(capacity) ,  max(capacity) from stadium"
18,"SELECT name ,  capacity FROM stadium ORDER BY average DESC LIMIT 1"
19,"SELECT name ,  capacity FROM stadium ORDER BY average DESC LIMIT 1"
20,SELECT count(*) FROM concert WHERE YEAR  =  2014 OR YEAR  =  2015
21,SELECT count(*) FROM concert WHERE YEAR  =  2014 OR YEAR  =  2015
22,"SELECT T2.name ,  count(*) FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id GROUP BY T1.stadium_id"
23,"SELECT T2.name ,  count(*) FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id GROUP BY T1.stadium_id"
24,"SELECT T2.name ,  T2.capacity FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.year  >=  2014 GROUP BY T2.stadium_id ORDER BY count(*) DESC LIMIT 1"
25,"select t2.name ,  t2.capacity from concert as t1 join stadium as t2 on t1.stadium_id  =  t2.stadium_id where t1.year  >  2013 group by t2.stadium_id order by count(*) desc limit 1"
26,SELECT YEAR FROM concert GROUP BY YEAR ORDER BY count(*) DESC LIMIT 1
27,SELECT YEAR FROM concert GROUP BY YEAR ORDER BY count(*) DESC LIMIT 1
28,SELECT name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert)
29,SELECT name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert)
30,SELECT country FROM singer WHERE age  >  40 INTERSECT SELECT country FROM singer WHERE age  <  30
31,SELECT name FROM stadium EXCEPT SELECT T2.name FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.year  =  2014
32,SELECT name FROM stadium EXCEPT SELECT T2.name FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.year  =  2014
33,"SELECT T2.concert_name ,  T2.theme ,  count(*) FROM singer_in_concert AS T1 JOIN concert AS T2 ON T1.concert_id  =  T2.concert_id GROUP BY T2.concert_id"
34,"select t2.concert_name ,  t2.theme ,  count(*) from singer_in_concert as t1 join concert as t2 on t1.concert_id  =  t2.concert_id group by t2.concert_id"
35,"SELECT T2.name ,  count(*) FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id GROUP BY T2.singer_id"
36,"SELECT T2.name ,  count(*) FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id GROUP BY T2.singer_id"
37,SELECT T2.name FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id JOIN concert AS T3 ON T1.concert_id  =  T3.concert_id WHERE T3.year  =  2014
38,SELECT T2.name FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id JOIN concert AS T3 ON T1.concert_id  =  T3.concert_id WHERE T3.year  =  2014
39,"SELECT name ,  country FROM singer WHERE song_name LIKE '%Hey%'"
40,"SELECT name ,  country FROM singer WHERE song_name LIKE '%Hey%'"
41,"SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2014 INTERSECT SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2015"
42,"SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2014 INTERSECT SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2015"
43,select count(*) from concert where stadium_id = (select stadium_id from stadium order by capacity desc limit 1)
44,select count(*) from concert where stadium_id = (select stadium_id from stadium order by capacity desc limit 1)
