,Gold Queries
0,"SELECT avg(price_in_euros) ,  min(price_in_euros) FROM catalog_contents"
1,SELECT catalog_entry_name FROM catalog_contents ORDER BY height DESC LIMIT 1
2,SELECT catalog_entry_name FROM catalog_contents ORDER BY height DESC LIMIT 1
3,SELECT catalog_entry_name FROM catalog_contents ORDER BY capacity ASC LIMIT 1
4,SELECT catalog_entry_name FROM catalog_contents ORDER BY capacity ASC LIMIT 1
5,"SELECT catalog_entry_name FROM catalog_contents WHERE product_stock_number LIKE ""2%"""
6,"SELECT catalog_entry_name FROM catalog_contents WHERE product_stock_number LIKE ""2%"""
7,"SELECT t1.catalog_entry_name FROM Catalog_Contents AS t1 JOIN Catalog_Contents_Additional_Attributes AS t2 ON t1.catalog_entry_id  =  t2.catalog_entry_id WHERE t2.catalog_level_number  =  ""8"""
8,"SELECT t1.catalog_entry_name FROM Catalog_Contents AS t1 JOIN Catalog_Contents_Additional_Attributes AS t2 ON t1.catalog_entry_id  =  t2.catalog_entry_id WHERE t2.catalog_level_number  =  ""8"""
9,SELECT catalog_entry_name FROM catalog_contents WHERE LENGTH  <  3 OR width  >  5
10,SELECT catalog_entry_name FROM catalog_contents WHERE LENGTH  <  3 OR width  >  5
11,"SELECT t1.attribute_name ,  t1.attribute_id FROM Attribute_Definitions AS t1 JOIN Catalog_Contents_Additional_Attributes AS t2 ON t1.attribute_id  =  t2.attribute_id WHERE t2.attribute_value  =  0"
