object_id,video_id,video_name,type,category,tracking_id,timestamp
"video0_6000_0","video0","Exploring the Amazon Rainforest","dog","pet","8eb1df83-22ef-4484-869b-fdbab0b3f223",6000
"video0_6000_1","video0","Exploring the Amazon Rainforest","person","","f32e0236-4678-4786-9f55-dc04e56f6f91",6000
"video0_7000_0","video0","Exploring the Amazon Rainforest","monitor","electronics","",7000
"video0_7000_1","video0","Exploring the Amazon Rainforest","monitor","electronics","",7000
"video0_8000_0","video0","Exploring the Amazon Rainforest","person","","",8000
"video0_11000_0","video0","Exploring the Amazon Rainforest","dog","pet","",11000
"video0_11000_1","video0","Exploring the Amazon Rainforest","monitor","electronics","",11000
"video0_11000_2","video0","Exploring the Amazon Rainforest","person","","",11000
"video0_14000_0","video0","Exploring the Amazon Rainforest","monitor","electronics","",14000
"video0_14000_1","video0","Exploring the Amazon Rainforest","cat","pet","",14000
"video0_15000_0","video0","Exploring the Amazon Rainforest","cat","pet","",15000
"video0_15000_1","video0","Exploring the Amazon Rainforest","dog","pet","",15000
"video0_19000_0","video0","Exploring the Amazon Rainforest","dog","pet","",19000
"video0_19000_1","video0","Exploring the Amazon Rainforest","car","vehicle","",19000
"video0_22000_0","video0","Exploring the Amazon Rainforest","dog","pet","",22000
"video0_22000_1","video0","Exploring the Amazon Rainforest","monitor","electronics","",22000
"video0_22000_2","video0","Exploring the Amazon Rainforest","dog","pet","8eb1df83-22ef-4484-869b-fdbab0b3f223",22000
"video0_24000_0","video0","Exploring the Amazon Rainforest","cat","pet","",24000
"video0_26000_0","video0","Exploring the Amazon Rainforest","cat","pet","",26000
"video0_26000_1","video0","Exploring the Amazon Rainforest","person","","",26000
"video0_26000_2","video0","Exploring the Amazon Rainforest","cat","pet","",26000
"video0_27000_0","video0","Exploring the Amazon Rainforest","dog","pet","",27000
"video0_27000_1","video0","Exploring the Amazon Rainforest","person","","",27000
"video0_28000_0","video0","Exploring the Amazon Rainforest","cat","pet","",28000
"video0_28000_1","video0","Exploring the Amazon Rainforest","cat","pet","",28000
"video0_28000_2","video0","Exploring the Amazon Rainforest","car","vehicle","",28000
"video0_30000_0","video0","Exploring the Amazon Rainforest","monitor","electronics","",30000
"video0_30000_1","video0","Exploring the Amazon Rainforest","car","vehicle","",30000
"video0_30000_2","video0","Exploring the Amazon Rainforest","car","vehicle","",30000
"video0_31000_0","video0","Exploring the Amazon Rainforest","person","","",31000
"video0_31000_1","video0","Exploring the Amazon Rainforest","car","vehicle","",31000
"video0_34000_0","video0","Exploring the Amazon Rainforest","car","vehicle","",34000
"video0_34000_1","video0","Exploring the Amazon Rainforest","cat","pet","",34000
"video0_34000_2","video0","Exploring the Amazon Rainforest","dog","pet","",34000
"video0_36000_0","video0","Exploring the Amazon Rainforest","monitor","electronics","",36000
"video0_37000_0","video0","Exploring the Amazon Rainforest","cat","pet","",37000
"video0_40000_0","video0","Exploring the Amazon Rainforest","dog","pet","8eb1df83-22ef-4484-869b-fdbab0b3f223",40000
"video0_40000_1","video0","Exploring the Amazon Rainforest","person","","",40000
"video0_40000_2","video0","Exploring the Amazon Rainforest","monitor","electronics","",40000
"video0_41000_0","video0","Exploring the Amazon Rainforest","cat","pet","",41000
"video0_41000_1","video0","Exploring the Amazon Rainforest","person","","",41000
"video0_42000_0","video0","Exploring the Amazon Rainforest","person","","",42000
"video0_42000_1","video0","Exploring the Amazon Rainforest","dog","pet","",42000
"video0_43000_0","video0","Exploring the Amazon Rainforest","dog","pet","",43000
"video0_43000_1","video0","Exploring the Amazon Rainforest","monitor","electronics","",43000
"video0_43000_2","video0","Exploring the Amazon Rainforest","cat","pet","",43000
"video0_44000_0","video0","Exploring the Amazon Rainforest","dog","pet","",44000
"video0_44000_1","video0","Exploring the Amazon Rainforest","dog","pet","",44000
"video0_44000_2","video0","Exploring the Amazon Rainforest","person","","",44000
"video0_45000_0","video0","Exploring the Amazon Rainforest","car","vehicle","",45000
"video0_46000_0","video0","Exploring the Amazon Rainforest","cat","pet","",46000
"video0_46000_1","video0","Exploring the Amazon Rainforest","dog","pet","8eb1df83-22ef-4484-869b-fdbab0b3f223",46000
"video0_46000_2","video0","Exploring the Amazon Rainforest","dog","pet","",46000
"video0_48000_0","video0","Exploring the Amazon Rainforest","dog","pet","8eb1df83-22ef-4484-869b-fdbab0b3f223",48000
"video0_48000_1","video0","Exploring the Amazon Rainforest","person","","",48000
"video0_49000_0","video0","Exploring the Amazon Rainforest","person","","",49000
"video0_50000_0","video0","Exploring the Amazon Rainforest","cat","pet","",50000
"video0_50000_1","video0","Exploring the Amazon Rainforest","car","vehicle","",50000
"video0_50000_2","video0","Exploring the Amazon Rainforest","monitor","electronics","",50000
"video0_51000_0","video0","Exploring the Amazon Rainforest","car","vehicle","",51000
"video0_51000_1","video0","Exploring the Amazon Rainforest","monitor","electronics","",51000
"video0_53000_0","video0","Exploring the Amazon Rainforest","cat","pet","",53000
"video0_53000_1","video0","Exploring the Amazon Rainforest","car","vehicle","",53000
"video0_54000_0","video0","Exploring the Amazon Rainforest","monitor","electronics","",54000
"video0_54000_1","video0","Exploring the Amazon Rainforest","car","vehicle","",54000
"video0_55000_0","video0","Exploring the Amazon Rainforest","cat","pet","",55000
"video0_56000_0","video0","Exploring the Amazon Rainforest","person","","",56000
