shot_id,video_id,video_name,description,start,finish
"shot_video0_4_357","video0","Exploring the Amazon Rainforest","Shot from 4s to 357s of Exploring the Amazon Rainforest",4000,357000
"shot_video0_374_453","video0","Exploring the Amazon Rainforest","Shot from 374s to 453s of Exploring the Amazon Rainforest",374000,453000
"shot_video0_454_484","video0","Exploring the Amazon Rainforest","Shot from 454s to 484s of Exploring the Amazon Rainforest",454000,484000
"shot_video1_12_105","video1","The Quest for Mars","Shot from 12s to 105s of The Quest for Mars",12000,105000
"shot_video1_105_303","video1","The Quest for Mars","Shot from 105s to 303s of The Quest for Mars",105000,303000
"shot_video1_323_325","video1","The Quest for Mars","Shot from 323s to 325s of The Quest for Mars",323000,325000
"shot_video2_2_160","video2","Saving Endangered Species","Shot from 2s to 160s of Saving Endangered Species",2000,160000
"shot_video2_178_189","video2","Saving Endangered Species","Shot from 178s to 189s of Saving Endangered Species",178000,189000
"shot_video3_12_226","video3","The Art of Filmmaking","Shot from 12s to 226s of The Art of Filmmaking",12000,226000
"shot_video3_236_431","video3","The Art of Filmmaking","Shot from 236s to 431s of The Art of Filmmaking",236000,431000
"shot_video3_437_443","video3","The Art of Filmmaking","Shot from 437s to 443s of The Art of Filmmaking",437000,443000
"shot_video3_446_471","video3","The Art of Filmmaking","Shot from 446s to 471s of The Art of Filmmaking",446000,471000
"shot_video4_17_485","video4","Epic World History","Shot from 17s to 485s of Epic World History",17000,485000
"shot_video5_13_208","video5","Culinary Delights of Italy","Shot from 13s to 208s of Culinary Delights of Italy",13000,208000
"shot_video5_226_323","video5","Culinary Delights of Italy","Shot from 226s to 323s of Culinary Delights of Italy",226000,323000
"shot_video5_337_385","video5","Culinary Delights of Italy","Shot from 337s to 385s of Culinary Delights of Italy",337000,385000
"shot_video6_9_115","video6","Wildlife Under the Sea","Shot from 9s to 115s of Wildlife Under the Sea",9000,115000
"shot_video7_1_94","video7","Inspirational Stories of Resilience","Shot from 1s to 94s of Inspirational Stories of Resilience",1000,94000
"shot_video7_102_244","video7","Inspirational Stories of Resilience","Shot from 102s to 244s of Inspirational Stories of Resilience",102000,244000
"shot_video7_244_286","video7","Inspirational Stories of Resilience","Shot from 244s to 286s of Inspirational Stories of Resilience",244000,286000
"shot_video7_301_303","video7","Inspirational Stories of Resilience","Shot from 301s to 303s of Inspirational Stories of Resilience",301000,303000
"shot_video8_7_59","video8","The Universe Unveiled","Shot from 7s to 59s of The Universe Unveiled",7000,59000
"shot_video8_74_120","video8","The Universe Unveiled","Shot from 74s to 120s of The Universe Unveiled",74000,120000
"shot_video9_10_161","video9","Heartfelt Family Reunions","Shot from 10s to 161s of Heartfelt Family Reunions",10000,161000
"shot_video9_161_182","video9","Heartfelt Family Reunions","Shot from 161s to 182s of Heartfelt Family Reunions",161000,182000
"shot_video9_192_246","video9","Heartfelt Family Reunions","Shot from 192s to 246s of Heartfelt Family Reunions",192000,246000
"shot_video9_259_275","video9","Heartfelt Family Reunions","Shot from 259s to 275s of Heartfelt Family Reunions",259000,275000
"shot_video10_20_62","video10","The Enchanted Forest","Shot from 20s to 62s of The Enchanted Forest",20000,62000
"shot_video10_68_202","video10","The Enchanted Forest","Shot from 68s to 202s of The Enchanted Forest",68000,202000
"shot_video10_209_223","video10","The Enchanted Forest","Shot from 209s to 223s of The Enchanted Forest",209000,223000
"shot_video10_229_282","video10","The Enchanted Forest","Shot from 229s to 282s of The Enchanted Forest",229000,282000
"shot_video11_6_229","video11","Spectacular Sports Moments","Shot from 6s to 229s of Spectacular Sports Moments",6000,229000
"shot_video11_231_307","video11","Spectacular Sports Moments","Shot from 231s to 307s of Spectacular Sports Moments",231000,307000
"shot_video12_3_30","video12","Historical Love Stories","Shot from 3s to 30s of Historical Love Stories",3000,30000
"shot_video12_39_74","video12","Historical Love Stories","Shot from 39s to 74s of Historical Love Stories",39000,74000
