,Gold Queries
0,SELECT Status FROM city GROUP BY Status ORDER BY COUNT(*) DESC LIMIT 1
1,SELECT Official_Name FROM city WHERE City_ID NOT IN (SELECT Host_city_ID FROM farm_competition)
2,SELECT Official_Name FROM city WHERE City_ID NOT IN (SELECT Host_city_ID FROM farm_competition)
3,SELECT Status FROM city WHERE Population  >  1500 INTERSECT SELECT Status FROM city WHERE Population  <  500
4,SELECT Status FROM city WHERE Population  >  1500 INTERSECT SELECT Status FROM city WHERE Population  <  500
5,SELECT Official_Name FROM city WHERE Population  >  1500 OR Population  <  500
6,SELECT Official_Name FROM city WHERE Population  >  1500 OR Population  <  500
7,"SELECT Census_Ranking FROM city WHERE Status !=  ""Village"""
8,"SELECT Census_Ranking FROM city WHERE Status !=  ""Village"""
9,SELECT T1.course_name FROM courses AS T1 JOIN student_course_registrations AS T2 ON T1.course_id = T2.course_Id GROUP BY T1.course_id ORDER BY count(*) DESC LIMIT 1
10,SELECT T1.course_name FROM courses AS T1 JOIN student_course_registrations AS T2 ON T1.course_id = T2.course_Id GROUP BY T1.course_id ORDER BY count(*) DESC LIMIT 1
11,SELECT student_id FROM student_course_registrations GROUP BY student_id ORDER BY count(*) LIMIT 1
12,SELECT student_id FROM student_course_registrations GROUP BY student_id ORDER BY count(*) LIMIT 1
13,"SELECT T2.first_name ,  T2.last_name FROM candidates AS T1 JOIN people AS T2 ON T1.candidate_id = T2.person_id"
14,"SELECT T2.first_name ,  T2.last_name FROM candidates AS T1 JOIN people AS T2 ON T1.candidate_id = T2.person_id"
15,SELECT student_id FROM students WHERE student_id NOT IN (SELECT student_id FROM student_course_attendance)
16,SELECT student_id FROM students WHERE student_id NOT IN (SELECT student_id FROM student_course_attendance)
17,SELECT student_id FROM student_course_attendance
18,SELECT student_id FROM student_course_attendance
19,"SELECT T1.student_id ,  T2.course_name FROM student_course_registrations AS T1 JOIN courses AS T2 ON T1.course_id = T2.course_id"
