Country,Year,All staff compensation as % of total expenditure in public institutions (%)
Afghanistan,2010.0,0.3962654919330685
Afghanistan,2015.0,0.3203322648692452
Albania,2010.0,0.9353914040862131
Albania,2015.0,0.9353914040862131
Angola,2015.0,0.21022908562670017
Argentina,2010.0,1.4213640572946824
Argentina,2015.0,1.1252244717457713
Armenia,2010.0,1.6187904476606225
Armenia,2015.0,1.6187904476606225
Australia,2010.0,-0.15045374292645922
Australia,2015.0,-0.15045374292645922
Austria,2010.0,0.2292123923926571
Austria,2015.0,0.08493926097139246
Azerbaijan,2010.0,-0.18082703375198894
Azerbaijan,2015.0,-1.1527723401689265
Bahamas,2015.0,-0.27574356758176805
Bahrain,2015.0,0.9202047586734483
Bangladesh,2015.0,0.49877534846922944
Barbados,2010.0,1.2315309896351243
Barbados,2015.0,1.2315309896351243
Belarus,2010.0,-0.3478801332923998
Belarus,2015.0,0.13049919720968706
Belgium,2010.0,1.2998708939925645
Belgium,2015.0,1.049291244681948
Belize,2010.0,-2.375297295896481
Belize,2015.0,-0.7844961889093841
Bhutan,2010.0,-2.375297295896481
Bhutan,2015.0,-2.375297295896481
Bolivia (Plurin. State of),2010.0,-0.028960579624342432
Bolivia (Plurin. State of),2015.0,0.14568584262245085
Brazil,2010.0,0.10012590638415732
Brazil,2015.0,0.5709119141798618
Bulgaria,2010.0,-0.044147225037107295
Bulgaria,2015.0,-0.044147225037107295
Burundi,2010.0,0.10012590638415732
Burundi,2015.0,0.10012590638415732
Cabo Verde,2010.0,0.7531516591330369
Cabo Verde,2015.0,1.1252244717457713
Cambodia,2010.0,-0.11248712939454758
Cameroon,2010.0,0.9885446630308896
Cameroon,2015.0,0.9885446630308896
Canada,2010.0,-0.10489380668816568
Canada,2015.0,0.1684658107415987
Chile,2010.0,-1.798204770211424
Chile,2015.0,0.4608087349373178
China,2010.0,0.335518910282009
China,2015.0,0.335518910282009
Colombia,2010.0,0.28995897404371546
Colombia,2015.0,0.13809251991606894
Costa Rica,2010.0,-0.4390000057689879
Costa Rica,2015.0,-0.4997465874200463
Croatia,2010.0,0.25958568321818576
Croatia,2015.0,0.16087248803521573
Cuba,2010.0,-0.6516130415476928
Cyprus,2010.0,0.7835249499585667
Cyprus,2015.0,1.1935643761032126
Czechia,2010.0,-1.1907389537008382
Czechia,2015.0,-2.4056705867220103
Denmark,2010.0,0.5860985595926266
Denmark,2015.0,0.5860985595926266
Dominican Republic,2015.0,0.21022908562670017
Ecuador,2010.0,0.5443352847075229
Ecuador,2015.0,0.17226247209478965
El Salvador,2010.0,-0.006180611505195669
El Salvador,2015.0,-0.006180611505195669
Estonia,2010.0,-0.18082703375198894
Estonia,2015.0,-0.18082703375198894
Eswatini,2010.0,-0.18082703375198786
Eswatini,2015.0,-0.18082703375198786
Finland,2010.0,-0.5225265555391936
Finland,2015.0,-0.8110728183817217
France,2010.0,-0.0631305318030631
France,2015.0,-0.0631305318030631
Georgia,2010.0,-0.08211383856901892
Germany,2010.0,0.44941875087774386
Germany,2015.0,0.44941875087774386
Ghana,2015.0,-0.4390000057689879
Greece,2010.0,0.9126114359670664
Greece,2015.0,0.9126114359670664
Guatemala,2010.0,0.6164718504181552
Guatemala,2015.0,0.6164718504181552
Guyana,2010.0,0.09253258367777543
Honduras,2015.0,-0.006180611505195669
Hungary,2010.0,-0.3554734559987822
Hungary,2015.0,0.016599356613952173
Iceland,2010.0,0.41145213734583225
Iceland,2015.0,-0.18082703375198894
India,2010.0,0.6240651731245382
India,2015.0,0.6240651731245382
Indonesia,2010.0,-0.9629392725093683
Indonesia,2015.0,-0.23398029269666545
Ireland,2010.0,0.335518910282009
Ireland,2015.0,0.8290848861968602
Israel,2010.0,0.4342321054649801
Israel,2015.0,0.6164718504181552
Italy,2010.0,0.5709119141798618
Italy,2015.0,0.6772184320692136
Jamaica,2010.0,0.8898314678479197
Jamaica,2015.0,0.8898314678479197
Japan,2015.0,0.335518910282009
Kazakhstan,2010.0,-0.7123596231987518
Kazakhstan,2015.0,-0.5528998463647228
Kenya,2015.0,-0.47696661930089956
Kyrgyzstan,2010.0,-0.2036070018711357
Kyrgyzstan,2015.0,0.06975261555862759
Latvia,2010.0,-0.11248712939454758
Latvia,2015.0,-0.5073399101264288
Lebanon,2010.0,1.5808238341287109
Lithuania,2010.0,0.4342321054649801
Lithuania,2015.0,0.024192679320334066
Luxembourg,2010.0,0.6772184320692136
Luxembourg,2015.0,0.6772184320692136
Madagascar,2015.0,-1.593185057139101
Malawi,2010.0,0.844271531609625
Malaysia,2010.0,-0.11248712939454758
Malaysia,2015.0,-0.11248712939454758
Maldives,2010.0,0.8063049180777134
Maldives,2015.0,-0.9705325952157507
Malta,2010.0,0.3962654919330685
Malta,2015.0,0.4190454600522152
Mauritius,2010.0,-2.0335977741092757
Mauritius,2015.0,0.8898314678479197
Mexico,2010.0,1.4061774118819175
Mexico,2015.0,1.360617475643623
Mongolia,2010.0,-4.957027016066471
Mongolia,2015.0,-4.957027016066471
Morocco,2015.0,-0.484559942007282
Mozambique,2010.0,-0.002383950152003643
Namibia,2010.0,0.745558336426655
Nepal,2010.0,0.15327916532883382
Nepal,2015.0,-0.23398029269666545
Netherlands (Kingdom of the),2010.0,0.1836524561543625
Netherlands (Kingdom of the),2015.0,0.046972647439480826
New Zealand,2010.0,0.6734217707160238
New Zealand,2015.0,0.6734217707160238
Nicaragua,2010.0,-1.593185057139101
Nicaragua,2015.0,-1.593185057139101
Norway,2010.0,0.016599356613952173
Norway,2015.0,0.19124577886074545
Oman,2015.0,0.5253519779415672
Pakistan,2010.0,-1.1565690015221173
Pakistan,2015.0,-0.587069798543443
Panama,2015.0,0.15327916532883382
Paraguay,2010.0,-0.12767377480731246
Paraguay,2015.0,-0.12767377480731246
Peru,2010.0,-0.19601367916475382
Peru,2015.0,-1.3426054078284846
Philippines,2015.0,0.25958568321818576
Poland,2010.0,-0.4390000057689879
Poland,2015.0,0.13809251991606894
Portugal,2010.0,1.2846842485797998
Portugal,2015.0,1.2163443442223594
Qatar,2010.0,0.9126114359670664
Qatar,2015.0,0.5253519779415672
Republic of Korea,2010.0,1.3833974437627707
Republic of Korea,2015.0,1.3833974437627707
Republic of Moldova,2010.0,-0.3478801332923998
Republic of Moldova,2015.0,-1.1375856947561616
Romania,2010.0,-0.378253424117929
Romania,2015.0,-0.3554734559987822
Russian Federation,2015.0,0.2823656513373336
Rwanda,2010.0,-0.6440197188413104
Rwanda,2015.0,-1.4640985711306018
Saint Lucia,2010.0,1.0796645355074779
Saint Lucia,2015.0,1.0796645355074779
Saint Vincent & Grenadines,2010.0,2.06679648733718
San Marino,2010.0,2.173103005226532
Sao Tome and Principe,2010.0,-0.08211383856901892
Saudi Arabia,2015.0,0.22541573103946613
Senegal,2010.0,0.41145213734583225
Senegal,2015.0,-0.4162200376498406
Serbia,2010.0,1.2846842485797998
Serbia,2015.0,0.9202047586734483
Sierra Leone,2015.0,-0.7844961889093841
Singapore,2010.0,0.5253519779415672
Singapore,2015.0,0.25199236051180385
Slovakia,2010.0,-0.7731062048498102
Slovakia,2015.0,-1.0768391131051032
Slovenia,2010.0,0.2140257469798922
