Country,Year,"Assault rate per 100,000 population"
Afghanistan,2010.0,-0.2430194525859447
Afghanistan,2015.0,-0.29521742927220784
Albania,2010.0,-0.557795083857478
Albania,2015.0,-0.5585889694344554
Angola,2015.0,-0.4996429653438845
Argentina,2010.0,1.0819755753893112
Argentina,2015.0,1.0819755753893112
Armenia,2010.0,-0.5609706261653875
Armenia,2015.0,-0.5593828550114328
Australia,2010.0,0.6556590205524554
Australia,2015.0,0.5512630671799292
Austria,2010.0,-0.4109262521166617
Austria,2015.0,-0.4232314785598112
Azerbaijan,2010.0,-0.5744666809740031
Azerbaijan,2015.0,-0.5744666809740031
Bahamas,2015.0,4.029275779917854
Bahrain,2015.0,-0.15985993839756366
Bangladesh,2015.0,-0.4827728968331151
Barbados,2010.0,1.6011767427325212
Barbados,2015.0,1.5221851278232714
Belarus,2010.0,-0.5347724021251338
Belarus,2015.0,-0.547474571356772
Belgium,2010.0,2.2553384581618863
Belgium,2015.0,1.619436111003001
Belize,2010.0,-0.3474154059584709
Belize,2015.0,-0.29521742927220784
Bhutan,2010.0,-0.3474154059584709
Bhutan,2015.0,-0.3474154059584709
Bolivia (Plurin. State of),2010.0,-0.2537369078751394
Bolivia (Plurin. State of),2015.0,-0.272393218934108
Brazil,2010.0,0.8648478700859964
Brazil,2015.0,0.6195372267999842
Bulgaria,2010.0,-0.4232314785598112
Bulgaria,2015.0,-0.4450633319266893
Burundi,2010.0,-0.5689094819351613
Burundi,2015.0,-0.5689094819351613
Cabo Verde,2010.0,2.532801467315483
Cabo Verde,2015.0,2.440710740386106
Cambodia,2010.0,-0.3972317259138018
Cameroon,2010.0,-0.48396372519858116
Cameroon,2015.0,-0.49904755116115146
Canada,2010.0,0.06580203685825807
Canada,2015.0,-0.018746777089833393
Chile,2010.0,-0.06241048382358958
Chile,2015.0,-0.308515012686579
China,2010.0,0.18071697412573465
China,2015.0,0.18071697412573465
Colombia,2010.0,-0.11123444680769881
Colombia,2015.0,0.8930308080686936
Costa Rica,2010.0,0.10112994503375174
Costa Rica,2015.0,0.10867185801503691
Croatia,2010.0,-0.4922995237568437
Croatia,2015.0,-0.5069864069309253
