Country,Year,"Asylum seekers, including pending cases (number)"
Afghanistan,2010.0,-0.22049252466996408
Afghanistan,2015.0,-0.21935721657568896
Albania,2010.0,-0.2206044564539067
Albania,2015.0,-0.2129611146361108
Angola,2015.0,0.261022019596328
Argentina,2010.0,-0.20582946097348118
Argentina,2015.0,-0.20662897371592845
Armenia,2010.0,-0.2206044564539067
Armenia,2015.0,-0.21914934326265267
Australia,2010.0,-0.16084887408339785
Australia,2015.0,0.1441972176699331
Austria,2010.0,0.1887780481887928
Austria,2015.0,0.2731266425169796
Azerbaijan,2010.0,-0.22070039798300037
Azerbaijan,2015.0,-0.21678278554500877
Bahamas,2015.0,-0.2206684174733025
Bahrain,2015.0,-0.21972499243721472
Bangladesh,2015.0,-0.22079633951209404
Barbados,2010.0,-0.2080521063974846
Barbados,2015.0,-0.2080521063974846
Belarus,2010.0,-0.21991687549540206
Belarus,2015.0,-0.21686273681925347
Belgium,2010.0,0.07145754836208057
Belgium,2015.0,-0.0707277977547417
Belize,2010.0,-0.22049252466996408
Belize,2015.0,-0.21863765510748642
Bhutan,2010.0,-0.21956508988872525
Bhutan,2015.0,-0.21956508988872525
Bolivia (Plurin. State of),2010.0,-0.22031663186662567
Bolivia (Plurin. State of),2015.0,-0.2208443102766409
Brazil,2010.0,-0.20702873008715209
Brazil,2015.0,0.06528530999038766
Bulgaria,2010.0,-0.19839399246872158
Bulgaria,2015.0,-0.0956086342997007
Burundi,2010.0,-0.02809777832745333
Burundi,2015.0,-0.17727086581326473
Cabo Verde,2010.0,-0.22090827129603666
Cabo Verde,2015.0,-0.22090827129603666
Cambodia,2010.0,-0.22015672931813624
Cameroon,2010.0,-0.1828674550103956
Cameroon,2015.0,-0.09568858557394543
Canada,2010.0,0.5949305213520053
Canada,2015.0,0.09804934217587674
Chile,2010.0,-0.21659090248682142
Chile,2015.0,-0.20947523907904073
China,2010.0,-0.21902142122386112
China,2015.0,-0.21195372858062725
Colombia,2010.0,-0.21830185975565858
Colombia,2015.0,-0.2200767780438915
Costa Rica,2010.0,-0.21497588674707793
Costa Rica,2015.0,-0.1918859587452008
Croatia,2010.0,-0.21967702167266787
Croatia,2015.0,-0.21953310937902737
Cuba,2010.0,-0.22079633951209404
Cyprus,2010.0,-0.1346888171505232
Cyprus,2015.0,-0.1835710262237492
Czechia,2010.0,-0.2039426109013056
Czechia,2015.0,-0.2144322180822138
Denmark,2010.0,-0.16719700525842915
Denmark,2015.0,-0.14796072867514787
Dominican Republic,2015.0,-0.20894756066902553
Ecuador,2010.0,0.5767336113339054
Ecuador,2015.0,-0.035757110400098165
El Salvador,2010.0,-0.22068440772815143
El Salvador,2015.0,-0.22068440772815143
Estonia,2010.0,-0.22081232976694298
Estonia,2015.0,-0.21910137249810582
Eswatini,2010.0,-0.21583936050892097
Eswatini,2015.0,-0.21583936050892097
Finland,2010.0,-0.187440667897194
Finland,2015.0,-0.17904578410149768
France,2010.0,0.5557703872269381
France,2015.0,0.6397352154387502
Georgia,2010.0,-0.22026866110207885
