Country,Year,Capital expenditure as % of total expenditure in public institutions (%)
Afghanistan,2010.0,2.0668478305127307
Afghanistan,2015.0,2.355199616790213
Albania,2010.0,-0.19560464643366965
Albania,2015.0,-0.19560464643366965
Angola,2015.0,-0.7944891256253636
Argentina,2010.0,-1.0606600052661166
Argentina,2015.0,0.40327983275802465
Armenia,2010.0,-0.12906192652348128
Armenia,2015.0,0.2036516730274595
Australia,2010.0,-0.28432827298058716
Australia,2015.0,-0.28432827298058716
Austria,2010.0,-0.9053936588090107
Austria,2015.0,-0.7723082189886342
Azerbaijan,2010.0,-1.4377354180905166
Azerbaijan,2015.0,-1.5042781380007049
Bahamas,2015.0,-0.38414235284586956
Bahrain,2015.0,0.03729487325198931
Bangladesh,2015.0,0.2036516730274599
Barbados,2010.0,-0.6170418725315283
Barbados,2015.0,-0.6170418725315283
Belarus,2010.0,0.425460739394754
Belarus,2015.0,-0.9275745654457401
Belgium,2010.0,-1.1493836318130344
Belgium,2015.0,-0.8832127521722813
Belize,2010.0,1.1130688451333657
Belize,2015.0,-0.29541872629895183
Bhutan,2010.0,1.1130688451333657
Bhutan,2015.0,1.1130688451333657
Bolivia (Plurin. State of),2010.0,0.22583257966418924
Bolivia (Plurin. State of),2015.0,0.9799834053129892
Brazil,2010.0,-0.39523280616423423
Brazil,2015.0,-1.1272027251763048
Bulgaria,2010.0,-0.861031845535552
Bulgaria,2015.0,-0.861031845535552
Burundi,2010.0,-0.23996645970712832
Burundi,2015.0,-0.23996645970712832
Cabo Verde,2010.0,-0.3730518995275049
Cabo Verde,2015.0,-1.193745445086493
Cambodia,2010.0,-1.803720377596552
Cameroon,2010.0,0.9799834053129892
Cameroon,2015.0,0.9799834053129892
Canada,2010.0,0.15928985975400084
Canada,2015.0,-0.2621473663438578
Chile,2010.0,0.004023513296895117
Chile,2015.0,-0.23996645970712852
China,2010.0,-0.7612177656702696
China,2015.0,-0.7612177656702696
Colombia,2010.0,2.954084095981907
Colombia,2015.0,3.5973303884470593
