Country,Year,Current expenditure other than staff compensation as % of total expenditure in public institutions (%)
Afghanistan,2010.0,-1.0656398305892778
Afghanistan,2015.0,-1.0886088924192194
Albania,2010.0,-0.8206365044032353
Albania,2015.0,-0.8206365044032353
Angola,2015.0,0.10961049970939486
Argentina,2010.0,-1.019701706929395
Argentina,2015.0,-1.2264232633988683
Armenia,2010.0,-0.8895436898930599
Armenia,2015.0,-0.8895436898930599
Australia,2010.0,0.2971911713205839
Australia,2015.0,0.2971911713205839
Austria,2010.0,0.12875138456767943
Austria,2015.0,0.22828398583075926
Azerbaijan,2010.0,0.7182906382028446
Azerbaijan,2015.0,1.7365857126635837
Bahamas,2015.0,0.4541464271585172
Bahrain,2015.0,-0.8933718668647167
Bangladesh,2015.0,-0.5258668775856528
Barbados,2010.0,-0.9814199372128257
Barbados,2015.0,-0.9814199372128257
Belarus,2010.0,0.25125304766070083
Belarus,2015.0,0.24359669371738688
Belgium,2010.0,-0.8665746280631184
Belgium,2015.0,-0.7134475491968417
Belize,2010.0,2.058152578282765
Belize,2015.0,0.9403249025589455
Bhutan,2010.0,2.058152578282765
Bhutan,2015.0,2.058152578282765
Bolivia (Plurin. State of),2010.0,-0.009062986411969287
Bolivia (Plurin. State of),2015.0,-0.43781880723754385
Brazil,2010.0,0.08281326090779662
Brazil,2015.0,-0.14687735739161828
Bulgaria,2010.0,0.3967237725836635
Bulgaria,2015.0,0.3967237725836635
Burundi,2010.0,0.036875137247913525
Burundi,2015.0,0.036875137247913525
Cabo Verde,2010.0,-0.5832895321605067
Cabo Verde,2015.0,-0.6828221334235863
Cambodia,2010.0,0.7757132927776983
Cameroon,2010.0,-1.2800177410020652
Cameroon,2015.0,-1.2800177410020652
Canada,2010.0,0.09812596879442421
Canada,2015.0,-0.03203204824191083
Chile,2010.0,1.859087375756605
Chile,2015.0,-0.3344580290028071
China,2010.0,-0.03203204824191083
China,2015.0,-0.03203204824191083
Colombia,2010.0,-1.2570486791721236
Colombia,2015.0,-1.333612218605262
Costa Rica,2010.0,0.13640773851099336
