Country,Year,Current health expenditure (% of GDP)
Afghanistan,2010.0,0.6661991409757343
Afghanistan,2015.0,1.246715820156157
Albania,2010.0,-0.26262754571294183
Albania,2015.0,-0.26262754571294183
Angola,2015.0,-1.6558675757459562
Argentina,2010.0,0.9758080365386267
Argentina,2015.0,1.2854169321015183
Armenia,2010.0,0.8984058126479032
Armenia,2015.0,1.246715820156157
Australia,2010.0,0.5887969170850116
Australia,2015.0,1.2854169321015183
Austria,2010.0,1.2854169321015183
Austria,2015.0,1.3628191559922418
Azerbaijan,2010.0,-1.694568687691318
Azerbaijan,2015.0,-1.0753508965655338
Bahamas,2015.0,-0.6883397771119186
Bahrain,2015.0,-0.72704088905728
Bangladesh,2015.0,-1.6171664638005947
Barbados,2010.0,-0.030420874040772882
Barbados,2015.0,-0.030420874040772882
Belarus,2010.0,-0.4561331054397494
Belarus,2015.0,-0.3013286576583035
Belgium,2010.0,1.2854169321015183
Belgium,2015.0,1.517623603773688
Belize,2010.0,-0.49483421738511113
Belize,2015.0,-0.3787308815490263
Bhutan,2010.0,-1.2688564562923412
Bhutan,2015.0,-1.1914542324016182
Bolivia (Plurin. State of),2010.0,-0.649638665166557
Bolivia (Plurin. State of),2015.0,-0.10782309793149598
Brazil,2010.0,0.395291357358204
Brazil,2015.0,0.7823024768118191
Bulgaria,2010.0,0.0856824617953116
Bulgaria,2015.0,0.2017857976313964
Burundi,2010.0,1.7111291635004955
Burundi,2015.0,-0.22392643376758045
Cabo Verde,2010.0,-0.9205464487840876
Cabo Verde,2015.0,-0.8044431129480032
Cambodia,2010.0,0.008280237904588839
Cameroon,2010.0,-1.2688564562923412
Cameroon,2015.0,-1.2688564562923412
Canada,2010.0,1.478922491828326
Canada,2015.0,1.478922491828326
Chile,2010.0,-0.030420874040772882
Chile,2015.0,0.5500958051396502
China,2010.0,-1.036649784620172
China,2015.0,-0.7657420010026414
Colombia,2010.0,0.0856824617953116
Colombia,2015.0,0.24048690957675778
Costa Rica,2010.0,0.43399246930356533
Costa Rica,2015.0,0.27918802152211913
Croatia,2010.0,0.43399246930356533
Croatia,2015.0,-0.06912198598613425
Cuba,2010.0,1.478922491828326
Cyprus,2010.0,-0.14652420987685735
Cyprus,2015.0,-0.030420874040772882
Czechia,2010.0,0.008280237904588839
Czechia,2015.0,0.12438357374067331
Denmark,2010.0,1.4402213798829646
Denmark,2015.0,1.3241180440468805
Dominican Republic,2015.0,-0.8431442248933645
Ecuador,2010.0,-0.3013286576583035
Ecuador,2015.0,0.24048690957675778
El Salvador,2010.0,0.7823024768118191
El Salvador,2015.0,0.7436013648664578
Estonia,2010.0,-0.22392643376758045
Estonia,2015.0,-0.10782309793149598
Eswatini,2010.0,0.6661991409757343
Eswatini,2015.0,0.0856824617953116
Finland,2010.0,0.8597047007025419
Finland,2015.0,1.0532102604293494
France,2010.0,1.6724280515551335
France,2015.0,1.749830275445857
Georgia,2010.0,0.8597047007025419
Germany,2010.0,1.6337269396097722
Germany,2015.0,1.6724280515551335
Ghana,2015.0,-0.9205464487840876
Greece,2010.0,1.0532102604293494
Greece,2015.0,0.5113946931942881
Guatemala,2010.0,-0.3013286576583035
Guatemala,2015.0,-0.34002976960366493
Guyana,2010.0,-1.036649784620172
Honduras,2015.0,0.24048690957675778
Hungary,2010.0,0.2017857976313964
Hungary,2015.0,0.008280237904588839
Iceland,2010.0,0.5887969170850116
Iceland,2015.0,0.47269358124892674
India,2010.0,-1.3849597921284258
India,2015.0,-1.2688564562923412
Indonesia,2010.0,-1.5784653518552334
Indonesia,2015.0,-1.5397642399098719
Ireland,2010.0,1.401520267937603
Ireland,2015.0,0.16308468568603468
Israel,2010.0,0.04698134984995021
Israel,2015.0,0.0856824617953116
Italy,2010.0,0.7823024768118191
Italy,2015.0,0.7823024768118191
Jamaica,2010.0,-0.6109375532211956
Jamaica,2015.0,-0.49483421738511113
Japan,2015.0,1.478922491828326
Kazakhstan,2010.0,-1.6171664638005947
Kazakhstan,2015.0,-1.5010631279645104
Kenya,2015.0,-0.8044431129480032
Kyrgyzstan,2010.0,0.04698134984995021
Kyrgyzstan,2015.0,0.0856824617953116
Latvia,2010.0,-0.3013286576583035
Latvia,2015.0,-0.4561331054397494
Lebanon,2010.0,0.2017857976313964
Lithuania,2010.0,-0.030420874040772882
Lithuania,2015.0,-0.14652420987685735
Luxembourg,2010.0,-0.06912198598613425
Luxembourg,2015.0,-0.6883397771119186
Madagascar,2015.0,-0.72704088905728
Malawi,2010.0,-0.6883397771119186
Malaysia,2010.0,-1.4236609040737873
Malaysia,2015.0,-1.1914542324016182
Maldives,2010.0,0.6274980290303729
Maldives,2015.0,0.7049002529210957
Malta,2010.0,0.43399246930356533
Malta,2015.0,0.7823024768118191
Mauritius,2010.0,-0.8818453368387262
Mauritius,2015.0,-0.4561331054397494
Mexico,2010.0,-0.4561331054397494
Mexico,2015.0,-0.4561331054397494
Mongolia,2010.0,-1.2301553443469797
Mongolia,2015.0,-1.036649784620172
Morocco,2015.0,-0.49483421738511113
Mozambique,2010.0,-0.5722364412758338
Namibia,2010.0,1.0919113723747107
Nepal,2010.0,-0.9592475607294491
Nepal,2015.0,-0.5335353293304725
Netherlands (Kingdom of the),2010.0,1.2854169321015183
Netherlands (Kingdom of the),2015.0,1.3241180440468805
New Zealand,2010.0,1.0532102604293494
New Zealand,2015.0,0.9371069245932653
Nicaragua,2010.0,0.3178891334674809
Nicaragua,2015.0,0.43399246930356533
Norway,2010.0,0.7823024768118191
Norway,2015.0,1.246715820156157
Oman,2015.0,-0.8431442248933645
Pakistan,2010.0,-1.7332697996366797
Pakistan,2015.0,-1.694568687691318
Panama,2015.0,0.12438357374067331
Paraguay,2010.0,-0.5335353293304725
Paraguay,2015.0,-0.06912198598613425
Peru,2010.0,-0.8431442248933645
Peru,2015.0,-0.72704088905728
Philippines,2015.0,-1.1527531204562567
Poland,2010.0,-0.18522532182221874
Poland,2015.0,-0.18522532182221874
Portugal,2010.0,1.2080147082107957
Portugal,2015.0,0.9371069245932653
Qatar,2010.0,-1.926775359363487
Qatar,2015.0,-1.2301553443469797
Republic of Korea,2010.0,-0.3787308815490263
Republic of Korea,2015.0,-0.06912198598613425
Republic of Moldova,2010.0,1.246715820156157
Republic of Moldova,2015.0,0.6661991409757343
Romania,2010.0,-0.41743199349438803
Romania,2015.0,-0.7657420010026414
Russian Federation,2015.0,-0.6109375532211956
Rwanda,2010.0,0.47269358124892674
Rwanda,2015.0,-0.06912198598613425
Saint Lucia,2010.0,-0.72704088905728
Saint Lucia,2015.0,-0.8818453368387262
Saint Vincent & Grenadines,2010.0,-0.9979486726748107
San Marino,2010.0,-0.22392643376758045
Sao Tome and Principe,2010.0,-0.030420874040772882
Saudi Arabia,2015.0,-0.34002976960366493
Senegal,2010.0,-1.1140520085108951
Senegal,2015.0,-0.9592475607294491
Serbia,2010.0,1.014509148483988
Serbia,2015.0,0.7436013648664578
Sierra Leone,2015.0,5.232930350528392
Singapore,2010.0,-1.4236609040737873
Singapore,2015.0,-1.036649784620172
Slovakia,2010.0,0.3178891334674809
Slovakia,2015.0,-0.030420874040772882
Slovenia,2010.0,0.6661991409757343
Slovenia,2015.0,0.6274980290303729
South Africa,2010.0,0.35659024541284223
South Africa,2015.0,0.47269358124892674
Spain,2010.0,0.8597047007025419
Spain,2015.0,0.8597047007025419
Sri Lanka,2010.0,-1.1527531204562567
Sri Lanka,2015.0,-1.1527531204562567
Suriname,2015.0,-0.41743199349438803
Sweden,2010.0,0.5500958051396502
Sweden,2015.0,1.517623603773688
Switzerland,2010.0,1.1693135962654342
Switzerland,2015.0,1.5950258276644107
Tajikistan,2010.0,-0.4561331054397494
Thailand,2010.0,-1.3462586801830643
Thailand,2015.0,-1.1527531204562567
Timor-Leste,2010.0,-0.14652420987685735
Timor-Leste,2015.0,0.3178891334674809
Tunisia,2010.0,-0.49483421738511113
Türkiye,2010.0,-0.72704088905728
