Country,Year,Domestic general government health expenditure (% of total government expenditure)
Afghanistan,2010.0,-1.8333177919005519
Afghanistan,2015.0,-1.895708441179075
Albania,2010.0,-0.6270985725157641
Albania,2015.0,-0.4607235077730346
Angola,2015.0,-1.354989480765205
Argentina,2010.0,1.1614333734685762
Argentina,2015.0,1.119839607282894
Armenia,2010.0,-0.9806455850940637
Armenia,2015.0,-1.0430362343725874
Australia,2010.0,1.0366520749115296
Australia,2015.0,1.5149803860468758
Austria,2010.0,0.5999175299618648
Austria,2015.0,0.7454957116117528
Azerbaijan,2010.0,-1.646145844064981
Azerbaijan,2015.0,-1.6045520778792988
Bahamas,2015.0,0.5375268806833411
Bahrain,2015.0,-0.4607235077730346
Bangladesh,2015.0,-1.6045520778792988
Barbados,2010.0,-0.08637961210189384
Barbados,2015.0,-0.4191297415873524
Belarus,2010.0,-0.5023172739587172
Belarus,2015.0,-0.48152039086587567
Belgium,2010.0,0.6831050623332295
Belgium,2015.0,0.8910738932616412
Belize,2010.0,0.350354932847771
Belize,2015.0,0.03840168645515346
Bhutan,2010.0,-1.1470206498367932
Bhutan,2015.0,-0.37753597540166983
Bolivia (Plurin. State of),2010.0,-0.2943484430303055
Bolivia (Plurin. State of),2015.0,-0.2943484430303055
Brazil,2010.0,-0.4399266246801935
Brazil,2015.0,-0.23195779375178185
Bulgaria,2010.0,-0.04478584591621128
Bulgaria,2015.0,-0.19036402756609966
Burundi,2010.0,-1.2925988314866812
Burundi,2015.0,-0.1487702613804171
Cabo Verde,2010.0,-0.8142705203513344
Cabo Verde,2015.0,-0.21116091065894074
Cambodia,2010.0,-0.9598487020012226
Cameroon,2010.0,-1.7501302595291868
Cameroon,2015.0,-1.9373022073647572
Canada,2010.0,1.3070115551184642
Canada,2015.0,1.6397616846039231
Chile,2010.0,0.5375268806833411
Chile,2015.0,1.015855191818688
China,2010.0,-0.48152039086587567
China,2015.0,-0.3567390923088288
Colombia,2010.0,1.1822302565614176
Colombia,2015.0,1.2238240227470998
Costa Rica,2010.0,4.280965837394751
Costa Rica,2015.0,3.823434409352245
Croatia,2010.0,0.5583237637761826
Croatia,2015.0,0.07999545264083564
Cuba,2010.0,0.5791206468690236
Cyprus,2010.0,-0.8350674034441757
Cyprus,2015.0,-0.8350674034441757
Czechia,2010.0,0.4127455821262942
Czechia,2015.0,0.6207144130547059
Denmark,2010.0,0.9742614256330059
Denmark,2015.0,1.015855191818688
Dominican Republic,2015.0,0.641511296147547
Ecuador,2010.0,-0.606301689422923
Ecuador,2015.0,-0.04478584591621128
El Salvador,2010.0,1.2446209058399411
El Salvador,2015.0,1.3694022043969878
Estonia,2010.0,0.12158921882651783
Estonia,2015.0,0.2879642835692473
Eswatini,2010.0,0.5583237637761826
Eswatini,2015.0,-0.5231141570515583
Finland,2010.0,0.45433934831197675
Finland,2015.0,0.47513623140481787
France,2010.0,0.5791206468690236
France,2015.0,0.7246988285189118
Georgia,2010.0,-1.022239351279746
Germany,2010.0,1.3070115551184642
Germany,2015.0,1.743746100068129
Ghana,2015.0,-0.5231141570515583
Greece,2010.0,0.2879642835692473
Greece,2015.0,-0.48152039086587567
Guatemala,2010.0,0.641511296147547
Guatemala,2015.0,1.452589736768353
Guyana,2010.0,-0.751879871072811
Honduras,2015.0,0.03840168645515346
Hungary,2010.0,-0.19036402756609966
Hungary,2015.0,-0.39833285849451133
Iceland,2010.0,0.5375268806833411
Iceland,2015.0,0.8078863608902764
India,2010.0,-1.6669427271578223
India,2015.0,-1.6045520778792988
Indonesia,2010.0,-1.500567662415093
Indonesia,2015.0,-0.9390518189083815
Ireland,2010.0,0.2671674004764062
Ireland,2015.0,1.452589736768353
Israel,2010.0,-0.08637961210189384
Israel,2015.0,0.12158921882651783
Italy,2010.0,0.5999175299618648
Italy,2015.0,0.4127455821262942
Jamaica,2010.0,-0.4399266246801935
Jamaica,2015.0,0.350354932847771
Japan,2015.0,2.513230774503252
Kazakhstan,2010.0,-0.606301689422923
Kazakhstan,2015.0,-0.5647079232372404
Kenya,2015.0,-0.6270985725157641
Kyrgyzstan,2010.0,-0.39833285849451133
Kyrgyzstan,2015.0,-0.8350674034441757
Latvia,2010.0,-0.6478954556086052
Latvia,2015.0,-0.5231141570515583
Lebanon,2010.0,-0.16956714447325819
Lithuania,2010.0,0.05919856954799455
Lithuania,2015.0,0.22557363429072366
Luxembourg,2010.0,0.5167299975905001
Luxembourg,2015.0,-0.10717649519473492
Madagascar,2015.0,0.8702770101688001
Malawi,2010.0,-1.1054268836511107
Malaysia,2010.0,-1.001442468186905
Malaysia,2015.0,-0.606301689422923
Maldives,2010.0,0.495933114497659
Maldives,2015.0,1.5357772691397173
Malta,2010.0,0.350354932847771
Malta,2015.0,0.6207144130547059
Mauritius,2010.0,-0.5855048063300815
Mauritius,2015.0,-0.33594220921598766
Mexico,2010.0,-0.1487702613804171
Mexico,2015.0,-0.04478584591621128
Mongolia,2010.0,-0.7102861048871286
Mongolia,2015.0,-0.7102861048871286
Morocco,2015.0,-0.8558642865370168
Mozambique,2010.0,-1.3341925976723636
Namibia,2010.0,0.16318298501220038
Nepal,2010.0,-1.3133957145795225
Nepal,2015.0,-1.251005065300999
Netherlands (Kingdom of the),2010.0,0.7039019454260707
Netherlands (Kingdom of the),2015.0,0.8702770101688001
New Zealand,2010.0,1.3486053213041471
New Zealand,2015.0,1.6189648015110816
Nicaragua,2010.0,0.9534645425401644
Nicaragua,2015.0,1.3486053213041471
Norway,2010.0,1.1406364903757353
Norway,2015.0,1.3486053213041471
Oman,2015.0,-0.5855048063300815
Pakistan,2010.0,-1.7085364933435045
Pakistan,2015.0,-1.500567662415093
Panama,2015.0,1.8061367493466525
Paraguay,2010.0,0.6831050623332295
Paraguay,2015.0,0.8910738932616412
Peru,2010.0,0.12158921882651783
Peru,2015.0,0.495933114497659
Philippines,2015.0,-0.606301689422923
Poland,2010.0,-0.23195779375178185
Poland,2015.0,-0.10717649519473492
Portugal,2010.0,0.37115181594061203
Portugal,2015.0,0.16318298501220038
Qatar,2010.0,-1.4589738962294108
Qatar,2015.0,-0.5855048063300815
Republic of Korea,2010.0,0.16318298501220038
Republic of Korea,2015.0,0.3087611666620884
Republic of Moldova,2010.0,0.5167299975905001
Republic of Moldova,2015.0,0.22557363429072366
Romania,2010.0,0.07999545264083564
Romania,2015.0,-0.08637961210189384
Russian Federation,2015.0,-0.48152039086587567
Rwanda,2010.0,-0.5231141570515583
Rwanda,2015.0,-0.6686923387014463
Saint Lucia,2010.0,-0.8558642865370168
Saint Lucia,2015.0,-0.5647079232372404
Saint Vincent & Grenadines,2010.0,-0.606301689422923
San Marino,2010.0,2.263668177389158
Sao Tome and Principe,2010.0,-1.4589738962294108
Saudi Arabia,2015.0,-0.21116091065894074
Senegal,2010.0,-1.1886144160224754
Senegal,2015.0,-1.3341925976723636
Serbia,2010.0,0.5167299975905001
Serbia,2015.0,0.16318298501220038
Sierra Leone,2015.0,-0.6686923387014463
Singapore,2010.0,-0.04478584591621128
Singapore,2015.0,0.495933114497659
Slovakia,2010.0,0.37115181594061203
Slovakia,2015.0,0.12158921882651783
Slovenia,2010.0,0.2671674004764062
Slovenia,2015.0,0.2671674004764062
South Africa,2010.0,0.6207144130547059
South Africa,2015.0,0.8494801270759587
Spain,2010.0,0.7454957116117528
Spain,2015.0,0.7662925947045942
Sri Lanka,2010.0,-0.6894892217942875
Sri Lanka,2015.0,-0.5647079232372404
Suriname,2015.0,-0.04478584591621128
Sweden,2010.0,0.5167299975905001
Sweden,2015.0,1.5149803860468758
Switzerland,2010.0,-0.23195779375178185
Switzerland,2015.0,-0.12797337828757602
Tajikistan,2010.0,-1.3757863638580459
Thailand,2010.0,0.6831050623332295
Thailand,2015.0,0.7662925947045942
Timor-Leste,2010.0,-1.7501302595291868
Timor-Leste,2015.0,-1.3757863638580459
Tunisia,2010.0,0.39194869903345314
Türkiye,2010.0,-0.04478584591621128
Türkiye,2015.0,-0.2943484430303055
Uganda,2010.0,-0.8350674034441757
Uganda,2015.0,-1.251005065300999
Ukraine,2010.0,-0.751879871072811
United Arab Emirates,2015.0,-0.6686923387014463
United Kingdom,2010.0,1.2446209058399411
United Kingdom,2015.0,1.5773710353253994
United Rep. of Tanzania,2010.0,-0.7934736372584934
United Rep. of Tanzania,2015.0,-0.7934736372584934
United States of America,2015.0,2.3260588266676816
Uruguay,2015.0,1.8269336324394934
Uzbekistan,2015.0,-0.3151453261231466
Venezuela (Boliv. Rep. of),2010.0,-0.606301689422923
Viet Nam,2010.0,-0.6894892217942875
Yemen,2010.0,-1.521364545507934
Zambia,2010.0,-1.3341925976723636
Zambia,2015.0,-0.7726767541656521
