Country,Year,Employment by industry: Agriculture (%) Female
Afghanistan,2010.0,2.267129722624432
Afghanistan,2015.0,1.8291773411387722
Albania,2010.0,1.3344533546457118
Albania,2015.0,1.1154771639028818
Angola,2015.0,1.8494529143557008
Argentina,2010.0,-0.6444425913265304
Argentina,2015.0,-0.6647181645434591
Armenia,2010.0,1.0992567053293385
Armenia,2015.0,0.8072884510055652
Australia,2010.0,-0.7255448841942452
Australia,2015.0,-0.745820457411174
Austria,2010.0,-0.8107022917053459
Austria,2015.0,-0.6484977059699162
Azerbaijan,2010.0,0.9857134953145379
Azerbaijan,2015.0,0.8883907438732801
Bahamas,2015.0,-0.7498755720545598
Bahrain,2015.0,-0.8147574063487315
Bangladesh,2015.0,1.6669727554033424
Barbados,2010.0,-0.745820457411174
Barbados,2015.0,-0.7539306866979454
Belarus,2010.0,-0.7985369477751886
Belarus,2015.0,-0.4903482348778722
Belgium,2010.0,-0.7823164892016456
Belgium,2015.0,-0.7904267184884172
Belize,2010.0,-0.6606630499000734
Belize,2015.0,-0.636332362039759
Bhutan,2010.0,1.8372875704255436
Bhutan,2015.0,1.8697284875726294
Bolivia (Plurin. State of),2010.0,0.5153201966817917
Bolivia (Plurin. State of),2015.0,0.4261076745273054
Brazil,2010.0,-0.8066471770619601
Brazil,2015.0,-0.8107022917053459
Bulgaria,2010.0,-0.6079465595360588
Bulgaria,2015.0,-0.6444425913265304
Burundi,2010.0,3.0294912755809524
Burundi,2015.0,2.9889401291470947
Cabo Verde,2010.0,-0.30786807592551385
Cabo Verde,2015.0,-0.37680502486307144
Cambodia,2010.0,1.4439414500171266
Cameroon,2010.0,1.658862526116571
Cameroon,2015.0,1.2979573228552401
Canada,2010.0,-0.7742062599148741
Canada,2015.0,-0.8188125209921173
Chile,2010.0,-0.603891444892673
Chile,2015.0,-0.6241670181096017
China,2010.0,0.5072099673950204
China,2015.0,0.19091102521093237
Colombia,2010.0,-0.8066471770619601
Colombia,2015.0,-0.5268442666683439
Costa Rica,2010.0,-0.6687732791868449
Costa Rica,2015.0,-0.4984584641646437
Croatia,2010.0,-0.19026975126732731
Croatia,2015.0,-0.5187340373815724
